f2,f3,f4,f5
7.54855,31.716207,4.004128,11.549284
6.902058,13.280416,48.691155,20.154473
25.967641,4.989816,10.149023,4.509556
12.915564,9.330224,33.588224,12.132105
7.559089,12.775628,2.907322,5.330887
5.037638,7.118543,4.43658,4.943416
6.553848,27.493602,4.613174,10.317549
6.73362,12.585615,3.946612,56.115781
5.505347,5.674898,2.151681,34.231841
4.221569,1.999619,6.690302,2.572985
7.823898,6.873247,9.149558,12.329358
6.543836,7.892013,29.20844,3.804892
4.462676,4.898291,2.764565,11.169564
54.957723,9.161157,7.746941,12.557103
9.887937,2.580059,3.904005,10.600324
3.180407,1.660217,6.306179,5.249581
3.927956,10.832253,22.089352,1.741142
3.30896,23.103574,6.709688,28.520679
53.810421,13.575269,4.565016,11.560595
6.462728,5.973716,24.807685,14.032967
4.357617,8.835825,8.691233,2.091986
7.603611,5.052321,8.092588,4.007657
8.87015,6.069308,3.189154,5.877691
4.30319,11.295978,19.326756,14.678876
9.691841,12.791694,8.545803,4.598025
4.68622,7.096096,4.565397,3.786947
2.602958,5.238063,10.655867,7.820328
2.412323,19.441444,11.92694,13.229359
16.819484,5.475225,3.432256,9.386687
5.694724,13.322117,46.411804,3.271508
13.522436,11.309943,17.915495,16.059904
5.484143,3.950826,4.841328,12.945558
4.437097,18.011485,14.146067,7.750616
5.799063,6.330942,18.984069,15.275944
2.86295,2.391384,7.062377,2.28783
13.874833,5.709768,15.548997,5.978034
2.641207,6.072326,1.98963,23.632921
4.004745,7.185582,6.14355,10.565215
14.495373,17.345822,4.103062,18.385487
3.274828,2.746061,5.846173,144.602983
8.988722,15.409513,5.198457,9.403286
7.952246,6.133675,4.175034,16.808858
5.750769,2.064379,7.562634,9.241175
10.756998,10.085494,4.025663,5.234863
3.168998,3.781373,6.914663,3.586738
3.291456,12.304234,11.64708,5.828653
4.881804,8.542525,13.374669,5.426709
13.824146,4.455422,10.085619,6.127501
5.920479,1.732863,11.65407,4.879969
20.003614,1.79851,19.199927,3.914815
16.243856,11.794629,18.576854,2.909503
7.86492,3.228189,9.14438,1.885314
24.066091,10.462289,6.519116,3.510131
2.752474,4.249167,8.947214,4.21625
34.394216,8.719082,10.600849,4.916219
4.256728,4.003943,2.886617,17.969504
5.00007,7.257688,5.111077,7.553905
59.511106,1.429635,2.569861,4.51936
3.487368,7.618998,15.224683,2.621944
27.579044,4.22203,4.568613,10.396902
9.288274,15.087007,3.346634,6.0199
12.617282,10.348025,9.729484,5.283438
6.179594,12.898567,6.27804,61.350096
17.243936,21.583891,30.029228,8.669958
2.547884,5.632819,15.515532,7.464867
2.99818,2.991149,13.152512,3.895114
13.373752,10.505209,9.884631,30.252691
29.623392,9.50205,8.376197,14.176199
4.195472,4.555137,9.676621,5.034281
22.340039,4.028782,2.602213,10.086966
5.864476,4.097105,3.830748,2.955843
10.493707,2.319637,5.977,15.2102
5.093928,2.368289,13.860457,9.667843
16.433627,15.834131,5.13628,3.126118
18.417634,5.28131,8.139117,33.444964
2.67536,4.802157,4.011909,5.020411
27.661545,13.482426,2.13809,18.459933
11.25224,15.671973,6.181854,2.622647
26.356931,13.837871,5.591764,2.912241
6.272677,3.127362,4.423245,1.869005
17.288596,11.836353,1.67762,5.499218
20.287153,8.485509,12.880911,7.83858
23.083966,8.376202,10.742554,14.752718
5.209224,4.793817,20.893919,7.029006
1.77652,20.265623,2.484045,5.699432
2.985526,8.566607,8.264145,4.466011
12.431141,5.000209,11.380778,4.597029
13.073035,5.635778,2.377054,5.882758
2.108598,2.302174,8.622805,21.146677
9.760912,4.637446,35.76791,6.759689
9.052681,16.483173,1.827056,13.73201
15.482561,1.410517,5.145013,0.767793
6.026308,3.207754,2.977877,2.387174
2.90981,3.267496,0.938887,15.793156
3.050762,29.120369,6.558662,20.155684
3.408577,8.298963,6.124731,11.330527
23.884499,13.28808,6.335524,7.519171
3.529035,5.854155,1.10689,3.835146
20.053207,3.760498,8.499927,12.732522
13.837987,5.780641,9.507163,12.644759
16.913336,20.150151,16.554635,3.254688
15.288753,4.275312,5.305153,4.503551
2.379552,12.258447,22.996771,2.723004
5.540687,15.351929,5.334561,3.856739
4.946458,7.530616,6.071425,17.787675
9.969247,11.479342,3.903755,7.3684
8.649992,6.269006,5.984324,1.770034
2.40069,13.521149,11.422281,6.224729
3.991036,11.289823,4.591059,2.71743
3.662198,9.56774,3.655623,40.013965
