entity_id,f1,f2,f3,f4,f5,srv_entity_id,srv_f1,srv_f2,srv_f3,srv_f4,srv_f5
E0023,1.60288,9.206253,10.227648,32.874968,7.592811,E0023,3.967319,9.206253,10.227648,32.874968,7.592811
E0024,1.717638,7.62638,6.711911,3.51397,6.054059,E0024,4.571354,7.62638,6.711911,3.51397,6.054059
E0025,3.006357,7.61978,6.590161,11.247219,8.32926,E0025,19.213633,7.61978,6.590161,11.247219,8.32926
E0026,3.044315,5.718653,18.81281,12.62085,5.527233,E0026,19.995634,5.718653,18.81281,12.62085,5.527233
E0027,2.177048,13.108358,4.723215,4.742798,4.994453,E0027,7.820232,13.108358,4.723215,4.742798,4.994453
E0028,3.046011,4.280137,3.415636,5.044879,26.441447,E0028,20.031283,4.280137,3.415636,5.044879,26.441447
E0029,1.040094,4.5765,24.382049,12.198829,4.184031,E0029,1.829484,4.5765,24.382049,12.198829,4.184031
E0030,2.051554,44.626556,13.665382,2.254263,1.890059,E0030,6.779982,44.626556,13.665382,2.254263,1.890059
E0033,2.037638,10.6595,4.947646,9.623823,10.15152,E0033,6.672466,10.6595,4.947646,9.623823,10.15152
E0034,2.384815,20.679872,4.366182,6.658237,3.143444,E0034,9.857051,20.679872,4.366182,6.658237,3.143444
E0036,3.3653,9.339167,1.545173,8.192007,3.1359,E0036,27.942172,9.339167,1.545173,8.192007,3.1359
E0037,2.395238,7.937741,18.474316,8.497515,11.650724,E0037,9.970814,7.937741,18.474316,8.497515,11.650724
E0039,1.755021,7.973828,14.425098,3.237999,3.981685,E0039,4.783567,7.973828,14.425098,3.237999,3.981685
E0040,2.332526,17.040966,23.650858,12.649039,23.296038,E0040,9.303932,17.040966,23.650858,12.649039,23.296038
E0041,1.222508,2.091332,7.953899,4.969898,1.600876,E0041,2.395692,2.091332,7.953899,4.969898,1.600876
E0046,1.655652,11.539963,2.606767,17.272551,2.585038,E0046,4.236492,11.539963,2.606767,17.272551,2.585038
E0048,0.97824,13.976073,11.862728,10.702611,4.655632,E0048,1.659771,13.976073,11.862728,10.702611,4.655632
E0049,2.279394,14.144098,9.571865,12.815854,7.878583,E0049,8.770755,14.144098,9.571865,12.815854,7.878583
E0050,1.229138,2.9947,80.82054,9.000261,21.178163,E0050,2.418283,2.9947,80.82054,9.000261,21.178163
E0053,2.328114,12.148908,1.911505,2.819949,21.261814,E0053,9.258577,12.148908,1.911505,2.819949,21.261814
E0054,1.755726,6.943927,14.292712,10.474099,12.418371,E0054,4.787651,6.943927,14.292712,10.474099,12.418371
E0055,1.763856,13.901423,4.629886,8.923514,10.838954,E0055,4.834893,13.901423,4.629886,8.923514,10.838954
E0057,2.643207,29.251124,10.417156,9.580889,16.808834,E0057,13.058215,29.251124,10.417156,9.580889,16.808834
E0060,1.746057,6.215577,7.921559,39.728505,1.862902,E0060,4.731958,6.215577,7.921559,39.728505,1.862902
E0061,1.881348,20.855893,17.884998,2.955907,6.911143,E0061,5.562346,20.855893,17.884998,2.955907,6.911143
E0065,1.585393,2.712362,3.112756,7.758988,2.935632,E0065,3.88121,2.712362,3.112756,7.758988,2.935632
E0066,1.348796,32.741203,2.852516,7.09108,33.558668,E0066,2.852784,32.741203,2.852516,7.09108,33.558668
E0068,2.116714,3.434381,8.863409,6.555498,6.092892,E0068,7.303804,3.434381,8.863409,6.555498,6.092892
E0070,1.156616,21.789408,12.404912,3.439644,5.158877,E0070,2.179155,21.789408,12.404912,3.439644,5.158877
E0071,2.024431,10.092197,3.88533,5.496013,7.25097,E0071,6.571803,10.092197,3.88533,5.496013,7.25097
E0073,1.188713,3.589512,2.561228,10.320222,7.717617,E0073,2.282854,3.589512,2.561228,10.320222,7.717617
E0076,2.927309,23.913337,5.036112,1.684621,11.733119,E0076,17.6773,23.913337,5.036112,1.684621,11.733119
E0078,2.853579,4.666939,6.667106,12.306005,3.83518,E0078,16.349768,4.666939,6.667106,12.306005,3.83518
E0079,1.205055,7.2533,2.922771,17.092218,10.089865,E0079,2.336942,7.2533,2.922771,17.092218,10.089865
E0080,1.914084,59.039398,5.871179,8.649115,21.069788,E0080,5.780728,59.039398,5.871179,8.649115,21.069788
E0081,2.395498,15.679368,3.866932,1.866286,2.453029,E0081,9.973661,15.679368,3.866932,1.866286,2.453029
E0082,3.431681,4.899037,2.822219,10.199482,19.908752,E0082,29.928605,4.899037,2.822219,10.199482,19.908752
E0083,3.165225,8.150045,4.605616,11.474949,16.921693,E0083,22.694067,8.150045,4.605616,11.474949,16.921693
E0084,3.451399,16.246742,8.686873,13.661464,8.008221,E0084,30.544496,16.246742,8.686873,13.661464,8.008221
E0085,1.337863,6.140316,6.39652,11.395906,5.839903,E0085,2.810892,6.140316,6.39652,11.395906,5.839903
E0087,1.774212,8.185382,12.41753,10.636646,9.957231,E0087,4.895633,8.185382,12.41753,10.636646,9.957231
E0088,2.456076,1.26903,6.096102,9.135713,6.694582,E0088,10.658976,1.26903,6.096102,9.135713,6.694582
E0090,1.625765,5.319107,4.422321,15.106607,6.191377,E0090,4.082305,5.319107,4.422321,15.106607,6.191377
E0093,3.250436,3.540705,12.45442,5.76554,7.308509,E0093,24.80158,3.540705,12.45442,5.76554,7.308509
E0094,1.427998,5.234416,6.702553,8.459278,17.71426,E0094,3.170341,5.234416,6.702553,8.459278,17.71426
E0095,1.387207,13.032897,1.838981,14.857758,10.68501,E0095,3.003654,13.032897,1.838981,14.857758,10.68501
E0096,1.362374,7.483713,8.62396,11.22506,6.107952,E0096,2.905456,7.483713,8.62396,11.22506,6.107952
E0098,1.479021,3.8376,4.500256,3.907865,6.25969,E0098,3.388645,3.8376,4.500256,3.907865,6.25969
E0099,3.701132,5.965183,5.707917,0.83046,8.716257,E0099,39.493105,5.965183,5.707917,0.83046,8.716257
E0100,1.718268,4.320342,11.155737,1.688489,0.21343,E0100,4.574862,4.320342,11.155737,1.688489,0.21343
E0104,2.343885,8.357836,15.276875,6.487449,30.912215,E0104,9.421648,8.357836,15.276875,6.487449,30.912215
E0106,1.725128,6.446036,6.231682,8.350919,10.764747,E0106,4.613241,6.446036,6.231682,8.350919,10.764747
E0108,1.779138,16.269885,6.875507,11.796179,12.600785,E0108,4.924748,16.269885,6.875507,11.796179,12.600785
E0109,3.518753,3.829651,3.807996,6.03459,8.344925,E0109,32.742312,3.829651,3.807996,6.03459,8.344925
E0111,0.948118,3.093688,6.391741,17.426004,2.587936,E0111,1.580848,3.093688,6.391741,17.426004,2.587936
E0112,3.169267,7.302876,23.080506,5.400132,33.523886,E0112,22.790037,7.302876,23.080506,5.400132,33.523886
E0113,1.821397,71.526093,12.889551,7.243435,22.525384,E0113,5.180486,71.526093,12.889551,7.243435,22.525384
E0117,1.063922,16.868545,40.977546,5.790291,12.253539,E0117,1.897715,16.868545,40.977546,5.790291,12.253539
E0121,2.248615,72.683695,5.832725,2.256187,13.316934,E0121,8.474604,72.683695,5.832725,2.256187,13.316934
E0122,2.150526,6.032609,3.527768,3.2951,1.521873,E0122,7.589376,6.032609,3.527768,3.2951,1.521873
E0123,2.914118,20.304229,10.344518,7.127917,6.984091,E0123,17.432546,20.304229,10.344518,7.127917,6.984091
E0124,1.075093,27.631603,5.80454,28.005472,7.583391,E0124,1.930266,27.631603,5.80454,28.005472,7.583391
E0125,1.757548,2.517174,3.517626,4.579585,14.63209,E0125,4.798205,2.517174,3.517626,4.579585,14.63209
E0126,0.845619,5.360398,16.782153,41.412881,17.318992,E0126,1.32942,5.360398,16.782153,41.412881,17.318992
E0128,2.903773,6.657052,16.219368,3.559339,27.210008,E0128,17.242839,6.657052,16.219368,3.559339,27.210008
E0130,1.58845,3.202514,6.037438,7.595438,4.306065,E0130,3.896153,3.202514,6.037438,7.595438,4.306065
E0131,1.547004,19.927325,41.410178,7.432453,3.324339,E0131,3.697378,19.927325,41.410178,7.432453,3.324339
E0132,2.821493,10.403471,14.087882,7.533053,6.69962,E0132,15.801914,10.403471,14.087882,7.533053,6.69962
E0134,1.782111,11.253049,12.560447,1.948141,2.619945,E0134,4.942385,11.253049,12.560447,1.948141,2.619945
E0135,1.820313,12.598194,3.585222,39.615495,4.849511,E0135,5.173793,12.598194,3.585222,39.615495,4.849511
E0137,2.809699,11.218293,0.55774,7.492509,16.666479,E0137,15.604917,11.218293,0.55774,7.492509,16.666479
E0138,2.851917,10.9238,5.219027,13.714387,6.195964,E0138,16.320951,10.9238,5.219027,13.714387,6.195964
E0139,1.314572,8.917906,12.331696,4.803074,2.6354,E0139,2.723156,8.917906,12.331696,4.803074,2.6354
E0140,1.56149,7.54855,31.716207,4.004128,11.549284,E0140,3.765916,7.54855,31.716207,4.004128,11.549284
E0141,2.076086,6.902058,13.280416,48.691155,20.154473,E0141,6.973203,6.902058,13.280416,48.691155,20.154473
E0143,1.813924,25.967641,4.989816,10.149023,4.509556,E0143,5.134471,25.967641,4.989816,10.149023,4.509556
E0144,2.354882,12.915564,9.330224,33.588224,12.132105,E0144,9.53689,12.915564,9.330224,33.588224,12.132105
E0145,0.731459,7.559089,12.775628,2.907322,5.330887,E0145,1.07811,7.559089,12.775628,2.907322,5.330887
E0146,2.564005,5.037638,7.118543,4.43658,4.943416,E0146,11.987732,5.037638,7.118543,4.43658,4.943416
E0147,1.689175,6.553848,27.493602,4.613174,10.317549,E0147,4.41501,6.553848,27.493602,4.613174,10.317549
E0148,0.844177,6.73362,12.585615,3.946612,56.115781,E0148,1.326063,6.73362,12.585615,3.946612,56.115781
E0149,3.038539,5.505347,5.674898,2.151681,34.231841,E0149,19.874725,5.505347,5.674898,2.151681,34.231841
E0150,1.74283,4.221569,1.999619,6.690302,2.572985,E0150,4.713488,4.221569,1.999619,6.690302,2.572985
E0151,2.52982,7.823898,6.873247,9.149558,12.329358,E0151,11.551247,7.823898,6.873247,9.149558,12.329358
E0152,1.81037,6.543836,7.892013,29.20844,3.804892,E0152,5.112709,6.543836,7.892013,29.20844,3.804892
E0155,2.307778,4.462676,4.898291,2.764565,11.169564,E0155,9.052064,4.462676,4.898291,2.764565,11.169564
E0156,1.09841,54.957723,9.161157,7.746941,12.557103,E0156,1.999392,54.957723,9.161157,7.746941,12.557103
E0157,1.695833,9.887937,2.580059,3.904005,10.600324,E0157,4.451184,9.887937,2.580059,3.904005,10.600324
E0158,3.309505,3.180407,1.660217,6.306179,5.249581,E0158,26.371566,3.180407,1.660217,6.306179,5.249581
E0160,1.095934,3.927956,10.832253,22.089352,1.741142,E0160,1.991977,3.927956,10.832253,22.089352,1.741142
E0161,1.388342,3.30896,23.103574,6.709688,28.520679,E0161,3.008199,3.30896,23.103574,6.709688,28.520679
E0164,1.44495,53.810421,13.575269,4.565016,11.560595,E0164,3.241639,53.810421,13.575269,4.565016,11.560595
E0166,2.523697,6.462728,5.973716,24.807685,14.032967,E0166,11.474635,6.462728,5.973716,24.807685,14.032967
E0168,1.819687,4.357617,8.835825,8.691233,2.091986,E0168,5.169929,4.357617,8.835825,8.691233,2.091986
E0170,1.162697,7.603611,5.052321,8.092588,4.007657,E0170,2.198549,7.603611,5.052321,8.092588,4.007657
E0171,4.230813,8.87015,6.069308,3.189154,5.877691,E0171,67.773103,8.87015,6.069308,3.189154,5.877691
E0172,1.683914,4.30319,11.295978,19.326756,14.678876,E0172,4.386597,4.30319,11.295978,19.326756,14.678876
E0174,3.038527,9.691841,12.791694,8.545803,4.598025,E0174,19.874463,9.691841,12.791694,8.545803,4.598025
E0175,2.074176,4.68622,7.096096,4.565397,3.786947,E0175,6.957983,4.68622,7.096096,4.565397,3.786947
E0177,2.437485,2.602958,5.238063,10.655867,7.820328,E0177,10.444219,2.602958,5.238063,10.655867,7.820328
E0179,2.399819,2.412323,19.441444,11.92694,13.229359,E0179,10.021176,2.412323,19.441444,11.92694,13.229359
E0180,3.108873,16.819484,5.475225,3.432256,9.386687,E0180,21.395791,16.819484,5.475225,3.432256,9.386687
E0182,1.888161,5.694724,13.322117,46.411804,3.271508,E0182,5.607208,5.694724,13.322117,46.411804,3.271508
E0183,2.014708,13.522436,11.309943,17.915495,16.059904,E0183,6.498536,13.522436,11.309943,17.915495,16.059904
E0184,2.59778,5.484143,3.950826,4.841328,12.945558,E0184,12.433884,5.484143,3.950826,4.841328,12.945558
E0185,1.790449,4.437097,18.011485,14.146067,7.750616,E0185,4.992142,4.437097,18.011485,14.146067,7.750616
E0189,2.23188,5.799063,6.330942,18.984069,15.275944,E0189,8.317363,5.799063,6.330942,18.984069,15.275944
E0190,2.350195,2.86295,2.391384,7.062377,2.28783,E0190,9.487613,2.86295,2.391384,7.062377,2.28783
E0192,1.72059,13.874833,5.709768,15.548997,5.978034,E0192,4.587827,13.874833,5.709768,15.548997,5.978034
E0193,2.687749,2.641207,6.072326,1.98963,23.632921,E0193,13.698558,2.641207,6.072326,1.98963,23.632921
E0194,1.374181,4.004745,7.185582,6.14355,10.565215,E0194,2.951838,4.004745,7.185582,6.14355,10.565215
E0195,1.743579,14.495373,17.345822,4.103062,18.385487,E0195,4.71777,14.495373,17.345822,4.103062,18.385487
E0196,2.648257,3.274828,2.746061,5.846173,144.602983,E0196,13.129388,3.274828,2.746061,5.846173,144.602983
E0197,2.235847,8.988722,15.409513,5.198457,9.403286,E0197,8.354401,8.988722,15.409513,5.198457,9.403286
E0198,3.301084,7.952246,6.133675,4.175034,16.808858,E0198,26.142033,7.952246,6.133675,4.175034,16.808858
E0199,1.587742,5.750769,2.064379,7.562634,9.241175,E0199,3.892687,5.750769,2.064379,7.562634,9.241175
E0201,1.860162,10.756998,10.085494,4.025663,5.234863,E0201,5.424776,10.756998,10.085494,4.025663,5.234863
E0202,1.699069,3.168998,3.781373,6.914663,3.586738,E0202,4.468852,3.168998,3.781373,6.914663,3.586738
E0203,1.333062,3.291456,12.304234,11.64708,5.828653,E0203,2.79264,3.291456,12.304234,11.64708,5.828653
E0204,4.198354,4.881804,8.542525,13.374669,5.426709,E0204,65.576678,4.881804,8.542525,13.374669,5.426709
E0205,3.378086,13.824146,4.455422,10.085619,6.127501,E0205,28.314617,13.824146,4.455422,10.085619,6.127501
E0206,1.509059,5.920479,1.732863,11.65407,4.879969,E0206,3.522474,5.920479,1.732863,11.65407,4.879969
E0209,1.712401,20.003614,1.79851,19.199927,3.914815,E0209,4.542251,20.003614,1.79851,19.199927,3.914815
E0210,0.847423,16.243856,11.794629,18.576854,2.909503,E0210,1.333626,16.243856,11.794629,18.576854,2.909503
E0211,1.660655,7.86492,3.228189,9.14438,1.885314,E0211,4.262755,7.86492,3.228189,9.14438,1.885314
E0215,1.60693,24.066091,10.462289,6.519116,3.510131,E0215,3.987476,24.066091,10.462289,6.519116,3.510131
E0216,2.465888,2.752474,4.249167,8.947214,4.21625,E0216,10.773928,2.752474,4.249167,8.947214,4.21625
E0217,3.326244,34.394216,8.719082,10.600849,4.916219,E0217,26.833609,34.394216,8.719082,10.600849,4.916219
E0218,3.837906,4.256728,4.003943,2.886617,17.969504,E0218,45.42817,4.256728,4.003943,2.886617,17.969504
E0219,2.553632,5.00007,7.257688,5.111077,7.553905,E0219,11.853699,5.00007,7.257688,5.111077,7.553905
E0221,1.167603,59.511106,1.429635,2.569861,4.51936,E0221,2.214279,59.511106,1.429635,2.569861,4.51936
E0222,1.591584,3.487368,7.618998,15.224683,2.621944,E0222,3.911521,3.487368,7.618998,15.224683,2.621944
E0226,1.662119,27.579044,4.22203,4.568613,10.396902,E0226,4.270468,27.579044,4.22203,4.568613,10.396902
E0229,3.186584,9.288274,15.087007,3.346634,6.0199,E0229,23.205597,9.288274,15.087007,3.346634,6.0199
E0230,2.702659,12.617282,10.348025,9.729484,5.283438,E0230,13.919343,12.617282,10.348025,9.729484,5.283438
E0231,1.591443,6.179594,12.898567,6.27804,61.350096,E0231,3.910829,6.179594,12.898567,6.27804,61.350096
E0232,1.510919,17.243936,21.583891,30.029228,8.669958,E0232,3.530894,17.243936,21.583891,30.029228,8.669958
E0233,0.778864,2.547884,5.632819,15.515532,7.464867,E0233,1.178995,2.547884,5.632819,15.515532,7.464867
E0234,0.90455,2.99818,2.991149,13.152512,3.895114,E0234,1.470819,2.99818,2.991149,13.152512,3.895114
E0238,2.149791,13.373752,10.505209,9.884631,30.252691,E0238,7.583067,13.373752,10.505209,9.884631,30.252691
E0239,1.452377,29.623392,9.50205,8.376197,14.176199,E0239,3.273259,29.623392,9.50205,8.376197,14.176199
E0240,1.785105,4.195472,4.555137,9.676621,5.034281,E0240,4.960204,4.195472,4.555137,9.676621,5.034281
E0241,2.125462,22.340039,4.028782,2.602213,10.086966,E0241,7.376765,22.340039,4.028782,2.602213,10.086966
E0242,1.531558,5.864476,4.097105,3.830748,2.955843,E0242,3.62538,5.864476,4.097105,3.830748,2.955843
E0243,2.544231,10.493707,2.319637,5.977,15.2102,E0243,11.733433,10.493707,2.319637,5.977,15.2102
E0244,1.936946,5.093928,2.368289,13.860457,9.667843,E0244,5.93753,5.093928,2.368289,13.860457,9.667843
E0245,2.614378,16.433627,15.834131,5.13628,3.126118,E0245,12.658717,16.433627,15.834131,5.13628,3.126118
E0247,2.233727,18.417634,5.28131,8.139117,33.444964,E0247,8.334596,18.417634,5.28131,8.139117,33.444964
E0249,2.409067,2.67536,4.802157,4.011909,5.020411,E0249,10.123583,2.67536,4.802157,4.011909,5.020411
E0250,2.306499,27.661545,13.482426,2.13809,18.459933,E0250,9.039214,27.661545,13.482426,2.13809,18.459933
E0251,3.092412,11.25224,15.671973,6.181854,2.622647,E0251,21.030145,11.25224,15.671973,6.181854,2.622647
E0252,2.212718,26.356931,13.837871,5.591764,2.912241,E0252,8.140527,26.356931,13.837871,5.591764,2.912241
E0257,2.769002,6.272677,3.127362,4.423245,1.869005,E0257,14.942723,6.272677,3.127362,4.423245,1.869005
E0258,1.933265,17.288596,11.836353,1.67762,5.499218,E0258,5.912043,17.288596,11.836353,1.67762,5.499218
E0259,2.815872,20.287153,8.485509,12.880911,7.83858,E0259,15.70774,20.287153,8.485509,12.880911,7.83858
E0260,1.378918,23.083966,8.376202,10.742554,14.752718,E0260,2.970601,23.083966,8.376202,10.742554,14.752718
E0263,1.005501,5.209224,4.793817,20.893919,7.029006,E0263,1.733276,5.209224,4.793817,20.893919,7.029006
E0264,2.770692,1.77652,20.265623,2.484045,5.699432,E0264,14.969689,1.77652,20.265623,2.484045,5.699432
E0265,2.606703,2.985526,8.566607,8.264145,4.466011,E0265,12.554285,2.985526,8.566607,8.264145,4.466011
E0267,2.950487,12.431141,5.000209,11.380778,4.597029,E0267,18.115257,12.431141,5.000209,11.380778,4.597029
E0268,2.725703,13.073035,5.635778,2.377054,5.882758,E0268,14.267138,13.073035,5.635778,2.377054,5.882758
E0270,1.785652,2.108598,2.302174,8.622805,21.146677,E0270,4.963467,2.108598,2.302174,8.622805,21.146677
E0271,3.684391,9.760912,4.637446,35.76791,6.759689,E0271,38.820882,9.760912,4.637446,35.76791,6.759689
E0272,2.03064,9.052681,16.483173,1.827056,13.73201,E0272,6.618958,9.052681,16.483173,1.827056,13.73201
E0275,1.550051,15.482561,1.410517,5.145013,0.767793,E0275,3.711712,15.482561,1.410517,5.145013,0.767793
E0276,3.624653,6.026308,3.207754,2.977877,2.387174,E0276,36.511714,6.026308,3.207754,2.977877,2.387174
E0277,1.898105,2.90981,3.267496,0.938887,15.793156,E0277,5.673239,2.90981,3.267496,0.938887,15.793156
E0278,2.322702,3.050762,29.120369,6.558662,20.155684,E0278,9.203202,3.050762,29.120369,6.558662,20.155684
E0281,2.80104,3.408577,8.298963,6.124731,11.330527,E0281,15.461766,3.408577,8.298963,6.124731,11.330527
E0282,3.651495,23.884499,13.28808,6.335524,7.519171,E0282,37.53224,23.884499,13.28808,6.335524,7.519171
E0283,2.65521,3.529035,5.854155,1.10689,3.835146,E0283,13.227978,3.529035,5.854155,1.10689,3.835146
E0284,1.988287,20.053207,3.760498,8.499927,12.732522,E0284,6.303011,20.053207,3.760498,8.499927,12.732522
E0285,1.966766,13.837987,5.780641,9.507163,12.644759,E0285,6.147525,13.837987,5.780641,9.507163,12.644759
E0286,1.617007,16.913336,20.150151,16.554635,3.254688,E0286,4.03799,16.913336,20.150151,16.554635,3.254688
E0289,1.887075,15.288753,4.275312,5.305153,4.503551,E0289,5.600035,15.288753,4.275312,5.305153,4.503551
E0290,1.383193,2.379552,12.258447,22.996771,2.723004,E0290,2.987616,2.379552,12.258447,22.996771,2.723004
E0292,1.798559,5.540687,15.351929,5.334561,3.856739,E0292,5.040938,5.540687,15.351929,5.334561,3.856739
E0293,1.908497,4.946458,7.530616,6.071425,17.787675,E0293,5.742947,4.946458,7.530616,6.071425,17.787675
E0295,2.4718,9.969247,11.479342,3.903755,7.3684,E0295,10.843749,9.969247,11.479342,3.903755,7.3684
E0296,2.890479,8.649992,6.269006,5.984324,1.770034,E0296,17.001923,8.649992,6.269006,5.984324,1.770034
E0297,1.325287,2.40069,13.521149,11.422281,6.224729,E0297,2.763267,2.40069,13.521149,11.422281,6.224729
E0298,1.097916,3.991036,11.289823,4.591059,2.71743,E0298,1.997911,3.991036,11.289823,4.591059,2.71743
E0299,1.715759,3.662198,9.56774,3.655623,40.013965,E0299,4.560892,3.662198,9.56774,3.655623,40.013965
