row_id,f1,f2,f3,f4
R00142,train,-0.791939,0.288244,1.081995,-0.704593
R00143,train,0.525155,-0.698632,0.532662,0.694180
R00144,train,0.132036,0.806837,0.450913,1.017450
R00145,train,1.096073,0.715388,-0.210539,0.686226
R00146,train,-0.255368,0.651128,1.140566,-1.801310
R00147,train,-0.569654,-1.285231,-2.003095,-0.169539
R00148,train,-1.170073,0.737430,1.304270,0.283939
R00149,train,-0.169157,-1.192569,0.255920,0.804482
R00150,train,-0.438978,0.275377,0.545698,0.376115
R00151,train,-3.126103,-2.275416,-0.548596,-0.075803
R00152,train,-1.401708,-1.093185,-0.397405,0.105797
R00153,train,-0.455713,-1.750231,0.812412,-0.530583
R00154,train,-0.621157,1.172379,-0.411050,0.271079
R00155,train,-0.409388,-2.193523,0.152585,0.126430
R00156,train,1.845478,1.489063,-0.399393,0.793341
R00157,train,0.430596,0.244352,-0.524574,1.486426
R00158,train,-0.648863,-0.877700,0.601309,0.919220
R00159,train,-0.547441,0.912776,-1.538728,0.290854
R00160,train,0.509808,-0.981403,0.079456,-0.448469
R00161,train,-0.136480,2.304693,-1.460549,-0.562624
R00162,train,0.475575,0.614648,1.063385,-1.514744
R00163,train,-0.585718,0.787035,-0.958512,1.588356
R00164,train,1.201372,1.236495,-1.029204,-0.152083
R00165,train,1.222659,-0.490473,-1.536273,-1.401623
R00166,train,-0.972790,1.220062,0.524568,-0.649072
R00167,train,0.601366,-2.033191,0.395714,1.027777
R00168,train,-0.368956,0.495594,-1.661251,-0.841916
R00169,train,-0.964006,0.178105,-0.198620,1.430755
R00170,train,-0.680963,1.111192,0.223250,-1.569816
R00171,train,0.674504,1.069829,-1.024053,1.699870
R00172,train,2.096197,0.872793,0.798225,-0.914977
R00173,train,2.653723,1.518386,0.523548,1.158390
R00174,train,1.404351,0.475914,0.014021,-0.432295
R00175,train,1.370509,0.421041,-0.131727,-2.114849
R00176,train,0.016018,0.473406,-1.111712,-1.077611
R00177,train,-0.621567,0.915750,-0.328069,0.155586
R00178,train,0.827469,1.019136,-0.295784,1.339514
R00179,train,0.738405,-0.087040,-1.204898,-0.719701
R00180,train,-0.237162,-1.234046,0.708088,1.195972
R00181,train,1.401047,-0.497276,0.327327,-0.413163
R00182,train,-0.822224,-0.218886,0.685277,1.214575
R00183,train,-0.527379,-1.282373,0.158427,0.521331
R00184,train,1.548751,0.060192,0.543702,0.669215
R00185,train,1.346347,-0.083888,1.384502,0.863159
R00186,train,0.008868,-1.099372,-1.101245,0.826300
R00187,train,-0.210835,0.744082,-1.156288,1.112276
R00188,train,0.774109,0.639643,-0.533277,0.351285
R00189,train,0.073506,-1.746601,0.610204,0.761931
R00190,train,0.028612,2.118373,0.422578,1.404006
R00191,train,-0.863711,-0.333298,2.094949,2.000980
R00192,train,-2.056886,-0.545090,-1.409224,-0.683251
R00193,train,-0.881303,-0.018736,0.210467,0.151161
R00194,train,0.521180,0.167696,0.510802,-0.519783
R00195,train,0.511238,0.270659,1.448957,-0.423126
R00196,train,0.734179,0.829955,1.525580,1.421863
R00197,train,0.109844,-0.739770,0.256679,-0.343538
R00198,train,0.079858,1.057467,-0.831635,0.952648
R00199,train,-0.347876,-1.556455,0.157918,-0.067281
R00200,train,-1.043288,0.168536,-0.526252,-0.771058
R00201,train,0.275882,0.440039,-0.523674,-0.180085
R00202,train,0.826279,1.663253,-0.804386,1.752550
R00203,train,-0.382706,0.005137,-1.667200,-1.388365
R00204,train,-0.250885,0.155335,-2.034602,-0.615601
R00205,train,0.220782,-0.127768,0.389032,0.714516
R00206,train,1.274074,-1.307624,-0.897581,0.069865
R00207,train,1.670899,-1.709657,0.634281,0.685648
R00208,train,-1.108646,-0.525583,0.768592,1.815057
R00209,train,1.406565,-1.845713,1.609232,-1.534732
R00210,train,0.484984,0.234756,0.037528,0.436307
R00211,train,-0.616168,-0.974993,2.100332,0.920957
R00212,train,-0.113874,-0.318002,0.004389,-0.234008
R00213,train,-0.494935,-1.048629,1.304456,-0.178220
R00214,train,-1.576889,0.420236,0.056927,-0.859412
R00215,train,0.233214,-2.993465,-1.163898,-0.320356
R00216,train,-0.634784,0.416290,1.264958,-1.309919
R00217,train,0.473827,0.543170,0.809312,-0.146841
R00218,train,0.545545,-0.395484,-2.083528,-0.111086
R00219,train,-0.118072,-0.302248,0.957250,-2.495443
R00220,train,1.757610,-0.217802,0.300187,0.899036
R00221,train,-1.314629,-1.919930,0.887849,-1.068295
R00222,train,0.263018,0.409788,-1.557478,-0.557267
R00223,train,-1.247822,1.590418,0.102448,0.041136
R00224,train,-0.688797,0.121349,0.087105,-1.410840
R00225,train,0.066751,-1.289167,0.537193,0.150147
R00226,train,-0.841246,-0.130013,-0.172924,0.852024
R00227,train,-0.001373,1.825054,-0.033286,-1.181900
R00228,train,0.146396,-0.703778,0.512601,-0.166369
R00229,train,-1.499906,-0.265049,-0.754973,0.308696
R00230,train,-0.440605,0.692548,-1.079581,0.561091
R00231,train,-1.362300,0.716398,0.857669,0.335718
R00232,train,-1.967763,0.108927,0.207596,0.092305
R00233,train,0.147741,-0.072379,-0.500121,0.099568
R00234,train,0.760669,-0.337440,-1.237423,1.372021
R00235,train,-0.874839,0.437886,-0.680231,-0.218291
R00236,train,0.106271,1.572681,-1.068371,0.085481
R00237,train,-0.304689,-0.496087,0.154526,-0.833359
R00238,train,-0.067499,1.143806,0.321177,1.572037
R00239,train,1.739280,-0.214643,-0.615547,1.105314
R00240,train,0.744393,0.522615,-0.153862,-1.110156
R00241,train,-0.669432,0.323283,1.073325,-1.653688
R00242,train,0.315435,0.036406,0.268442,-0.070265
R00243,train,1.651673,2.873713,-0.488886,0.112111
R00244,train,0.320112,1.078956,1.261945,-0.934552
R00245,train,0.098315,-0.745268,-1.549229,-0.127449
R00246,train,-0.563935,1.675359,1.023470,1.446045
R00247,train,-1.418508,0.136561,0.045717,-2.113495
R00248,train,-1.027930,0.282769,-1.061563,0.760137
R00249,train,-0.163659,0.206550,-0.580702,0.505539
R00250,train,0.445201,1.077113,1.891953,-1.418133
R00251,train,1.190161,-1.010107,-0.517721,-1.220769
R00252,train,1.221930,1.116866,-0.336919,0.343352
R00253,train,-1.320177,-0.007361,0.010414,1.696319
R00254,train,1.311134,-0.028534,-0.072324,-1.086382
R00255,train,-1.550627,0.457738,0.872160,-1.211224
R00256,train,2.083092,-0.036548,0.247875,0.220517
R00257,train,-0.851691,1.035179,-0.586287,-0.024552
R00258,train,0.587276,-0.524232,1.426351,0.487975
R00259,train,0.997158,0.620315,0.413332,-0.201368
R00260,train,-0.657510,-2.397723,-0.835440,1.535432
R00261,train,-0.076322,-0.784912,-0.938999,-1.923028
R00262,train,0.861041,-0.007864,-0.881879,-0.186046
R00263,train,-1.787976,-1.621996,-0.811064,0.848176
R00264,train,0.773448,0.332152,-0.257997,-0.289497
R00265,train,-1.749839,1.509848,-0.486324,-0.653544
R00266,train,1.700026,-0.743164,0.896128,0.234152
R00267,train,1.567239,-0.621740,0.280583,-1.539130
R00268,train,-1.693175,-2.012041,-0.276474,-0.909063
R00269,train,-1.139277,0.311059,1.395429,-0.401899
R00270,train,1.604322,0.225934,0.033892,-1.003274
R00271,train,-1.512822,0.161326,0.034845,0.782301
R00272,train,-0.954401,-1.034211,0.803601,0.936602
R00273,train,-1.273584,0.135295,-0.101858,-0.137801
R00274,train,-0.976737,-1.741556,0.330695,0.190495
R00275,train,1.266991,-0.369177,-0.495319,1.116851
R00276,train,0.591870,0.876143,-0.667738,0.714598
R00277,train,-1.331253,1.410071,-1.094099,1.609896
R00278,train,-0.977207,-0.267806,0.212784,1.440774
R00279,train,0.083689,-0.903813,-0.123834,-0.379461
R00280,train,1.190973,0.453135,-1.282713,-0.004995
R00281,train,2.304854,0.490211,0.257491,0.719238
R00282,train,0.685996,2.465623,-0.530730,0.020588
R00283,train,0.535099,0.120088,-0.666414,0.559680
R00284,train,0.751520,-0.347482,-0.242745,0.135755
R00285,train,0.193963,-0.641655,-0.207423,-2.187407
R00286,train,-0.635420,-2.098168,-0.265094,-0.360687
R00287,train,0.355284,0.602951,2.423870,0.917380
R00288,train,-1.777871,-0.782955,1.209715,-1.086079
R00289,train,-1.263597,0.406421,0.794343,-0.305497
R00290,train,1.052633,0.387753,-1.694368,-1.600993
R00291,train,-0.427741,1.921194,0.176704,0.095489
R00292,train,-0.211178,0.523343,1.725332,-0.879614
R00293,train,1.021961,-1.497244,0.657664,1.807088
R00294,train,0.414751,0.294753,1.461880,1.776390
R00295,train,-0.960274,0.715933,-0.109242,-0.914236
R00296,train,1.208258,0.589260,0.159934,-1.049800
R00297,train,0.928829,-0.293623,-1.178606,0.664405
R00298,train,-0.759741,0.164544,1.761316,-1.063324
R00299,train,2.014733,-0.050246,-2.297179,0.109942
R00300,train,-0.854232,1.879327,1.712025,-1.089316
R00301,train,-0.644428,0.189720,-0.956959,-1.318244
R00302,train,-1.221597,1.322894,-0.374573,-0.594926
R00303,train,-0.540603,-1.836914,-1.219084,-0.047393
R00304,train,0.233668,-2.577672,-0.023057,0.530010
R00305,train,-0.259599,-1.483760,-0.187785,0.386840
R00306,train,-1.420016,-0.944298,-1.057233,-0.203935
R00307,train,0.941997,-0.045553,0.125053,-1.801478
R00308,train,-0.038628,0.824937,-0.226039,1.362919
R00309,train,-0.103690,-0.241407,-0.745306,0.171448
R00310,train,-1.102287,-0.897418,-2.117268,-0.304535
R00311,train,-0.552088,0.976015,0.078604,-0.154434
R00312,train,0.394420,0.695652,-0.541805,-1.439979
R00313,train,1.024135,-3.575028,-0.140093,0.405873
R00314,train,0.098607,-0.162154,-0.602642,-1.200765
R00315,train,-0.635765,-0.330437,-1.208889,0.490276
R00316,train,0.076324,0.009115,0.141388,-0.525563
R00317,train,0.848927,-1.088243,0.064076,-0.435789
R00318,train,-0.825419,-0.377338,1.182158,-0.398649
R00319,train,1.173040,1.158658,0.637530,-1.148088
R00320,train,-3.353181,0.246844,0.034488,-2.219118
R00321,train,0.139253,-1.998306,-0.019706,-0.715525
R00322,train,1.353628,0.517331,-0.523420,-0.551810
R00323,train,-0.036242,-1.352908,0.124727,0.330179
R00324,train,-0.049180,0.462681,-1.788984,-0.877837
R00325,train,1.325527,-0.929986,0.349674,1.084456
R00326,train,0.218752,-0.455659,1.435510,-0.267364
R00327,train,1.335624,0.730387,0.692591,-0.316382
R00328,train,0.414452,1.143297,0.672857,0.819515
R00329,train,0.660820,0.897797,0.769779,1.290861
R00330,train,-0.837272,1.773103,0.318974,-0.260772
R00331,train,-1.072222,-0.585743,0.905595,-0.215422
R00332,train,-0.450334,-0.343274,1.516890,-0.188502
R00333,train,0.058995,-0.798299,1.013316,-0.738719
R00334,train,0.186034,0.486156,0.491661,-1.107003
R00335,train,0.133376,0.107974,-0.286196,-0.581002
R00336,train,-0.334890,-1.740331,0.798303,-1.217201
R00337,train,0.229960,-0.260611,-0.367610,0.874263
R00338,train,-2.000626,-1.115667,-0.471875,1.561828
R00339,train,-2.886728,-0.244941,-0.349154,-0.034093
R00340,train,-1.143479,0.323930,0.542107,1.642081
R00341,train,-0.086644,-0.096797,-2.615580,-0.209968
R00342,train,1.127893,-0.344110,0.940091,1.037915
R00343,train,0.306593,-0.731678,0.105327,-0.383556
R00344,train,-0.906278,0.807737,-0.180934,-0.837718
R00345,train,-0.953014,1.630172,2.265220,-1.370644
R00346,train,0.899497,-1.285897,-0.542452,-0.579434
R00347,train,0.204682,-1.048271,1.530076,0.616192
R00348,train,-0.432834,-0.078272,-1.192632,1.741972
R00349,train,0.657472,0.100476,-0.315554,0.213702
R00350,train,2.726091,-0.331459,0.530708,2.025535
R00351,train,0.658567,0.312416,-0.307636,0.439657
R00352,train,-1.273008,0.363246,-0.652434,0.131036
R00353,train,-0.514136,-0.618898,0.887842,0.643367
R00354,train,0.613273,-0.364628,-0.435514,0.402214
R00355,train,-0.366607,-0.463804,1.081931,-1.261366
R00356,train,1.509778,-0.809375,0.641969,0.472030
R00357,train,-0.641983,0.685606,-1.855104,0.480676
R00358,train,-1.513476,1.041893,0.336023,-0.145917
R00359,train,0.356985,0.061457,1.090182,0.502938
R00360,train,2.732213,0.869755,2.373811,0.495416
R00361,train,1.022337,0.897183,3.078162,-0.062939
R00362,train,1.051219,-0.660213,-0.755460,1.162450
R00363,train,-0.361771,-0.556256,-1.283899,-0.268000
R00364,train,0.566044,0.162336,-0.609065,-0.960608
R00365,train,-0.216333,-0.846123,-0.328812,-1.584306
R00366,train,-1.243931,1.050330,0.132083,-1.111959
R00367,train,1.169520,-0.486561,0.715052,-0.632487
R00368,train,1.243162,-0.648392,-0.703536,-0.578229
R00369,train,-0.903366,-1.469266,-0.613912,-0.855637
R00370,train,-1.669211,0.935288,0.052132,1.202639
R00371,train,1.727811,-0.606720,-0.440180,-0.187552
R00372,train,2.281493,-0.325382,-0.699351,-1.353009
R00373,train,-1.264128,-0.726022,-0.175696,-0.071607
R00374,train,-0.282114,-0.901479,-0.206301,0.157467
R00375,train,1.539280,-0.672972,-0.322618,1.275822
R00376,train,-0.157327,-1.152259,-0.484955,0.094461
R00377,train,1.261890,1.622485,0.136584,0.998251
R00378,train,-2.148896,0.196355,-1.295291,-0.309215
R00379,train,1.468645,0.195478,0.794053,1.234288
R00380,train,-1.445325,-0.393630,-0.375397,-0.394520
R00381,train,-0.088567,-1.778946,0.675543,-0.452630
R00382,train,-0.598957,-2.100600,1.132813,-1.008154
R00383,train,-0.951202,-0.227814,-0.601046,0.515664
R00384,train,1.115890,-0.898651,0.091459,0.758966
R00385,train,-1.500048,0.861452,-0.923287,1.511929
R00386,train,0.493189,-0.075993,0.716819,-1.394575
R00387,train,-0.488825,1.153377,-0.995139,0.413160
R00388,train,0.676823,-0.012784,-0.141551,0.481534
R00389,train,0.429503,0.546773,-2.015186,-1.447843
R00390,train,0.182287,-0.287492,2.010057,1.392120
R00391,train,1.129167,-0.526803,0.889755,-0.380260
R00392,train,-0.553009,0.609343,-0.695957,0.148201
R00393,train,-0.216985,-1.191907,1.204646,0.710656
R00394,train,0.484019,-0.180822,-0.297922,-0.929449
R00395,train,0.202254,0.277662,-0.968239,-1.339517
R00396,train,0.177786,-0.392104,0.277805,1.653243
R00397,train,-1.467096,1.163501,-2.459019,1.974616
R00398,train,-0.171119,0.902107,-1.338223,0.326429
R00399,train,1.080413,-0.787361,-0.102239,-1.606267
R00400,serve,-1.284757,11.192852,5.015161,0.738353
R00401,serve,-1.543927,7.090157,4.495064,-1.149377
R00402,serve,-1.230221,7.833503,4.447125,-0.362083
R00403,serve,-1.223746,10.056555,4.245546,-2.317440
R00404,serve,-0.749401,7.925638,4.124977,1.499396
R00405,serve,-0.391224,8.863701,4.597104,0.324913
R00406,serve,-1.146276,5.017829,4.515174,1.682028
R00407,serve,-0.927393,0.775293,4.392770,-0.727959
R00408,serve,-1.757334,4.581607,4.600835,-1.012124
R00409,serve,-1.789707,6.965613,4.171792,-1.473432
R00410,serve,-0.091263,8.239638,4.676933,0.754511
R00411,serve,-0.699398,5.855822,4.268720,-1.710706
R00412,serve,-0.968871,6.904115,4.571274,-0.103752
R00413,serve,0.075223,8.059235,4.499215,0.333528
R00414,serve,0.704916,6.890422,4.790320,0.463939
R00415,serve,-0.077955,7.532780,4.806157,-0.779771
R00416,serve,-0.315123,7.600455,4.455519,-0.286605
R00417,serve,-1.495902,9.775395,4.764650,-0.489386
R00418,serve,0.004049,7.011337,5.170231,-0.883722
R00419,serve,-0.585541,6.770087,4.884027,-1.022954
R00420,serve,-0.966700,7.773890,4.919613,1.185086
R00421,serve,-1.746101,10.962884,3.930305,-0.721198
R00422,serve,-1.066171,4.466179,5.787542,-1.052535
R00423,serve,-1.340756,5.033954,4.219011,-1.487816
R00424,serve,-1.286272,3.979372,4.273378,-1.068983
R00425,serve,-0.791302,6.508519,3.987620,1.048294
R00426,serve,-1.145770,7.165235,3.982505,-0.987100
R00427,serve,-0.788838,7.231099,4.745762,-1.260562
R00428,serve,-0.835229,8.653194,4.836181,-0.507626
R00429,serve,-0.963410,10.001262,4.137610,0.258200
R00430,serve,0.369995,10.809116,4.842731,-1.145067
R00431,serve,-1.010350,7.774429,4.292864,-0.689109
R00432,serve,0.817072,9.265208,5.058875,-2.296515
R00433,serve,-0.525838,9.234032,4.240763,0.688797
R00434,serve,0.475247,7.718229,4.959248,-0.378708
R00435,serve,-0.702257,8.612252,5.007411,-0.108768
R00436,serve,-1.396332,6.659177,4.392652,-1.098701
R00437,serve,-2.185820,8.876381,4.344088,-1.102287
R00438,serve,-0.321888,8.568937,3.998839,-0.371318
R00439,serve,-1.685125,5.055943,4.507119,0.408114
R00440,serve,-1.188678,5.220742,4.137043,-0.925815
R00441,serve,-2.393951,3.506827,4.228885,-0.983920
R00442,serve,-1.829838,6.446589,4.546468,-1.106305
R00443,serve,-1.430044,4.665534,4.910205,-1.327439
R00444,serve,0.113041,2.803219,4.245641,0.747032
R00445,serve,0.187472,9.486581,5.141172,-2.676739
R00446,serve,-0.924534,6.163403,4.527841,0.550495
R00447,serve,-0.808896,4.369691,4.835251,-0.707979
R00448,serve,-1.846947,8.903720,4.406251,0.297944
R00449,serve,-1.463573,5.128607,4.440911,-1.071917
R00450,serve,-0.869174,8.962613,4.268544,-0.678821
R00451,serve,-0.370370,6.392535,4.830275,-2.001589
R00452,serve,-0.999399,9.469509,4.037164,-0.550543
R00453,serve,-0.058035,8.006937,3.852531,-0.518396
R00454,serve,0.112735,6.975318,4.643595,-0.151972
R00455,serve,-0.852873,4.331901,4.691067,-1.414262
R00456,serve,0.389329,5.919743,3.893092,-1.551323
R00457,serve,-1.702995,7.015400,4.187906,-0.767351
R00458,serve,-1.439711,3.223130,4.283480,-0.947611
R00459,serve,0.214719,10.314842,4.720069,0.746737
R00460,serve,-0.044288,8.136086,4.567453,1.224696
R00461,serve,0.003657,4.164975,4.354423,0.481871
R00462,serve,-1.433871,5.036045,4.627058,-0.469324
R00463,serve,-0.656496,7.989192,4.610835,0.467425
R00464,serve,-0.310451,9.653349,4.286743,-0.075175
R00465,serve,0.393825,2.560482,4.440067,-0.834450
R00466,serve,-0.743178,8.996510,4.782966,-0.017649
R00467,serve,-0.214877,9.509284,3.967641,-2.500636
R00468,serve,-1.508162,8.465658,4.261012,-0.396598
R00469,serve,-0.851235,2.611024,3.930702,-2.951174
R00470,serve,-0.644713,11.439303,4.510076,-1.661417
R00471,serve,0.417617,9.504588,4.621217,-0.494386
R00472,serve,-1.571828,8.850834,4.663415,-2.358538
R00473,serve,-0.158823,6.622401,4.397044,0.504505
R00474,serve,-2.623601,8.799261,4.831046,-1.549669
R00475,serve,-1.161103,7.104938,4.329072,-1.566439
R00476,serve,-2.249618,6.192578,4.653618,0.711715
R00477,serve,-0.853004,4.554903,4.504228,-0.748747
R00478,serve,-0.978928,7.537837,4.641150,-2.306640
R00479,serve,0.150932,5.769163,4.141690,0.320655
R00480,serve,0.231182,7.949875,4.388151,0.345209
R00481,serve,-1.226082,5.883798,5.009341,-1.052136
R00482,serve,-0.449705,5.382512,4.888444,-0.803770
R00483,serve,-1.257333,7.578315,4.607834,1.162251
R00484,serve,-1.889776,8.924313,4.218970,0.534130
R00485,serve,-2.658612,7.002220,4.230781,-1.613781
R00486,serve,-1.465015,7.822810,4.607853,-1.054607
R00487,serve,-1.115516,8.835827,4.318707,-0.697891
R00488,serve,0.184604,3.746273,3.703253,0.527760
R00489,serve,0.223601,4.408659,4.573497,0.791676
R00490,serve,-0.688506,7.451411,4.734700,0.319235
R00491,serve,-1.315792,8.956901,5.398104,2.914680
R00492,serve,-1.256112,8.453284,4.620704,-1.059331
R00493,serve,-1.064020,5.168006,4.712676,0.364471
R00494,serve,-0.862207,5.927990,4.234747,-0.694122
