row_id,f1,f2,f3,f4,f5,f6
R00600,-0.214352,-0.1806,0.37978,0.480423,0.640056,-0.147352
R00614,-0.362596,0.212623,0.795212,0.037559,2.361037,0.059411
R00628,-0.078226,0.027866,-0.010985,0.04511,1.035472,0.176082
R00634,-0.051094,0.095198,-0.325523,0.772607,0.151672,0.051239
R00641,0.740783,2.466298,-0.763915,1.062553,0.357397,0.364625
R00651,0.327387,-0.326335,-1.390616,1.272123,0.685666,0.442366
R00655,-0.162496,-0.187235,-2.313533,0.931937,-1.626011,-0.626644
R00676,-0.558573,2.768997,1.469927,1.060906,-0.331791,0.631383
R00679,1.846578,2.662514,-1.462187,-1.562752,-0.545807,-0.235639
R00725,1.543531,0.335712,0.037247,0.466689,1.630732,0.224952
R00726,-0.658407,2.601843,-1.695195,0.712397,-0.464141,-0.076268
R00739,0.196776,-0.176655,-0.28503,1.831589,0.315093,1.494449
R00740,0.839721,0.175166,-0.955919,0.277099,-0.369321,-0.603215
R00749,-0.515564,0.01766,-0.524115,-0.27406,1.645203,-0.055803
R00754,-0.816796,-0.124881,-1.436397,-0.141614,0.057394,-0.798884
R00755,1.259506,-0.083162,-1.104988,-1.247289,-1.240497,0.174839
R00001,-0.554279,2.860575,0.045524,-1.381896,0.344767,0.970826
R00006,0.305168,2.462442,-0.487447,-1.701041,-0.439704,0.502699
R00014,-1.343878,-0.072106,-0.316591,0.875212,2.029362,-0.935282
R00030,-1.166881,0.15261,1.846613,0.132828,-1.266001,-1.039529
R00039,-0.863086,-0.219057,-0.777489,-0.09025,0.690099,0.953452
R00040,-1.734572,2.490869,0.309121,-0.589592,1.987722,1.057414
R00045,1.018384,0.094452,-2.439807,-2.262651,-0.012727,0.326287
R00049,-0.517805,2.433692,-0.899034,-0.412961,0.785427,0.10165
R00051,0.264001,0.2179,0.002252,-0.127629,0.287139,0.244471
R00054,0.586945,0.139788,0.98948,1.250481,-1.183853,0.870926
R00055,-1.528711,0.016643,1.594174,0.877914,0.568224,-2.781277
R00080,1.98021,2.612043,-0.667985,-0.632439,1.7845,0.736781
R00085,-0.910862,-0.192915,-0.21363,-0.978558,0.603912,1.439027
R00090,0.211517,-0.058242,1.072958,0.496932,1.500306,1.042466
R00093,-0.049312,2.225788,-0.321096,-0.174008,0.458449,-0.882425
R00118,1.612143,0.109478,0.743402,-1.304496,0.991036,-1.26836
R00121,0.062734,2.434813,0.460614,-0.196957,1.799277,1.846996
R00125,-1.036746,-0.074656,-0.4242,-2.045723,1.713225,0.57576
R00145,-1.290947,2.543012,-0.625255,0.927269,1.340691,-0.008105
R00154,0.706271,-0.028541,-0.019274,-0.023311,-0.027396,-1.014529
R00157,-1.789402,0.086863,0.021502,-0.0797,0.94904,-0.561949
R00176,1.004795,2.408681,0.916923,-1.25778,0.340124,-0.771557
R00178,1.307352,2.396638,0.015515,-1.190919,1.109327,0.217428
R00187,-0.14721,2.389013,-0.112118,1.463244,-1.554726,2.029293
R00194,1.35401,2.238857,-2.390489,0.239864,-0.473665,-1.641798
R00197,1.177367,0.10892,-0.762346,0.337989,0.549514,-0.223256
R00200,0.509313,2.582876,-0.511832,1.765899,-0.539814,3.387156
R00225,-1.364942,-0.106668,0.991585,-0.109886,1.320936,1.495257
R00233,-0.065861,0.073893,-0.395182,1.215415,-2.396464,-0.723167
R00267,0.466241,-0.240167,1.295715,0.175757,-1.042154,-1.511401
R00283,-1.331063,-0.136271,-0.009295,1.845124,-0.786773,-1.47577
R00288,-1.426078,-0.104735,-0.234565,0.961012,-0.246884,1.919612
R00315,0.842184,-0.077149,0.233397,-0.591931,-1.250755,-0.915338
R00329,-0.757078,0.074376,-0.076059,0.277745,-1.413335,1.317037
R00334,1.463134,-0.063033,-1.067149,-0.990064,-1.317425,0.268177
R00339,-0.656022,0.019643,-0.257121,-1.234527,0.971878,-0.987424
R00349,-0.391926,0.174109,-1.363562,1.80784,0.805681,-0.676289
R00367,0.112694,2.565455,0.00745,-0.081935,2.086609,0.553146
R00372,0.052247,2.583576,-0.652795,-1.252231,0.999689,-1.272784
R00375,0.30084,0.053043,-0.817567,0.958531,0.880204,-0.656778
R00399,0.351364,2.322999,-0.858813,-0.624393,0.283765,-0.827534
R00431,-0.122348,-0.138837,-1.28887,1.818566,2.125067,-0.699318
R00432,-1.386493,2.646114,-0.008988,-1.091157,0.955455,0.846379
R00455,1.306055,-0.116745,1.479237,-1.679806,0.593109,0.291669
R00456,0.415772,2.686772,0.913011,0.227482,0.339926,0.118723
R00457,1.026019,-0.033439,-0.318022,0.323734,-0.608575,1.571499
R00459,-0.403069,-0.092445,-0.689233,-0.487656,0.58749,0.03561
R00471,-0.241017,-0.060795,0.50977,1.477845,-0.607903,-1.270468
R00495,2.370353,0.064776,-0.822153,-1.950865,-0.080006,-0.122255
R00499,-0.608984,-0.041255,0.49399,-1.186098,0.894941,1.320074
R00511,-0.594778,0.142071,0.67056,1.061971,2.154506,-1.148722
R00512,-1.496964,0.289673,2.31205,0.183014,-0.645347,-0.144269
R00542,1.310504,0.099135,-0.259974,0.066242,0.265372,1.844591
R00543,-0.10124,0.027487,-1.794876,0.03481,0.677004,0.342487
R00552,0.64,2.345551,-0.689646,1.663178,1.290562,-0.275751
R00556,1.035279,0.007943,-0.106566,0.589552,3.320999,0.408723
R00563,0.382155,0.066838,0.056788,1.754265,-1.6976,-0.943334
R00574,1.571527,2.501994,1.607487,-0.127897,-0.623333,0.731707
R00589,-0.937031,0.080465,1.262675,-0.848644,2.086732,-0.586426
R00618,0.646155,-0.015753,0.348651,-1.68091,0.295396,-0.120018
R00635,0.558422,2.506137,0.081867,-0.029697,-0.565144,-0.802068
R00637,-0.955518,-0.150147,1.683064,0.189027,-0.257417,1.348842
R00638,-0.861841,-0.276872,0.239407,-2.632232,-0.708537,-0.818589
R00658,1.02231,0.078822,0.947541,-0.230739,1.280793,-0.706234
R00661,0.105741,-0.051173,0.811638,-0.332306,1.192087,1.305809
R00664,0.17052,2.411415,0.341022,-1.254454,1.721081,-0.871389
R00672,-0.884991,-0.219561,0.285458,0.976416,-0.283187,-0.316837
R00682,-1.831723,0.089939,0.299554,-0.399991,-0.081399,0.720335
R00684,-1.324725,0.307531,1.379771,0.212789,-0.581465,0.570109
R00695,-0.300762,0.018696,0.446533,0.692463,-1.016812,0.400542
R00712,0.194084,2.507562,-0.770468,-0.412284,-1.808415,-2.028171
R00736,0.823958,2.525935,1.304238,1.795504,0.24733,2.189217
R00750,1.626749,2.269289,3.908022,1.811426,-1.76628,0.159905
R00751,1.07413,0.12473,1.321457,-0.846964,0.414883,-0.648726
R00779,-0.505564,-0.303998,-0.337236,-1.531759,0.54406,0.689425
R00780,-1.077275,2.356101,-0.031433,-1.482675,-0.635646,0.136937
R00781,-0.958846,0.039034,0.034071,1.297359,-1.597882,1.307375
R00011,-2.545227,-0.092643,1.291452,-0.42607,1.202385,0.626682
R00016,-0.102878,-0.024894,1.961011,1.866316,-0.54252,-1.098072
R00025,-1.735656,-0.101719,0.506049,-1.5052,1.380992,-1.821518
R00031,-0.638911,-0.019168,0.025337,-2.138305,-0.104614,0.572656
R00033,0.154075,0.159277,-0.273868,0.137021,-0.762253,0.812459
R00043,1.715216,2.406643,0.895067,-0.013877,-0.692149,1.794594
R00052,-1.978,-0.089252,1.907693,-0.206384,-0.754811,-1.121504
R00056,-1.274714,0.191728,0.474444,-0.036359,0.016488,2.222156
R00087,0.164838,-0.069521,0.424109,0.325142,0.186466,-1.786844
R00098,0.387483,-0.070483,-0.142017,-0.759994,0.513961,0.355184
R00100,-0.046693,0.02565,-0.099675,3.05567,-0.169929,0.630065
R00106,1.439666,0.217498,0.006984,-0.789871,-0.253237,-1.456534
R00108,0.155304,0.298405,-0.025173,0.204534,-0.113698,0.076464
R00110,0.925494,0.214355,-1.336252,1.198105,0.624425,-0.341538
R00126,0.583155,0.233434,-0.337636,-0.931766,0.367326,-0.746151
R00127,-0.097819,2.790417,1.427147,-1.591779,0.465366,1.434738
R00129,-0.379192,0.103935,-0.381522,1.938762,-0.020685,-0.031276
R00130,1.931488,0.063902,0.056178,-1.240921,-0.724989,-0.195211
R00141,0.570754,2.399492,1.972647,-1.111528,0.674885,1.141767
R00155,-0.167601,0.281497,-0.144656,0.006476,0.110003,-0.902527
R00163,0.676532,-0.034601,1.063612,-1.471334,-0.036555,-1.198963
R00166,-2.162819,-0.033545,-0.960082,0.576055,-0.256945,0.167302
R00170,-0.357721,0.019582,-0.323977,-0.464119,0.284398,-0.317206
R00185,-1.332417,0.12801,0.830003,-1.717448,1.094013,0.500812
R00190,-0.094529,-0.179488,-0.767935,-0.838296,-0.524284,0.509171
R00196,-0.705372,-0.187824,-1.877084,-0.172378,-0.733276,0.398799
R00210,1.093938,0.13496,0.91719,0.995144,-0.662821,-1.997985
R00211,0.037199,-0.000163,-0.531296,-1.196419,-0.871036,0.450425
R00213,1.033937,2.594916,-0.290798,-0.015928,1.504785,-0.931607
R00223,-0.446136,0.300578,-0.472002,-0.252593,-0.501112,-0.91704
R00227,-0.00581,2.689672,0.236502,0.731262,0.841247,-0.383808
R00237,-0.552207,2.535702,-0.198687,1.006587,0.460753,0.563831
R00241,-1.005922,0.105647,1.376731,-0.630635,-0.860845,0.686372
R00245,1.584355,0.116272,0.65037,0.632959,-1.382794,-0.889092
R00251,-2.252555,-0.134916,-0.059862,-1.585815,-0.925604,0.751889
R00279,-0.72016,-0.171155,-1.277848,-0.066373,1.035614,0.898255
R00281,0.361174,2.295589,-0.323838,-1.349684,-0.157559,1.930362
R00287,1.146448,2.39336,0.469111,-0.737031,-0.533943,1.425661
R00301,1.811436,2.618871,-0.632934,0.992763,-1.729618,2.956466
R00307,1.040333,0.070028,2.271171,-0.19706,-0.280357,-0.614107
R00326,1.67676,2.528421,0.738781,0.111868,-0.73412,-0.227736
R00342,0.39432,2.409625,1.217768,2.040725,0.578504,0.983228
R00352,0.605131,-0.028152,-1.69738,-0.948197,-0.489667,-0.856613
R00358,-1.006183,2.445141,1.073377,0.409023,-0.528626,-0.813945
R00369,-1.021829,2.774232,1.070898,0.187804,0.07672,1.128207
R00371,-1.010907,0.080967,1.090443,0.677848,-0.176933,-1.293772
R00376,-0.799935,-0.071352,-0.282429,0.874365,1.780716,0.41646
R00388,-0.90996,-0.129547,0.475518,-1.088068,0.819133,-1.410262
R00394,-0.422786,2.660767,-0.479467,0.384527,0.670722,-1.88017
R00395,1.200082,0.014094,1.56537,0.585877,-0.401555,0.912879
R00400,-0.681316,2.454484,0.511481,-0.802157,0.59362,0.51752
R00402,0.532658,2.367584,1.692165,1.458212,-3.132221,-0.089815
R00403,0.422238,-0.067184,-0.119727,0.088805,-1.10887,-1.263731
R00408,0.806681,-0.095038,-1.386927,-0.09392,0.363097,-0.877035
R00414,-0.495221,0.308363,0.00553,-0.87966,-0.680583,-0.494455
R00415,-0.747011,2.461045,0.268657,0.265391,1.521641,1.277264
R00416,0.788599,2.58725,-1.480169,0.496575,1.374747,1.816992
R00430,-1.02833,2.469652,0.297651,1.324188,1.268006,0.243148
R00437,-0.538313,2.821956,-1.262656,0.66406,0.016311,1.813676
R00449,-0.878211,-0.027929,-0.927199,-0.718733,1.413703,-0.849519
R00453,-0.75609,-0.191711,-1.876119,0.434444,-2.757576,1.018049
R00460,1.551308,-0.230634,0.04708,-0.258202,-1.361678,-2.378995
R00461,1.307153,2.204896,1.334567,-0.244284,-0.47753,-0.548426
R00469,-0.940173,2.844243,1.137209,0.913641,1.559646,0.865889
R00475,-0.685376,2.512939,-0.722533,-1.226251,0.776265,1.169675
R00478,-0.012186,0.085458,-0.574369,-0.738842,-1.652354,1.09828
R00486,0.193923,2.510189,0.86027,0.051974,0.879596,-0.493413
R00493,-0.368622,-0.014241,-1.632312,1.277867,0.269158,1.535845
R00497,2.146287,2.422939,-0.471106,-0.102236,-0.03232,0.752651
R00500,-0.797494,-0.129647,1.937412,0.640878,0.700491,0.13056
R00504,-0.785488,0.027474,0.944998,-0.524878,-0.518893,-0.649954
R00505,1.727665,-0.191714,0.629444,0.332508,1.106075,0.050633
R00508,-0.678724,-0.110424,-0.641318,1.743124,0.698004,-0.497569
R00510,-0.256094,-0.113802,-1.018793,0.444993,-0.195685,0.688069
R00531,-0.459917,0.092522,0.181475,0.137523,-1.226358,-0.273257
R00535,-0.438492,2.426986,-1.468396,2.028603,1.148401,-0.965498
R00546,-0.339695,2.479337,-0.935964,-0.822066,0.330058,0.733748
R00557,-0.004099,0.212494,1.61867,-1.010138,-0.06257,1.267329
R00560,-0.598655,-0.126922,0.201844,-0.236558,0.176509,-1.731212
R00562,-0.002734,0.001658,0.996721,-0.669711,0.748027,0.984002
R00569,0.532853,0.058869,1.282714,0.984224,0.311064,1.743822
R00586,-0.715272,2.519529,1.522317,0.571702,0.955597,0.562202
R00592,-0.675001,-0.13172,-2.714447,2.336598,0.5415,0.040838
R00594,-0.340654,0.127789,0.612081,0.328627,-0.495638,-1.860865
R00643,-0.378601,0.06521,0.183135,0.279004,0.921836,-1.425975
R00650,-0.418771,-0.050377,0.213318,-0.909279,1.005641,0.136926
R00652,-0.998967,2.636856,-0.059807,-0.272314,0.086566,0.953747
R00663,1.195402,2.524352,0.666868,0.304606,-0.118474,0.406091
R00687,-1.669567,0.099052,0.607376,-1.138413,1.980359,0.205828
R00698,0.90167,2.390513,-0.181619,-0.137518,1.513775,-0.608417
R00722,0.660617,2.619805,1.008727,1.646657,1.985981,-0.025727
R00729,-0.162592,2.667407,1.085901,-0.023504,0.722689,0.90283
R00732,-0.54296,0.151365,1.045131,-1.028994,0.066537,1.455512
R00733,0.291016,2.664766,1.826938,0.257054,0.274782,0.248865
R00735,0.763033,0.004843,0.656383,0.837268,0.759893,1.720038
R00758,0.5166,-0.247544,-0.10265,1.151009,-0.491443,-0.804658
R00773,-0.724431,-0.00618,-1.016717,0.5803,-0.143241,-0.603443
R00796,0.544695,-0.202376,1.192064,-1.791264,2.903514,1.062211
R00002,-0.384564,2.486085,1.530663,-0.878532,-0.152424,-0.236342
R00018,-0.081869,-0.152094,-0.196357,1.3762,0.279215,-0.186908
R00026,0.783653,-0.128037,-0.995657,1.179271,2.179348,-1.449721
R00044,-1.424818,2.336716,0.88836,1.062256,-0.42567,0.332685
R00067,-0.20531,0.035873,-0.132805,1.737219,0.091469,2.01825
R00084,-1.406429,2.22523,-0.991106,-0.154315,-0.559456,-1.01973
R00086,-0.067844,2.299408,0.360629,0.346237,0.895781,0.763417
R00094,0.58367,-0.01711,0.651638,-1.483414,-0.340045,-0.491311
R00101,-1.077365,2.411771,-1.453811,0.24751,0.597469,-0.842965
R00116,1.339899,0.19178,-0.460668,0.646423,-0.034263,-0.087463
R00117,-1.001283,-0.157921,0.298488,-0.874549,-0.447275,-0.460316
R00136,0.341767,0.106864,1.682227,-1.668044,0.998591,2.026708
R00146,0.462478,0.023354,1.293879,1.708297,-1.575259,0.475719
R00158,0.4877,2.451565,-0.812886,1.107017,1.479896,-1.670155
R00164,-0.447184,-0.151248,2.495407,-0.329659,-1.504576,-0.454799
R00189,-0.773168,0.094818,-0.704053,-1.365986,1.074383,1.314287
R00198,1.885624,2.688894,-1.074059,0.170309,-0.568069,0.110499
R00201,0.684347,2.030277,1.002997,0.921451,-1.156798,1.36629
R00204,1.570942,2.507054,1.013504,2.044332,2.482296,0.083248
R00205,-0.097376,-0.117948,-0.871166,0.78842,-0.568378,0.832467
R00206,-0.140283,-0.023605,-1.735903,-0.025074,-0.542485,-0.390355
R00256,1.716166,-0.155004,-1.70264,-0.108937,-0.867627,1.850924
R00270,-0.745364,2.354103,-1.393962,0.952067,0.768552,0.797057
R00273,1.475972,2.655996,-0.718294,1.470436,-0.38824,-1.367536
R00292,2.366973,2.443033,0.909633,0.960981,0.590436,0.896196
R00294,-0.263857,2.473497,-0.223391,0.672971,1.29891,-0.765195
R00302,-0.934065,0.183021,-1.178659,0.163223,0.120009,0.295413
R00304,1.197983,0.128674,-0.853243,-0.795155,-0.084306,-0.973413
R00328,-0.721439,0.088915,-0.437923,-2.659292,-0.388056,-0.309218
R00330,0.044075,0.238328,2.060628,0.203184,-0.113039,0.226015
R00335,0.321543,-0.179762,0.610966,-0.167797,1.839106,0.224455
R00346,1.166921,2.658321,-1.455752,0.808882,0.72276,-0.868836
R00348,-1.849647,2.885155,-0.142639,0.243114,0.417008,2.860226
R00351,0.550238,0.144121,0.137516,-0.803114,-0.086143,2.376651
R00357,0.525704,2.21688,1.387678,0.21513,-0.944821,0.131324
R00382,1.484021,2.566855,-1.246462,1.453426,0.153563,0.656246
R00384,-1.175124,-0.082541,-1.902748,-0.889608,0.739915,0.63232
R00386,-0.552088,-0.083024,-0.907183,-0.269637,-0.198318,-0.147624
R00389,-2.105379,0.044523,0.405036,-0.432744,0.314756,-0.530294
R00391,-0.629663,2.353516,-0.207376,-0.015581,-0.339189,0.06994
R00433,1.086151,-0.116588,1.703202,0.517411,-0.939624,0.864591
R00440,2.046321,-0.149985,-1.037617,-0.334112,-2.55114,1.19917
R00448,-0.228305,-0.062309,-0.484409,-1.021857,0.751351,2.207704
R00450,1.017457,2.533288,-0.376231,1.167226,1.506352,0.617404
R00451,1.243735,-0.021224,0.480253,0.736359,0.053677,-1.30931
R00458,-1.249547,2.421606,1.541623,0.259485,0.678854,-0.426343
R00467,-0.387806,0.091443,1.81306,2.196172,1.060161,1.632742
R00476,2.537535,2.727542,0.405729,1.347194,2.964358,0.115676
R00481,-0.702358,2.529662,0.710555,0.132045,-0.524422,-1.570128
R00483,0.97501,0.173033,-0.293688,0.356184,0.708093,0.098881
R00484,-0.452755,-0.013132,0.361662,1.00224,1.131965,-0.471264
R00485,-1.704688,0.315397,0.284844,0.440299,-0.275966,-0.925055
R00502,1.155491,0.094753,0.002267,-0.035414,-1.055878,0.11393
R00514,0.33283,2.683807,0.201803,-0.609413,2.457875,1.23507
R00522,-1.719233,0.073831,-0.395768,0.662078,0.154726,-0.946468
R00532,-0.204484,2.54993,0.692477,0.970757,-0.042801,1.566546
R00541,-0.379354,2.530909,-1.501284,0.058978,0.17881,0.358259
R00548,0.052176,-0.116161,-0.519311,2.975359,1.316643,-1.732979
R00583,-1.362375,-0.189735,0.087513,0.036475,0.84311,0.805884
R00588,-1.000345,0.071061,0.071849,-0.346996,0.510984,-0.207032
R00590,-0.159453,0.111502,-0.420471,-0.552575,0.167241,0.055056
R00604,-0.613,-0.03782,0.227343,0.429741,0.423773,0.19124
R00619,-0.19536,-0.195879,0.31938,0.013311,0.417563,0.581195
R00630,0.304344,2.278391,-0.782644,0.935527,0.831358,0.689578
R00642,0.392794,-0.444118,-0.64487,-1.317105,-1.892474,-1.113973
R00647,1.471194,-0.085183,0.785038,1.153672,0.530215,-0.430155
R00662,0.605245,2.564624,2.614902,0.966402,-0.010575,1.457798
R00666,0.880684,0.03575,1.115167,0.988572,-0.414124,0.919984
R00667,-1.244199,2.453486,1.174684,-0.30803,1.776248,0.874872
R00677,0.305999,-0.054586,1.916779,-0.305874,-0.134971,1.990594
R00681,0.260118,2.37213,0.057799,1.801515,0.978685,2.539917
R00686,-0.142239,-0.08609,-0.005036,-0.500365,-1.10609,-2.510339
R00694,1.761409,-0.027875,0.673394,0.067555,0.234722,-0.169253
R00704,0.34279,-0.078611,0.160773,0.025324,0.500634,1.211348
R00713,0.47195,2.50479,-2.44004,-0.632094,-0.324504,0.642912
R00716,2.372853,0.140142,-3.418755,1.340298,0.596939,-1.20361
R00728,-0.578124,2.756466,-0.248038,0.980445,0.359711,1.256184
R00741,-0.345378,-0.070807,-0.8113,-0.334821,0.90051,-1.63556
R00753,-0.19127,-0.085964,-0.115644,0.09438,0.618856,1.896185
R00761,0.581395,-0.247516,-0.472063,0.268125,-0.585795,-0.210848
R00769,-0.968355,0.237244,-1.131248,-1.941987,-0.195172,-0.146142
R00789,0.840442,2.138415,-2.499797,1.466914,0.093327,0.646257
R00007,-0.904393,2.548822,2.863352,-1.137484,-0.001381,-0.828555
R00021,-0.319567,-0.144106,-1.067582,-0.511843,-1.11049,0.198594
R00062,-0.026452,2.444172,0.071514,-0.905671,1.052274,-0.86998
R00070,1.00789,2.380368,-1.468602,1.041917,1.015167,-1.096664
R00092,0.972008,2.256775,1.195319,0.232253,0.995378,-0.114136
R00095,0.595294,2.498528,-0.199281,1.475117,-0.840173,-0.346033
R00104,2.024744,2.373793,-1.058215,0.429679,-0.496129,-1.068396
R00111,0.977738,-0.104742,0.558962,-0.037349,-0.698839,2.153061
R00113,0.502014,-0.097702,0.198545,1.365036,1.178043,0.687792
R00119,-1.86021,0.134638,-0.957765,0.084452,0.348498,0.691979
R00120,0.039526,0.121708,-0.039985,-2.361925,0.726621,0.058559
R00123,0.895186,2.357022,0.57594,-0.388345,-0.733489,-1.028817
R00138,0.297402,-0.043531,-0.175993,0.988042,1.031501,-1.155603
R00142,-1.386879,0.011028,1.17618,-0.326403,-0.201263,-0.211705
R00152,-1.520133,-0.260766,0.091868,-0.138848,0.168941,-0.359782
R00153,-0.904505,-0.055437,0.19814,0.23777,-0.522601,-0.212292
R00167,-0.724736,-0.159573,-0.18514,1.019873,1.12161,-0.485228
R00172,-0.051609,2.536511,-0.107062,1.503566,-0.951832,1.666055
R00182,0.687589,2.266353,-0.945659,-1.408052,0.112617,0.913016
R00183,-0.528105,2.27622,1.131694,-0.574781,-0.854747,-1.64768
R00188,0.692097,-0.121136,-1.757584,0.475681,-0.280279,0.077141
R00212,1.153605,-0.029781,-0.656974,-0.622156,-0.982671,2.073963
R00217,0.496074,2.383891,-1.827517,1.444721,-0.36812,0.594805
R00219,-1.617044,0.145049,0.866003,-0.644149,0.459449,1.408186
R00229,-1.085654,0.133717,2.26191,1.027894,-0.404208,-1.620374
R00240,-0.521725,0.016959,1.539692,-0.919505,-0.502939,0.318284
R00248,0.538173,0.240164,0.19036,-0.19816,-1.329659,-0.985144
R00253,-0.98752,2.413061,1.307705,-0.906468,-0.064684,0.558823
R00257,-0.836082,-0.286052,-0.971897,-0.142133,0.411311,1.988107
R00259,-0.841783,-0.118537,-0.625149,-1.022537,1.147028,-0.077076
R00261,-1.616956,0.185554,-0.599671,0.456181,0.473868,-1.236218
R00272,0.651623,-0.006246,1.204696,0.451169,-3.03994,0.277681
R00305,1.228609,0.384723,-0.737653,0.287538,0.259789,0.221605
R00310,-0.238243,2.60401,0.585334,1.732582,0.339603,-1.270316
R00313,0.326597,2.481644,0.513493,1.999507,-0.626524,0.284515
R00316,-0.822509,0.058546,-1.747853,1.377422,-0.732943,-1.579505
R00332,0.792109,2.398463,0.705984,-0.374504,-0.928356,-0.473114
R00333,0.425743,-0.148211,-0.451272,-1.533644,0.329968,-0.641699
R00350,1.20497,2.682496,-0.336718,0.239571,0.784588,1.279016
R00354,-0.539119,2.46744,-0.039079,-0.758035,1.238885,0.102399
R00362,-0.486046,2.529616,-1.240072,0.23865,-0.292971,-1.461512
R00363,0.540859,2.444408,-1.782286,0.945419,-0.693827,0.540815
R00364,1.036997,2.33867,0.02323,-1.147481,-0.66394,-2.720903
R00379,0.354512,0.089041,-0.38368,-0.640034,1.424495,-1.571315
R00393,-0.378895,-0.282128,0.694441,-0.036926,-0.917611,-0.177131
R00409,0.158921,-0.367127,0.952563,0.795647,-1.611983,0.930086
R00417,1.411495,-0.135123,-0.380434,-0.591339,-0.326236,-1.163472
