D           M1      S1      M2      S2      M3      S3      M4      S4      M5       S5      M6      S6    
2026-03-03  4.1332  0.9027  3.5401  0.8     7.1379  1.2819  3.9411  1.2081  11.999   0.9755  4.6717  1.6539
2026-03-04  4.251   0.8132  3.6223  0.8233  7.5372  1.3416  3.8807  1.2972  11.9418  1.2227  4.9563  1.6836
2026-03-05  4.0459  0.8525  3.7136  0.7662  7.1568  1.2999  4.105   1.2616  11.7937  1.13    4.7398  1.6256
2026-03-06  4.2469  0.8131  3.6557  0.7788  7.2839  1.3943  3.7653  1.2122  11.8375  1.1155  4.7403  1.4927
2026-03-07  4.1858  0.8551  3.5869  0.7199  7.2444  1.1995  3.9124  1.2312  11.8889  1.0071  4.5882  1.6723
2026-03-08  4.0569  0.9496  3.6085  0.7552  7.2706  1.2816  3.984   1.4287  12.0113  1.0402  4.7819  1.6957
2026-03-09  4.2078  0.8739  3.7731  0.7948  7.1695  1.2698  3.8242  1.2875  11.9965  1.0408  4.8346  1.6002
2026-03-10  4.0093  0.96    3.732   0.9137  7.3321  1.3947  3.9472  1.2865  11.8117  1.0198  4.536   1.7025
2026-03-11  4.2119  0.8151  3.78    0.8881  7.233   1.345   3.8552  1.2103  11.9974  0.9292  4.7509  1.5128
2026-03-12  4.1405  0.952   3.5985  0.7475  7.3326  1.3285  4.052   1.2731  11.9038  1.0311  4.7174  1.8631
2026-03-13  4.1772  0.8278  3.6459  0.7857  7.1927  1.3677  4.1477  1.297   11.9024  1.0418  4.6258  1.7526
2026-03-14  4.0864  0.9351  3.6527  0.7551  7.0364  1.2535  4.2549  1.3139  11.8758  1.0744  4.4039  1.5746
2026-03-15  4.2256  0.8356  3.6591  0.7504  7.1851  1.3306  3.9032  1.365   11.9115  0.9999  4.6566  1.6177
2026-03-16  4.2276  0.8038  3.5924  0.7207  7.1048  1.4015  3.8824  1.2994  11.8887  1.0002  4.627   1.6652
2026-03-17  4.2039  0.7415  3.6965  0.7999  7.3059  1.347   3.986   1.3493  11.8515  0.9771  4.6139  1.7697
2026-03-18  4.2617  0.9702  3.6423  0.7282  7.4731  1.261   3.7663  1.2963  11.9029  1.012   4.7234  1.6234
2026-03-19  4.2183  0.9029  3.7141  0.8266  7.1924  1.3247  3.8843  1.348   11.9312  1.0445  4.6927  1.7854
2026-03-20  4.2479  0.8777  3.6398  0.764   7.1732  1.3692  3.9187  1.2023  11.6618  1.0509  4.6163  1.5419
2026-03-21  4.1212  0.8506  3.5827  0.8024  7.2123  1.2511  4.1378  1.166   11.9007  0.9888  4.482   1.724 
2026-03-22  4.2309  0.9217  3.5247  0.8859  7.2604  1.2213  4.0381  1.2536  11.9683  0.9819  4.5155  1.7739
2026-03-23  4.1462  0.8187  3.5872  0.7602  7.1579  1.3497  3.9507  1.3849  11.9085  1.0235  4.7544  1.6429
2026-03-24  4.1084  0.8945  3.6357  0.7881  7.5747  1.3618  4.0525  1.2387  11.9926  0.9914  4.8297  1.6686
2026-03-25  4.2497  0.929   3.5533  0.9046  7.2711  1.3583  4.0558  1.324   11.735   0.9752  4.5939  1.5975
2026-03-26  4.2028  0.8126  3.7929  0.7517  7.3215  1.3256  3.981   1.2278  11.9968  1.135   4.6019  1.6328
2026-03-27  4.2329  0.8754  3.6767  0.8854  7.1373  1.361   3.8319  1.3454  11.8763  1.0052  4.5765  1.6604
2026-03-28  4.2334  0.9009  3.5451  0.7222  7.3701  1.3844  3.9335  1.164   11.9445  0.9951  4.8362  1.6265
2026-03-29  4.1712  0.9511  3.6179  0.7996  7.2167  1.3413  3.8591  1.4162  11.974   1.0119  4.6341  1.6612
2026-03-30  4.2122  0.9777  3.5415  0.7662  7.1472  1.4432  4.0009  1.261   11.8891  1.0254  4.7879  1.6625
2026-03-31  4.045   0.8624  3.5937  0.7949  7.3784  1.2704  3.9191  1.3034  12.0348  1.0383  4.463   1.587 
