rec_id,user_id,rank,item_id
U0015#1,U0015,1,I0037
U0015#2,U0015,2,I0051
U0015#3,U0015,3,I0009
U0015#4,U0015,4,I0050
U0015#5,U0015,5,I0010
U0016#1,U0016,1,I0025
U0016#2,U0016,2,I0029
U0016#3,U0016,3,I0043
U0016#4,U0016,4,I0033
U0016#5,U0016,5,I0012
U0017#1,U0017,1,I0009
U0017#2,U0017,2,I0050
U0017#3,U0017,3,I0045
U0017#4,U0017,4,I0017
U0017#5,U0017,5,I0034
U0018#1,U0018,1,I0015
U0018#2,U0018,2,I0041
U0018#3,U0018,3,I0023
U0018#4,U0018,4,I0018
U0018#5,U0018,5,I0027
U0019#1,U0019,1,I0055
U0019#2,U0019,2,I0022
U0019#3,U0019,3,I0016
U0019#4,U0019,4,I0034
U0019#5,U0019,5,I0054
U0020#1,U0020,1,I0039
U0020#2,U0020,2,I0040
U0020#3,U0020,3,I0009
U0020#4,U0020,4,I0050
U0020#5,U0020,5,I0023
U0021#1,U0021,1,I0008
U0021#2,U0021,2,I0001
U0021#3,U0021,3,I0041
U0021#4,U0021,4,I0025
U0021#5,U0021,5,I0029
U0022#1,U0022,1,I0022
U0022#2,U0022,2,I0012
U0022#3,U0022,3,I0035
U0022#4,U0022,4,I0046
U0022#5,U0022,5,I0015
U0023#1,U0023,1,I0014
U0023#2,U0023,2,I0023
U0023#3,U0023,3,I0037
U0023#4,U0023,4,I0026
U0023#5,U0023,5,I0001
U0024#1,U0024,1,I0054
U0024#2,U0024,2,I0038
U0024#3,U0024,3,I0039
U0024#4,U0024,4,I0023
U0024#5,U0024,5,I0037
U0025#1,U0025,1,I0034
U0025#2,U0025,2,I0021
U0025#3,U0025,3,I0058
U0025#4,U0025,4,I0046
U0025#5,U0025,5,I0045
U0026#1,U0026,1,I0039
U0026#2,U0026,2,I0009
U0026#3,U0026,3,I0050
U0026#4,U0026,4,I0000
U0026#5,U0026,5,I0025
U0027#1,U0027,1,I0045
U0027#2,U0027,2,I0012
U0027#3,U0027,3,I0024
U0027#4,U0027,4,I0004
U0027#5,U0027,5,I0006
U0028#1,U0028,1,I0052
U0028#2,U0028,2,I0036
U0028#3,U0028,3,I0014
U0028#4,U0028,4,I0035
U0028#5,U0028,5,I0030
U0029#1,U0029,1,I0006
U0029#2,U0029,2,I0057
U0029#3,U0029,3,I0048
U0029#4,U0029,4,I0047
U0029#5,U0029,5,I0028
U0030#1,U0030,1,I0045
U0030#2,U0030,2,I0012
U0030#3,U0030,3,I0011
U0030#4,U0030,4,I0042
U0030#5,U0030,5,I0046
U0031#1,U0031,1,I0008
U0031#2,U0031,2,I0018
U0031#3,U0031,3,I0027
U0031#4,U0031,4,I0041
U0031#5,U0031,5,I0043
U0032#1,U0032,1,I0016
U0032#2,U0032,2,I0026
U0032#3,U0032,3,I0031
U0032#4,U0032,4,I0036
U0032#5,U0032,5,I0024
U0033#1,U0033,1,I0034
U0033#2,U0033,2,I0057
U0033#3,U0033,3,I0012
U0033#4,U0033,4,I0016
U0033#5,U0033,5,I0020
U0034#1,U0034,1,I0021
U0034#2,U0034,2,I0024
U0034#3,U0034,3,I0028
U0034#4,U0034,4,I0039
U0034#5,U0034,5,I0040
U0035#1,U0035,1,I0002
U0035#2,U0035,2,I0028
U0035#3,U0035,3,I0058
U0035#4,U0035,4,I0046
U0035#5,U0035,5,I0019
U0036#1,U0036,1,I0033
U0036#2,U0036,2,I0025
U0036#3,U0036,3,I0029
U0036#4,U0036,4,I0009
U0036#5,U0036,5,I0050
U0037#1,U0037,1,I0001
U0037#2,U0037,2,I0043
U0037#3,U0037,3,I0041
U0037#4,U0037,4,I0038
U0037#5,U0037,5,I0014
U0038#1,U0038,1,I0043
U0038#2,U0038,2,I0033
U0038#3,U0038,3,I0036
U0038#4,U0038,4,I0055
U0038#5,U0038,5,I0032
U0039#1,U0039,1,I0052
U0039#2,U0039,2,I0019
U0039#3,U0039,3,I0015
U0039#4,U0039,4,I0035
U0039#5,U0039,5,I0032
