account_id,label_time,churned,acct_t,et_t,amount,balance,acct_p,et_p,credit_score,tier,acct_a,et_a,sessions_7d,acct_h,et_h,health_score
A0063,1772777373000,1,A0063,1772530205000,58.75,7658.52,A0063,1767310228000,676,gold,A0063,1772201592000,0,A0063,1767230811000,47.22
A0070,1773541995000,1,A0070,1772507022000,3.4,8199.41,A0070,1768985114000,597,bronze,A0070,1773372056000,30,A0070,1767264859000,52.05
A0073,1772698121000,1,A0073,1772604822000,29.94,5050.91,A0073,1767251165000,360,bronze,A0073,1772682342000,4,A0073,1767350391000,43.8
A0074,1773628107000,0,A0074,1773138530000,31.92,3544.29,A0074,1769748043000,346,silver,A0074,1773398489000,12,A0074,1767266912000,53.02
A0082,1772833470000,0,A0082,1772539218000,63.84,764.59,A0082,1767279149000,605,bronze,A0082,1772790034000,15,A0082,1767288053000,43.7
A0032,1772976665000,1,A0032,1771632113000,145.22,3807.06,A0032,1772283922000,438,silver,A0032,1772778637000,24,A0032,1767311756000,40.32
A0048,1773503206000,0,A0048,1770910890000,33.72,6420.51,A0048,1767267008000,662,bronze,A0048,1773367453000,18,A0048,1767240521000,52.8
A0076,1772512972000,0,A0076,1771854476000,35.61,5021.36,A0076,1768370220000,668,gold,A0076,1772214352000,34,A0076,1767242409000,55.5
A0088,1772129674000,1,A0088,1769884345000,12.3,5947.71,A0088,1767256703000,326,silver,A0088,1771607794000,28,A0088,1767253799000,48.82
A0099,1773384150000,0,A0099,1773270437000,38.75,7191.52,A0099,1767259020000,379,bronze,A0099,1773358186000,14,A0099,1767284325000,44.14
A0008,1772996812000,1,A0008,1772245471000,67.04,3466.35,A0008,1769480952000,374,gold,A0008,1772764433000,22,A0008,1767330503000,47.7
A0029,1772002227000,0,A0029,1771774061000,7.57,6085.01,A0029,1767301578000,548,bronze,A0029,1771558265000,30,A0029,1767315496000,49.67
A0072,1772109633000,1,A0072,1771123287000,16.03,2011.02,A0072,1767227968000,547,gold,A0072,1771586779000,25,A0072,1767278139000,44.87
A0017,1772840599000,1,A0017,1772096857000,63.97,4150.68,A0017,1767295917000,764,gold,A0017,1772687532000,8,A0017,1767339978000,50.2
A0026,1773351766000,0,A0026,1771669783000,73.34,6868.76,A0026,1767290033000,532,gold,A0026,1773320582000,38,A0026,1767284947000,56.6
A0031,1773373475000,1,A0031,1772559822000,27.27,5263.81,A0031,1767236749000,741,silver,A0031,1773337881000,14,A0031,1767238987000,54.29
A0034,1772173492000,1,A0034,1767804733000,33.77,6756.03,A0034,1767294989000,698,bronze,A0034,1771585910000,8,A0034,1767250218000,63.06
A0047,1773047923000,1,A0047,1772174429000,35.59,4139.36,A0047,1767301854000,702,silver,A0047,1772815214000,1,A0047,1767390138000,52.71
A0053,1772135008000,1,A0053,1771984746000,45.29,5342.49,A0053,1767284034000,538,silver,A0053,1772108403000,26,A0053,1767321900000,52.12
A0067,1772802071000,1,A0067,1772509547000,166.33,7750.22,A0067,1767265565000,362,silver,A0067,1772752435000,14,A0067,1767385893000,43.06
A0091,1773117651000,0,A0091,1772030309000,43.9,5290.49,A0091,1770520991000,608,bronze,A0091,1772735727000,36,A0091,1767371202000,50.49
A0023,1773666568000,1,A0023,1772289709000,10.78,4319.29,A0023,1770889401000,300,bronze,A0023,1773315061000,2,A0023,1767352607000,55.94
A0028,1772033385000,1,A0028,1771438410000,73.86,3334.73,A0028,1768476263000,607,silver,A0028,1771564508000,6,A0028,1767277218000,46.21
A0058,1772593001000,1,A0058,1771596785000,4.74,2893.04,A0058,1767230861000,558,gold,A0058,1772170815000,37,A0058,1767315876000,40.39
A0011,1772453396000,1,A0011,1770543369000,20.1,4744.12,A0011,1767253993000,772,silver,A0011,1772193664000,11,A0011,1767273072000,51.68
A0055,1772815719000,1,A0055,1771752685000,21.03,8380.85,A0055,1768411448000,520,silver,A0055,1772740021000,15,A0055,1767241381000,62.36
A0061,1772356794000,1,A0061,1772294886000,26.26,3602.96,A0061,1767231388000,438,bronze,A0061,1772220835000,21,A0061,1767269382000,54.84
A0090,1773304344000,1,A0090,1773014234000,21.64,5677.64,A0090,1769571226000,683,silver,A0090,1772737358000,25,A0090,1767249847000,46.23
