account_id,label_time,churned,amount,balance,credit_score,tier,sessions_7d,health_score
A0001,1773001119000,1,5.19,7407.77,445,gold,26,47.49
A0039,1773382441000,1,186.26,6294.69,371,silver,38,35.92
A0049,1773193352000,1,48.56,5178.91,424,gold,35,50.34
A0085,1772355288000,1,4.96,8553.92,459,gold,8,54.23
A0097,1773354212000,1,50.81,7257.91,613,silver,28,48.45
A0027,1772286780000,0,39.23,9360.78,606,bronze,23,54.89
A0038,1772690438000,0,65.0,5278.62,721,bronze,32,42.33
A0060,1772203000000,1,25.52,3877.59,776,bronze,18,50.68
A0066,1773618548000,1,34.36,4984.64,587,gold,15,47.95
A0071,1773634026000,0,16.37,4161.87,818,gold,2,48.4
A0075,1773461690000,0,55.4,3426.01,764,gold,19,55.5
A0079,1773106283000,0,49.7,6059.91,653,bronze,1,42.51
A0080,1772087661000,1,2.48,8159.39,784,gold,1,53.81
A0093,1773174510000,0,36.68,8217.66,845,bronze,34,55.43
A0007,1773011067000,0,6.22,5020.26,839,gold,30,50.58
A0019,1772983170000,0,13.74,641.64,688,gold,23,55.53
A0024,1772477245000,0,23.98,5256.13,347,gold,3,41.19
A0033,1772251539000,1,66.11,1509.38,477,silver,9,53.49
A0051,1773314944000,0,18.94,4846.94,482,silver,29,50.14
A0089,1772268200000,0,72.63,10043.01,346,silver,16,53.5
A0002,1773366858000,0,157.65,5967.26,451,gold,16,50.04
A0078,1773090236000,1,260.94,3239.97,363,silver,0,50.36
A0084,1772127286000,1,41.03,6126.75,500,bronze,14,49.94
A0092,1772357397000,0,110.46,7562.99,321,bronze,3,51.39
A0094,1772462820000,0,4.11,2410.73,791,silver,32,43.83
A0096,1772784365000,0,36.13,4468.64,510,gold,29,55.09
A0005,1772289045000,0,67.24,3847.58,512,gold,27,55.34
A0025,1772963139000,1,66.7,8855.68,618,bronze,26,39.34
A0035,1772553819000,1,3.88,5618.76,467,bronze,10,52.45
A0045,1773142231000,0,29.51,2465.32,715,silver,2,55.61
A0046,1772894753000,1,13.59,1921.3,499,silver,35,45.95
A0083,1772360343000,1,10.14,6964.46,766,bronze,17,47.16
A0095,1772298698000,1,27.66,3560.14,652,bronze,7,47.44
A0098,1772554547000,0,192.39,6730.99,583,bronze,9,46.85
A0013,1773089019000,0,14.87,8881.75,498,bronze,13,51.4
A0036,1772019171000,0,7.21,5545.71,435,silver,16,51.02
A0063,1772777373000,1,58.75,7658.52,676,gold,0,47.22
A0070,1773541995000,1,3.4,8199.41,597,bronze,30,52.05
A0073,1772698121000,1,29.94,5050.91,360,bronze,4,43.8
A0074,1773628107000,0,31.92,3544.29,346,silver,12,53.02
A0082,1772833470000,0,63.84,764.59,605,bronze,15,43.7
A0032,1772976665000,1,145.22,3807.06,438,silver,24,40.32
A0048,1773503206000,0,33.72,6420.51,662,bronze,18,52.8
A0076,1772512972000,0,35.61,5021.36,668,gold,34,55.5
A0088,1772129674000,1,12.3,5947.71,326,silver,28,48.82
A0099,1773384150000,0,38.75,7191.52,379,bronze,14,44.14
A0008,1772996812000,1,67.04,3466.35,374,gold,22,47.7
A0029,1772002227000,0,7.57,6085.01,548,bronze,30,49.67
A0072,1772109633000,1,16.03,2011.02,547,gold,25,44.87
A0017,1772840599000,1,63.97,4150.68,764,gold,8,50.2
A0026,1773351766000,0,73.34,6868.76,532,gold,38,56.6
A0031,1773373475000,1,27.27,5263.81,741,silver,14,54.29
A0034,1772173492000,1,33.77,6756.03,698,bronze,8,63.06
A0047,1773047923000,1,35.59,4139.36,702,silver,1,52.71
A0053,1772135008000,1,45.29,5342.49,538,silver,26,52.12
A0067,1772802071000,1,166.33,7750.22,362,silver,14,43.06
A0091,1773117651000,0,43.9,5290.49,608,bronze,36,50.49
A0023,1773666568000,1,10.78,4319.29,300,bronze,2,55.94
A0028,1772033385000,1,73.86,3334.73,607,silver,6,46.21
A0058,1772593001000,1,4.74,2893.04,558,gold,37,40.39
A0011,1772453396000,1,20.1,4744.12,772,silver,11,51.68
A0055,1772815719000,1,21.03,8380.85,520,silver,15,62.36
A0061,1772356794000,1,26.26,3602.96,438,bronze,21,54.84
A0090,1773304344000,1,21.64,5677.64,683,silver,25,46.23
