acct_t,et_t,amount,balance
A0008,1772245471000,67.04,3466.35
A0008,1774372111000,42.17,3201.93
A0008,1774931746000,17.02,3907.18
A0009,1767303111000,21.61,4134.69
A0009,1768092628000,17.41,4118.2
A0009,1769926930000,92.51,4385.2
A0009,1771197032000,181.47,4475.16
A0009,1771318650000,18.68,4682.85
A0009,1771370453000,78.98,3988.14
A0009,1771516607000,28.54,3679.43
A0009,1774258845000,34.32,3772.23
A0009,1774258845000,34.32,3772.23
A0010,1767270532000,17.62,584.45
A0010,1770475433000,17.08,533.02
A0010,1771357398000,10.44,810.24
A0010,1771919093000,79.03,968.97
A0010,1773904359000,2.97,903.13
A0011,1767283341000,28.98,4145.17
A0011,1768113545000,40.4,4277.16
A0011,1768602820000,12.71,4028.46
A0011,1769345876000,6.57,3914.23
A0011,1769915645000,19.54,4749.19
A0011,1773936359000,32.06,5659.91
A0012,1767303610000,30.66,7526.26
A0012,1767972212000,14.48,7629.39
A0012,1771760377000,143.71,7522.41
A0012,1774496105000,8.55,7683.26
A0013,1767288588000,86.16,7902.56
A0013,1768291507000,31.64,8496.47
A0013,1772318549000,26.0,8634.53
A0013,1772406926000,14.87,8881.75
A0013,1773552019000,15.14,9236.87
A0013,1773597532000,32.3,8980.86
A0014,1767226624000,59.06,9727.9
A0014,1767645753000,6.85,10017.84
A0014,1768919178000,65.2,9100.4
A0014,1769500090000,46.13,9186.84
A0014,1770274153000,82.04,9608.83
A0014,1770594432000,32.12,9721.83
A0014,1774020530000,19.81,9856.02
A0015,1767250364000,20.79,5635.57
A0015,1770794395000,56.49,5746.94
A0015,1770864290000,42.18,5357.99
A0015,1770864290000,42.18,5357.99
A0015,1772696443000,6.95,4357.73
A0015,1773057092000,3.12,3896.62
A0016,1767261801000,133.69,6924.55
A0016,1769075094000,21.7,6497.51
A0016,1770689326000,86.99,6715.77
A0016,1770875773000,25.03,6280.79
A0016,1772660851000,206.79,6312.18
A0016,1773602327000,41.65,6504.99
A0016,1773687740000,46.94,6913.14
A0017,1767249104000,48.36,4995.28
A0017,1769230952000,13.61,4987.42
A0017,1771846804000,116.91,4646.34
A0017,1772014679000,3.98,4334.63
A0017,1772096857000,63.97,4150.68
A0017,1773077482000,7.1,3652.48
A0017,1774421712000,29.31,3171.28
A0018,1767299861000,22.13,1773.39
A0018,1768388684000,76.19,2315.43
A0018,1768388684000,76.19,2315.43
A0018,1771910772000,7.28,1721.66
A0018,1772305870000,30.53,2012.32
A0018,1774501070000,16.08,2209.12
A0019,1767263597000,124.19,1895.07
A0019,1768620880000,32.45,1069.55
A0019,1770316028000,80.67,668.29
A0019,1770786093000,169.23,251.06
A0019,1770833964000,13.74,641.64
A0019,1773545304000,43.46,427.47
A0020,1767234711000,38.12,5054.49
A0020,1769513296000,41.12,5195.99
A0020,1770093778000,13.42,4886.73
A0020,1770910682000,6.19,5347.58
A0020,1773169329000,27.74,5486.41
A0020,1773604421000,185.19,5158.75
A0020,1773604421000,185.19,5158.75
A0021,1767241935000,32.85,2211.81
A0021,1768084685000,17.15,1889.78
A0021,1769959583000,34.0,1297.39
A0021,1770208994000,8.61,1472.75
A0021,1773642527000,15.38,856.7
A0022,1767283455000,13.89,3230.33
A0022,1769383332000,9.16,3627.75
A0022,1770512368000,78.23,3649.47
A0022,1770963081000,25.64,3380.7
A0022,1774182506000,49.52,2913.37
A0023,1767237916000,27.84,4022.1
A0023,1767704168000,114.9,4642.86
A0023,1768561766000,41.77,5065.12
A0023,1772013073000,37.82,4439.1
A0023,1772289709000,10.78,4319.29
A0023,1773958254000,34.84,4011.7
A0023,1774052522000,74.45,3827.23
A0024,1767264594000,28.5,6778.68
A0024,1768005964000,16.92,7266.27
A0024,1768284013000,51.95,6997.23
A0024,1770246072000,60.07,6753.07
A0024,1770677290000,37.14,6478.28
A0024,1771931314000,39.7,5534.03
A0024,1772157567000,23.98,5256.13
A0024,1773706840000,24.65,5304.14
A0025,1767236391000,14.94,8030.33
A0025,1769302891000,10.47,7830.49
A0025,1770629991000,13.45,8203.95
A0025,1770629991000,13.45,8203.95
A0025,1770883995000,8.14,8832.91
A0025,1771310744000,35.95,8760.98
A0025,1773783507000,27.92,8423.84
A0026,1767231415000,24.18,7607.79
A0026,1767749330000,13.09,7385.45
A0026,1769131922000,48.04,7129.24
A0026,1774271195000,58.89,6980.37
A0026,1774476286000,19.85,7055.54
A0027,1767265341000,15.64,8342.24
A0027,1767462110000,7.12,7837.46
A0027,1767776561000,9.81,8937.34
A0027,1771912460000,101.52,9867.98
A0027,1772008159000,39.23,9360.78
A0027,1773408986000,29.1,8761.53
A0028,1767282203000,42.58,3624.61
A0028,1767629590000,2.58,3649.41
A0028,1768054404000,134.13,3284.31
A0028,1771438410000,73.86,3334.73
A0028,1773253920000,11.99,2871.97
A0028,1774504152000,50.26,2823.13
A0029,1767243567000,50.36,4227.31
A0029,1767570289000,183.09,4207.27
A0029,1768910865000,72.57,5393.08
A0029,1771010789000,37.71,5584.24
A0029,1771097825000,42.44,5958.78
A0029,1771533592000,61.05,6015.98
A0029,1772126362000,120.25,6151.6
A0029,1772126362000,120.25,6151.6
A0030,1767247017000,25.69,575.9
A0030,1767886070000,36.51,936.0
A0030,1769273192000,24.54,709.19
A0030,1770843087000,199.36,186.51
A0030,1771068959000,53.17,-265.26
A0030,1774178988000,39.1,61.8
A0031,1767304004000,38.7,4309.02
A0031,1769446031000,22.69,4443.68
A0031,1770232599000,15.95,4650.19
A0031,1774062339000,38.0,5155.27
A0032,1767272934000,44.94,3321.75
A0032,1767553829000,22.27,3260.26
A0032,1767783265000,17.42,3018.29
A0032,1769704703000,50.3,2498.0
A0032,1769729241000,79.5,3140.94
A0032,1770565362000,12.58,3528.55
A0032,1771632113000,145.22,3807.06
A0032,1774001063000,35.18,3793.2
A0033,1767257815000,52.57,1585.98
A0033,1767622108000,51.65,1043.3
A0033,1768032634000,12.01,1129.54
A0033,1769165125000,66.11,1509.38
A0033,1772795143000,17.24,1273.13
A0033,1774857242000,140.3,1281.16
A0034,1767473567000,19.47,6234.02
A0034,1767769689000,40.71,6281.12
A0034,1767769689000,40.71,6281.12
A0034,1767804733000,33.77,6756.03
A0034,1772337167000,13.65,6181.43
A0034,1772806577000,51.91,6647.18
A0035,1767226546000,26.26,6551.77
A0035,1768614830000,50.2,6366.6
A0035,1769813125000,13.33,5897.17
A0035,1771143615000,26.64,5793.7
A0035,1771143615000,26.64,5793.7
A0035,1771922875000,3.88,5618.76
A0035,1772709170000,8.56,5848.18
A0035,1774531877000,4.38,5517.81
A0036,1767310124000,9.83,6024.36
A0036,1768136506000,61.59,5583.25
A0036,1769696740000,171.9,5519.24
A0036,1770965819000,7.21,5545.71
A0036,1772700380000,154.59,4873.33
A0036,1773395891000,131.86,5005.39
A0037,1767441398000,26.37,4794.1
A0037,1771208227000,57.71,4693.37
A0037,1771768877000,260.3,5066.91
A0037,1773078277000,27.72,4465.82
A0037,1774387814000,15.84,4187.57
A0038,1771553180000,41.34,5177.34
A0038,1772569926000,65.0,5278.62
A0038,1774632081000,24.93,5367.17
A0038,1774685850000,4.65,5667.02
A0039,1767244423000,44.26,6510.95
A0039,1767931939000,32.7,6422.29
A0039,1769200540000,63.96,6691.76
A0039,1769981987000,19.19,6978.82
A0039,1770333060000,38.47,6386.07
A0039,1771395497000,186.26,6294.69
A0039,1773618618000,42.98,5498.35
A0040,1768530588000,20.86,6164.06
A0040,1768753243000,7.69,6151.64
A0040,1770884518000,94.61,5791.67
A0040,1771335398000,68.61,5540.08
A0040,1772384074000,634.91,5132.99
A0040,1774682561000,43.03,5172.91
A0041,1767286142000,66.8,5333.63
A0041,1768789474000,143.52,5249.65
A0041,1769197447000,46.32,5861.75
A0041,1773899003000,74.16,5845.6
A0042,1767244212000,2.98,3825.77
A0042,1767510708000,252.09,3451.13
A0042,1768615177000,41.93,2675.59
A0042,1768693724000,314.78,2781.99
A0042,1771295240000,4.47,2808.49
A0042,1772705017000,14.5,2727.07
A0042,1772817878000,37.9,1999.06
A0042,1774079361000,166.53,1564.12
A0042,1774334899000,86.89,1507.49
A0043,1768089322000,61.25,2862.68
A0043,1770062668000,76.61,2259.6
A0043,1770121604000,26.42,2738.55
A0043,1770383847000,54.58,1919.34
A0043,1771241007000,11.76,1935.14
A0043,1773283671000,17.15,2367.4
A0043,1774735935000,23.88,2237.3
A0043,1774735935000,23.88,2237.3
A0044,1767250751000,33.63,5379.87
A0044,1769220856000,123.36,5224.89
A0044,1770379596000,131.72,5155.68
A0044,1772065864000,41.8,4737.96
A0044,1772309663000,206.47,5499.96
A0044,1772883786000,40.62,5828.56
A0044,1774190352000,71.39,5313.8
A0044,1774279888000,9.08,5655.89
A0045,1767249831000,188.9,2975.15
A0045,1767824431000,14.74,2745.28
A0045,1770834688000,17.59,2650.1
A0045,1771636421000,12.33,3034.29
A0045,1771727431000,91.44,3180.2
A0045,1772252841000,29.51,2465.32
A0045,1774200323000,275.59,2662.6
A0045,1774720953000,65.58,1797.84
A0046,1768547924000,50.36,2905.97
A0046,1768547924000,50.36,2905.97
A0046,1771598468000,4.54,1952.2
A0046,1773881110000,21.22,1620.82
A0047,1767249182000,117.45,4591.36
A0047,1767585659000,21.92,4025.03
A0047,1768045376000,37.83,4217.27
A0047,1770481436000,21.94,4611.28
A0047,1772174429000,35.59,4139.36
A0047,1773592982000,95.15,4028.67
A0047,1774825360000,159.81,3740.88
A0048,1767297805000,36.4,5823.49
A0048,1768115439000,30.04,6273.69
A0048,1770665359000,7.97,6770.13
A0048,1770767148000,12.03,6293.66
A0048,1770910890000,33.72,6420.51
A0048,1774702085000,85.66,5850.6
A0049,1767238656000,2.04,4305.2
A0049,1767914249000,8.35,4527.51
A0049,1769348837000,21.34,5359.23
A0049,1769628318000,9.57,4835.44
A0049,1769863894000,32.63,4804.83
A0049,1772925128000,48.56,5178.91
A0049,1774623276000,6.87,5268.08
A0050,1767229888000,58.39,3746.55
A0050,1768020801000,55.97,3253.06
A0050,1771793046000,40.44,3276.65
A0050,1772801419000,55.17,3129.1
A0050,1772801419000,55.17,3129.1
A0050,1773126202000,90.13,3342.09
A0050,1773328562000,55.79,3415.01
A0051,1767278062000,7.16,4547.62
A0051,1769200102000,50.29,4658.49
A0051,1769200102000,50.29,4658.49
A0051,1769315631000,32.65,4722.94
A0051,1771395686000,45.08,4505.17
A0051,1773202005000,18.94,4846.94
A0051,1773974433000,30.86,4724.91
A0052,1767446260000,32.21,5130.71
A0052,1768216141000,13.99,4992.37
A0052,1768727179000,52.2,4537.65
A0052,1771286565000,3.81,4415.44
A0052,1772783016000,9.3,4323.96
A0052,1772986049000,16.08,4210.59
A0052,1774772124000,33.0,4656.99
A0053,1767274979000,32.06,4899.93
A0053,1767274979000,32.06,4899.93
A0053,1767555754000,14.68,5659.89
A0053,1768903905000,34.6,5968.22
A0053,1770994445000,8.03,5588.6
A0053,1771472463000,321.58,5696.74
A0053,1771984746000,45.29,5342.49
A0053,1773344807000,27.76,5524.13
A0054,1767257839000,2.3,3403.04
A0054,1767762483000,37.51,3004.44
A0054,1767891608000,12.34,3674.8
A0054,1769078948000,118.72,4024.48
A0054,1770056237000,26.0,4659.94
A0054,1773732394000,118.31,4111.17
A0054,1773746094000,65.52,3994.89
A0055,1767230794000,77.73,7544.65
A0055,1769561007000,17.14,7569.94
A0055,1771350829000,33.43,8019.95
A0055,1771752685000,21.03,8380.85
A0055,1773703504000,21.33,8078.07
A0055,1773703504000,21.33,8078.07
A0055,1773884472000,10.98,8240.58
A0056,1767238485000,32.47,-0.85
A0056,1768071920000,144.38,-354.16
A0056,1769365989000,31.34,-205.12
A0056,1769950068000,69.81,-97.63
A0056,1773961935000,30.98,-162.07
A0056,1774724097000,102.6,337.89
A0057,1767270984000,16.78,2081.54
A0057,1768338645000,192.84,2843.54
A0057,1768748617000,31.4,2585.94
A0057,1769050239000,11.42,2940.33
A0057,1769548610000,36.35,3122.7
A0057,1770283398000,224.71,3587.32
A0057,1773511529000,29.24,3691.04
A0058,1767239038000,7.47,2712.86
A0058,1767722236000,51.6,3174.14
A0058,1770165836000,10.2,3202.82
A0058,1773573597000,51.18,2224.43
A0059,1767247185000,43.03,4597.28
A0059,1768146434000,63.99,4799.82
A0059,1768146434000,63.99,4799.82
A0059,1768200316000,8.82,4837.96
A0059,1773933949000,33.52,5916.69
A0060,1767249441000,117.35,3374.37
A0060,1767249441000,117.35,3374.37
A0060,1768618090000,76.06,3538.37
A0060,1769679903000,10.74,4022.5
A0060,1772068576000,25.52,3877.59
A0060,1773017298000,52.28,3357.41
A0060,1773850554000,20.16,3363.25
A0061,1767235018000,13.22,3355.52
A0061,1767662889000,16.13,3443.2
A0061,1767964725000,7.65,3304.5
A0061,1768800653000,10.71,2879.16
A0061,1770120456000,12.16,3306.57
A0061,1771302140000,17.95,3516.95
A0061,1772294886000,26.26,3602.96
A0061,1773821259000,36.65,3906.04
A0062,1767249652000,57.67,3414.9
A0062,1767815209000,27.71,3717.11
A0062,1768576331000,128.66,4112.27
A0062,1768767718000,140.42,3774.98
A0062,1768933140000,27.45,4028.61
A0062,1771576111000,94.27,2832.79
A0062,1771576111000,94.27,2832.79
A0062,1773411773000,105.43,3020.47
A0062,1774257191000,6.66,3221.14
A0063,1767243659000,19.31,7760.26
A0063,1769921417000,39.84,7437.18
A0063,1771291316000,144.27,8056.46
A0063,1772530205000,58.75,7658.52
A0063,1774042441000,37.36,7457.49
A0064,1767306808000,311.85,3125.36
A0064,1769710546000,35.39,3016.91
A0064,1771513045000,13.34,2249.27
A0064,1772058760000,52.01,2813.18
A0064,1773138142000,104.08,3014.7
A0064,1774723931000,45.72,2516.55
A0065,1767305131000,76.63,4294.76
A0065,1767755367000,36.75,4390.98
A0065,1767804384000,12.94,4798.94
A0065,1769750346000,51.94,4103.1
A0065,1771198135000,6.32,3823.54
A0065,1773330658000,23.43,4124.69
A0065,1773841869000,99.9,4530.97
A0066,1769509075000,26.75,4660.02
A0066,1769509075000,26.75,4660.02
A0066,1771212440000,84.15,4761.85
A0066,1771746152000,34.36,4984.64
A0066,1773763912000,310.82,4202.46
A0066,1774250182000,35.71,4168.67
A0067,1767240816000,4.09,7708.2
A0067,1767989559000,14.29,7498.46
A0067,1770402379000,41.91,6815.16
A0067,1770544235000,17.92,7267.27
A0067,1772509547000,166.33,7750.22
A0067,1773210066000,25.98,7655.82
A0067,1773313954000,96.71,8015.18
A0068,1767231169000,23.08,7742.78
A0068,1767837621000,79.66,7677.86
A0068,1769655725000,36.63,8013.51
A0068,1771583902000,210.91,7963.47
A0068,1773771306000,51.48,8009.77
A0068,1774746584000,4.33,8071.23
A0069,1767279692000,35.54,5394.96
A0069,1769332672000,20.78,6164.34
A0069,1771034144000,41.56,6523.87
A0069,1771574106000,27.13,7322.77
A0069,1774018661000,11.2,7186.5
A0070,1767289165000,97.38,7724.33
A0070,1768063862000,45.39,8089.22
A0070,1769014472000,43.8,8000.14
A0070,1769738656000,11.81,8081.44
A0070,1772507022000,3.4,8199.41
A0070,1774096254000,65.22,7831.76
A0070,1774096254000,65.22,7831.76
A0071,1767257672000,12.44,5025.3
A0071,1768284735000,43.11,5563.54
A0071,1771211664000,22.06,5187.47
A0071,1772441307000,44.04,5012.58
A0071,1772866696000,75.03,4616.06
A0071,1773455712000,16.37,4161.87
A0071,1774727016000,21.23,4730.81
A0072,1768762813000,23.83,1940.42
A0072,1770081042000,47.32,1416.39
A0072,1770081042000,47.32,1416.39
A0072,1771123287000,16.03,2011.02
A0072,1772256054000,24.77,1942.98
A0073,1767250430000,16.44,4310.47
A0073,1768193734000,31.39,3773.28
A0073,1771000394000,7.09,4649.86
A0073,1772243185000,66.33,4860.11
A0073,1773496457000,72.55,5042.95
A0073,1774092788000,91.83,5324.77
A0073,1774092788000,91.83,5324.77
A0074,1767296521000,74.58,3065.86
A0074,1768932689000,80.83,2855.87
A0074,1769188814000,40.13,2922.63
A0074,1769785978000,16.77,2866.09
A0074,1770307593000,23.47,3186.88
A0074,1772580037000,2.61,3324.81
A0074,1774555876000,84.69,4074.08
A0075,1767300564000,47.37,4748.96
A0075,1767780120000,17.88,4778.69
A0075,1770186580000,141.27,4159.09
A0075,1770314428000,3.21,3450.05
A0075,1775000007000,30.15,3216.86
A0076,1767299238000,226.25,4569.6
A0076,1767299238000,226.25,4569.6
A0076,1768246844000,25.86,4372.04
A0076,1771263321000,11.18,5198.38
A0076,1771707378000,116.42,5280.36
A0076,1774347552000,10.83,4787.69
A0077,1767234307000,13.73,1199.64
A0077,1767856045000,61.97,808.2
A0077,1769924405000,6.13,475.96
A0077,1771006063000,7.65,308.77
A0077,1772527347000,25.39,-119.15
A0077,1773077351000,53.8,254.46
A0077,1773077351000,53.8,254.46
A0078,1767276962000,7.14,4495.77
A0078,1767598857000,31.99,4118.24
A0078,1770570180000,68.35,3831.2
A0078,1772631926000,260.94,3239.97
A0078,1773481758000,31.02,3630.7
A0078,1774563861000,20.43,3433.13
A0078,1774563861000,20.43,3433.13
A0079,1767254289000,22.47,6240.8
A0079,1767800391000,63.78,6459.78
A0079,1769579273000,20.32,7079.19
A0079,1770772213000,49.7,6059.91
A0079,1773411044000,64.33,5418.23
A0079,1774986641000,18.6,5635.7
A0080,1767303538000,28.66,7972.64
A0080,1767806829000,18.68,8286.96
A0080,1769094007000,32.59,8992.71
A0080,1769665220000,1.11,7958.46
A0080,1769893671000,56.77,8179.91
A0080,1770893895000,24.81,8121.88
A0080,1771079687000,2.48,8159.39
A0080,1773974153000,16.33,8228.51
A0081,1767922480000,140.9,2741.51
A0081,1767922480000,140.9,2741.51
A0081,1769195162000,29.47,2504.74
A0081,1771386751000,3.53,2015.04
A0081,1771690838000,142.44,2253.34
A0081,1771915938000,32.04,2757.29
A0081,1773013835000,24.86,3199.68
A0081,1774038696000,10.09,3300.58
A0081,1774749839000,92.45,2845.34
A0082,1767263469000,129.41,197.67
A0082,1768591420000,7.17,623.4
A0082,1768704825000,109.37,860.12
A0082,1771593524000,130.5,573.05
A0082,1773504369000,156.29,1070.17
A0082,1773556089000,27.25,1198.59
A0083,1767968670000,79.4,7206.99
A0083,1769307659000,73.42,7361.89
A0083,1771541582000,33.4,6800.13
A0083,1771770976000,285.35,7256.93
A0083,1772061428000,10.14,6964.46
A0083,1772754628000,21.21,7248.6
A0083,1773733478000,28.14,7195.25
A0084,1767297598000,97.72,5603.89
A0084,1767546719000,3.47,5141.39
A0084,1770064565000,120.67,4902.52
A0084,1772061193000,41.03,6126.75
A0084,1774278159000,46.29,5745.33
A0084,1774473317000,9.82,5857.51
A0085,1767271417000,28.28,8825.83
A0085,1768405742000,63.94,8452.01
A0085,1769198187000,102.13,8585.06
A0085,1769416140000,32.91,8321.44
A0085,1774191388000,87.89,8859.21
A0086,1767234235000,297.54,4737.71
A0086,1770007616000,43.9,4416.35
A0086,1770739154000,20.63,4698.77
A0086,1771186124000,18.58,4615.67
A0086,1772027203000,31.39,4762.84
A0086,1773590314000,19.52,4554.47
A0086,1774573009000,16.53,5378.5
A0087,1767276736000,11.5,6691.55
A0087,1767714610000,107.13,6430.25
A0087,1768562341000,55.38,6779.95
A0087,1769313550000,33.71,6620.75
A0087,1769313550000,33.71,6620.75
A0087,1770526852000,43.68,5935.69
A0087,1770573820000,26.6,5506.02
A0087,1774831542000,132.49,5857.58
A0087,1774916502000,27.49,5476.75
A0088,1767289478000,63.6,5544.48
A0088,1767928399000,10.07,5712.39
A0088,1769370941000,120.0,5699.42
A0088,1769884345000,12.3,5947.71
A0088,1774881132000,6.47,6105.45
A0089,1767297553000,33.68,7765.03
A0089,1768126700000,58.87,7673.89
A0089,1768754921000,203.86,8223.88
A0089,1769312121000,3.83,8709.54
A0089,1769710249000,18.97,9386.98
A0089,1771282958000,72.63,10043.01
A0089,1774894995000,50.38,10489.45
A0090,1767251507000,33.99,3720.53
A0090,1769693676000,26.96,4129.51
A0090,1770393786000,9.13,4111.28
A0090,1771267877000,44.08,4768.65
A0090,1772231373000,29.07,5027.49
A0090,1773014234000,21.64,5677.64
A0090,1773939448000,71.16,5743.84
A0090,1774721028000,35.99,5499.99
A0091,1767286573000,391.57,4693.58
A0091,1767448583000,9.82,4495.08
A0091,1769528699000,15.17,5418.73
A0091,1771249307000,61.92,5294.38
A0091,1772030309000,43.9,5290.49
A0091,1773817927000,35.67,5640.1
A0091,1774298436000,126.77,5802.99
A0092,1767240265000,8.42,8061.08
A0092,1768891876000,24.9,7919.92
A0092,1769157964000,6.71,8602.87
A0092,1770080335000,169.14,8311.68
A0092,1770785479000,92.24,7892.86
A0092,1771814169000,110.46,7562.99
A0092,1774400535000,57.91,7532.85
A0093,1767266100000,13.41,6065.02
A0093,1768484894000,270.45,6799.29
A0093,1769175462000,91.57,7418.77
A0093,1769819380000,105.9,7535.96
A0093,1771582835000,33.38,7698.61
A0093,1771791469000,36.68,8217.66
A0093,1773766522000,35.73,8069.64
A0093,1773886483000,9.18,7855.46
A0094,1767229578000,22.15,2534.66
A0094,1767229578000,22.15,2534.66
A0094,1770567792000,12.72,2082.55
A0094,1770741357000,11.32,2158.23
A0094,1770839232000,78.53,2704.34
A0094,1771815809000,4.11,2410.73
A0094,1772718310000,86.59,3082.6
A0095,1767259336000,13.96,3245.6
A0095,1768631509000,107.64,3321.12
A0095,1769221555000,14.14,2914.46
A0095,1772545442000,10.22,3918.4
A0095,1773733439000,43.08,3837.25
A0096,1767283195000,10.94,3983.52
A0096,1767695565000,14.2,3707.31
A0096,1771484978000,68.01,3945.95
A0096,1771749776000,13.09,4654.45
A0096,1773340699000,29.49,4921.23
A0097,1770343473000,15.16,7304.79
A0097,1771117848000,42.9,7947.41
A0097,1771643098000,54.03,7414.61
A0097,1772872598000,50.81,7257.91
A0097,1774965395000,45.91,8510.18
A0098,1767303601000,237.06,6385.45
A0098,1770107359000,46.51,6316.21
A0098,1770646105000,16.62,6100.43
A0098,1771101482000,192.39,6730.99
A0098,1773225992000,21.57,6837.18
A0098,1773225992000,21.57,6837.18
A0099,1767304935000,12.67,7245.91
A0099,1768083059000,21.39,7057.45
A0099,1769017350000,44.91,7404.36
A0099,1770874863000,24.99,6993.84
A0099,1772700672000,1.81,6796.41
A0099,1772751232000,8.89,6697.56
A0099,1773270437000,38.75,7191.52
A0099,1774339858000,38.53,6812.96
A0099,1774548037000,22.67,6859.59
