account_id,event_time,credit_score,tier,amount,balance,sessions_7d,health_score,churned,source
A0020,1767246587000,761,bronze,\N,\N,\N,\N,\N,profiles
A0021,1767227061000,405,gold,\N,\N,\N,\N,\N,profiles
A0021,1767692380000,368,silver,\N,\N,\N,\N,\N,profiles
A0022,1767311431000,845,bronze,\N,\N,\N,\N,\N,profiles
A0022,1773244749000,850,silver,\N,\N,\N,\N,\N,profiles
A0023,1767255422000,788,silver,\N,\N,\N,\N,\N,profiles
A0023,1774504021000,816,bronze,\N,\N,\N,\N,\N,profiles
A0024,1767307934000,697,silver,\N,\N,\N,\N,\N,profiles
A0024,1773355437000,726,gold,\N,\N,\N,\N,\N,profiles
A0025,1767292512000,375,gold,\N,\N,\N,\N,\N,profiles
A0025,1772896924000,428,bronze,\N,\N,\N,\N,\N,profiles
A0026,1767301233000,740,bronze,\N,\N,\N,\N,\N,profiles
A0027,1767284915000,375,silver,\N,\N,\N,\N,\N,profiles
A0027,1774012025000,438,bronze,\N,\N,\N,\N,\N,profiles
A0028,1767294842000,683,gold,\N,\N,\N,\N,\N,profiles
A0028,1771953110000,621,bronze,\N,\N,\N,\N,\N,profiles
A0029,1767295420000,686,silver,\N,\N,\N,\N,\N,profiles
A0029,1774614156000,705,gold,\N,\N,\N,\N,\N,profiles
A0030,1767283689000,668,bronze,\N,\N,\N,\N,\N,profiles
A0030,1768395493000,737,silver,\N,\N,\N,\N,\N,profiles
A0031,1767306507000,848,bronze,\N,\N,\N,\N,\N,profiles
A0032,1767261061000,776,silver,\N,\N,\N,\N,\N,profiles
A0033,1767271968000,406,gold,\N,\N,\N,\N,\N,profiles
A0034,1767256784000,525,silver,\N,\N,\N,\N,\N,profiles
A0034,1774563787000,487,bronze,\N,\N,\N,\N,\N,profiles
A0035,1767231274000,638,bronze,\N,\N,\N,\N,\N,profiles
A0036,1767244217000,337,gold,\N,\N,\N,\N,\N,profiles
A0036,1771301965000,300,bronze,\N,\N,\N,\N,\N,profiles
A0037,1767303137000,844,silver,\N,\N,\N,\N,\N,profiles
A0037,1774565870000,850,bronze,\N,\N,\N,\N,\N,profiles
A0038,1767298516000,597,gold,\N,\N,\N,\N,\N,profiles
A0038,1767990297000,582,bronze,\N,\N,\N,\N,\N,profiles
A0039,1767245836000,367,silver,\N,\N,\N,\N,\N,profiles
A0040,1767275319000,314,bronze,\N,\N,\N,\N,\N,profiles
A0041,1767295421000,696,silver,\N,\N,\N,\N,\N,profiles
A0042,1767295988000,480,gold,\N,\N,\N,\N,\N,profiles
A0042,1774283732000,471,bronze,\N,\N,\N,\N,\N,profiles
A0043,1767286318000,786,bronze,\N,\N,\N,\N,\N,profiles
A0043,1773115891000,752,gold,\N,\N,\N,\N,\N,profiles
A0044,1767281920000,544,bronze,\N,\N,\N,\N,\N,profiles
A0044,1768478214000,469,silver,\N,\N,\N,\N,\N,profiles
A0045,1767284610000,770,bronze,\N,\N,\N,\N,\N,profiles
A0045,1769706440000,797,silver,\N,\N,\N,\N,\N,profiles
A0046,1767259739000,702,bronze,\N,\N,\N,\N,\N,profiles
A0046,1773490867000,631,gold,\N,\N,\N,\N,\N,profiles
A0047,1767310457000,453,gold,\N,\N,\N,\N,\N,profiles
A0047,1771481173000,526,bronze,\N,\N,\N,\N,\N,profiles
A0048,1767311452000,603,bronze,\N,\N,\N,\N,\N,profiles
A0048,1772897054000,570,silver,\N,\N,\N,\N,\N,profiles
A0049,1767261986000,496,bronze,\N,\N,\N,\N,\N,profiles
A0050,1767259127000,346,gold,\N,\N,\N,\N,\N,profiles
A0051,1767302664000,384,gold,\N,\N,\N,\N,\N,profiles
A0051,1774876169000,369,bronze,\N,\N,\N,\N,\N,profiles
A0052,1767231690000,723,bronze,\N,\N,\N,\N,\N,profiles
A0052,1773312066000,792,silver,\N,\N,\N,\N,\N,profiles
A0053,1767290183000,439,silver,\N,\N,\N,\N,\N,profiles
A0053,1774647123000,489,bronze,\N,\N,\N,\N,\N,profiles
A0054,1767235233000,779,bronze,\N,\N,\N,\N,\N,profiles
A0054,1772181462000,709,gold,\N,\N,\N,\N,\N,profiles
A0055,1767311733000,653,bronze,\N,\N,\N,\N,\N,profiles
A0055,1773000980000,666,bronze,\N,\N,\N,\N,\N,profiles
A0056,1767310887000,722,bronze,\N,\N,\N,\N,\N,profiles
A0056,1772301629000,777,bronze,\N,\N,\N,\N,\N,profiles
A0057,1767229844000,399,silver,\N,\N,\N,\N,\N,profiles
A0057,1773972760000,409,bronze,\N,\N,\N,\N,\N,profiles
A0058,1767289198000,516,gold,\N,\N,\N,\N,\N,profiles
A0058,1773190979000,496,silver,\N,\N,\N,\N,\N,profiles
A0059,1767238413000,536,bronze,\N,\N,\N,\N,\N,profiles
A0059,1772056589000,616,gold,\N,\N,\N,\N,\N,profiles
A0060,1767268457000,651,silver,\N,\N,\N,\N,\N,profiles
A0060,1773871605000,652,gold,\N,\N,\N,\N,\N,profiles
A0061,1767269946000,307,silver,\N,\N,\N,\N,\N,profiles
A0061,1767915278000,300,bronze,\N,\N,\N,\N,\N,profiles
A0062,1767261711000,771,silver,\N,\N,\N,\N,\N,profiles
A0062,1773800573000,846,silver,\N,\N,\N,\N,\N,profiles
A0063,1767261645000,656,gold,\N,\N,\N,\N,\N,profiles
A0063,1773505564000,635,bronze,\N,\N,\N,\N,\N,profiles
A0064,1767225712000,520,bronze,\N,\N,\N,\N,\N,profiles
A0064,1770246777000,576,gold,\N,\N,\N,\N,\N,profiles
A0065,1767263152000,608,silver,\N,\N,\N,\N,\N,profiles
A0065,1769898508000,684,silver,\N,\N,\N,\N,\N,profiles
A0066,1767287837000,393,bronze,\N,\N,\N,\N,\N,profiles
A0067,1767290257000,306,bronze,\N,\N,\N,\N,\N,profiles
A0068,1767267666000,444,bronze,\N,\N,\N,\N,\N,profiles
A0068,1773051731000,523,bronze,\N,\N,\N,\N,\N,profiles
A0069,1767301066000,801,silver,\N,\N,\N,\N,\N,profiles
A0069,1774409722000,752,bronze,\N,\N,\N,\N,\N,profiles
A0070,1767272379000,713,bronze,\N,\N,\N,\N,\N,profiles
A0070,1774180326000,692,silver,\N,\N,\N,\N,\N,profiles
A0071,1767302789000,735,gold,\N,\N,\N,\N,\N,profiles
A0072,1767269087000,564,bronze,\N,\N,\N,\N,\N,profiles
A0072,1771501024000,580,bronze,\N,\N,\N,\N,\N,profiles
A0073,1767292266000,710,bronze,\N,\N,\N,\N,\N,profiles
A0073,1767676934000,651,silver,\N,\N,\N,\N,\N,profiles
A0074,1767299448000,768,bronze,\N,\N,\N,\N,\N,profiles
A0074,1773409557000,845,bronze,\N,\N,\N,\N,\N,profiles
A0075,1767264038000,647,bronze,\N,\N,\N,\N,\N,profiles
A0075,1772644343000,595,bronze,\N,\N,\N,\N,\N,profiles
A0076,1767247728000,391,gold,\N,\N,\N,\N,\N,profiles
A0076,1774683904000,364,gold,\N,\N,\N,\N,\N,profiles
A0077,1767228749000,735,silver,\N,\N,\N,\N,\N,profiles
A0077,1770020962000,697,silver,\N,\N,\N,\N,\N,profiles
A0078,1767304912000,553,gold,\N,\N,\N,\N,\N,profiles
A0078,1774038891000,606,silver,\N,\N,\N,\N,\N,profiles
A0079,1767254807000,650,silver,\N,\N,\N,\N,\N,profiles
A0079,1773260689000,707,silver,\N,\N,\N,\N,\N,profiles
A0080,1767249638000,731,gold,\N,\N,\N,\N,\N,profiles
A0080,1769311163000,664,gold,\N,\N,\N,\N,\N,profiles
A0081,1767279127000,655,gold,\N,\N,\N,\N,\N,profiles
A0081,1769497855000,649,silver,\N,\N,\N,\N,\N,profiles
A0082,1767287838000,758,bronze,\N,\N,\N,\N,\N,profiles
A0082,1767415579000,790,silver,\N,\N,\N,\N,\N,profiles
A0083,1767254394000,440,bronze,\N,\N,\N,\N,\N,profiles
A0083,1772631560000,500,silver,\N,\N,\N,\N,\N,profiles
A0084,1767269891000,435,silver,\N,\N,\N,\N,\N,profiles
A0084,1774941318000,356,bronze,\N,\N,\N,\N,\N,profiles
A0085,1767239310000,745,gold,\N,\N,\N,\N,\N,profiles
A0086,1767296364000,715,silver,\N,\N,\N,\N,\N,profiles
A0086,1769922093000,750,bronze,\N,\N,\N,\N,\N,profiles
A0087,1767260903000,420,bronze,\N,\N,\N,\N,\N,profiles
A0088,1767264249000,619,bronze,\N,\N,\N,\N,\N,profiles
A0089,1767257537000,403,gold,\N,\N,\N,\N,\N,profiles
A0090,1767304380000,472,bronze,\N,\N,\N,\N,\N,profiles
A0090,1770615799000,440,silver,\N,\N,\N,\N,\N,profiles
A0091,1767241064000,499,bronze,\N,\N,\N,\N,\N,profiles
A0092,1767292664000,302,gold,\N,\N,\N,\N,\N,profiles
A0092,1773992990000,300,silver,\N,\N,\N,\N,\N,profiles
A0093,1767235270000,803,silver,\N,\N,\N,\N,\N,profiles
A0093,1773645843000,826,bronze,\N,\N,\N,\N,\N,profiles
A0094,1767234106000,648,silver,\N,\N,\N,\N,\N,profiles
A0094,1768009515000,667,silver,\N,\N,\N,\N,\N,profiles
A0095,1767298221000,337,gold,\N,\N,\N,\N,\N,profiles
A0096,1767236289000,704,silver,\N,\N,\N,\N,\N,profiles
A0097,1767267094000,700,gold,\N,\N,\N,\N,\N,profiles
A0098,1767251004000,572,gold,\N,\N,\N,\N,\N,profiles
A0098,1768389660000,632,bronze,\N,\N,\N,\N,\N,profiles
A0099,1767265465000,679,gold,\N,\N,\N,\N,\N,profiles
A0099,1773265409000,675,bronze,\N,\N,\N,\N,\N,profiles
