account_id,label_time,txn_churnbe1a53_account_id,txn_churnbe1a53_event_time,txn_churnbe1a53_amount,txn_churnbe1a53_balance,prof_churnbe1a53_account_id,prof_churnbe1a53_event_time,prof_churnbe1a53_credit_score,prof_churnbe1a53_tier,act_churnbe1a53_account_id,act_churnbe1a53_event_time,act_churnbe1a53_sessions_7d,health_churnbe1a53_account_id,health_churnbe1a53_event_time,health_churnbe1a53_health_score
A0000,1772066292000,A0000,1770529206000,69.09,6021.34,A0000,1767237860000,727,bronze,A0000,1771568062000,19,A0000,1767366025000,45.24
A0006,1772464591000,A0006,1772280321000,44.06,4697.42,A0006,1767273685000,568,bronze,A0006,1772085129000,30,A0006,1767278206000,57.51
A0015,1773382458000,A0015,1769744722000,9.47,5890.85,A0015,1767264685000,311,silver,A0015,1773330643000,21,A0015,1767278283000,57.02
A0021,1773055570000,A0021,1772836121000,14.9,2440.62,A0021,1772913159000,492,silver,A0021,1772803404000,4,A0021,1767396022000,52.32
A0037,1773536369000,A0037,1771238127000,29.5,9200.29,A0037,1771808066000,541,silver,A0037,1773383365000,30,A0037,1767388708000,51.79
A0050,1773350587000,A0050,1773276234000,65.21,3092.25,A0050,1772450378000,773,silver,A0050,1772766289000,7,A0050,1767238278000,45.28
A0064,1773412387000,A0064,1772580801000,39.81,8531.55,A0064,1767273075000,433,gold,A0064,1773281960000,20,A0064,1767239873000,50.68
A0069,1773647983000,A0069,1772493972000,11.77,5218.36,A0069,1767244978000,447,silver,A0069,1773319955000,21,A0069,1767313171000,54.73
A0081,1772211469000,A0081,1770538126000,161.39,4736.51,A0081,1770249868000,318,gold,A0081,1772109190000,15,A0081,1767242726000,51.01
A0087,1772978251000,A0087,1772836265000,35.46,6308.64,A0087,1767260072000,490,gold,A0087,1772738784000,23,A0087,1767307299000,53.89
A0014,1773064738000,A0014,1772560733000,53.52,7052.9,A0014,1767274841000,675,bronze,A0014,1772730900000,20,A0014,1767303158000,48.67
A0020,1773637601000,A0020,1772839362000,117.28,5828.75,A0020,1767309588000,509,gold,A0020,1773298957000,33,A0020,1767344413000,55.35
A0052,1772212330000,A0052,1771951363000,16.88,3831.4,A0052,1767245325000,830,gold,A0052,1772171518000,39,A0052,1767225966000,37.72
A0059,1773475408000,A0059,1770420648000,44.55,4857.47,A0059,1767271169000,832,bronze,A0059,1773370716000,11,A0059,1767280265000,55.61
A0065,1772540879000,A0065,1771325984000,10.87,9970.6,A0065,1767263835000,593,silver,A0065,1772083944000,23,A0065,1767389896000,52.29
A0077,1772318717000,A0077,1771992778000,131.71,2013.94,A0077,1767275924000,505,bronze,A0077,1772217741000,18,A0077,1767368640000,51.86
A0002,1772128989000,A0002,1771779913000,8.33,4116.89,A0002,1767255133000,383,silver,A0002,1772120167000,10,A0002,1767254778000,47.75
A0078,1772637070000,A0078,1770287068000,72.97,8239.65,A0078,1767534046000,574,bronze,A0078,1772174991000,17,A0078,1767377435000,54.13
A0084,1772960157000,A0084,1771775074000,176.51,4742.07,A0084,1767295948000,773,bronze,A0084,1772748122000,20,A0084,1767282323000,46.44
A0092,1772358233000,A0092,1771637730000,64.0,6826.05,A0092,1767270643000,716,gold,A0092,1772098972000,26,A0092,1767261658000,42.11
A0094,1772483258000,A0094,1769286118000,110.69,5506.31,A0094,1768282479000,786,gold,A0094,1772125378000,25,A0094,1767336750000,49.8
A0096,1772311280000,A0096,1772240294000,11.91,4713.46,A0096,1767263331000,641,bronze,A0096,1772196494000,37,A0096,1767325814000,45.81
A0027,1772250658000,A0027,1771724852000,684.16,7385.58,A0027,1770302508000,487,silver,A0027,1772133218000,8,A0027,1767382950000,46.71
A0038,1772691958000,A0038,1771978363000,33.53,4555.76,A0038,1767296910000,563,bronze,A0038,1772200128000,39,A0038,1767292471000,51.76
A0060,1772154582000,A0060,1771647958000,13.32,4650.67,A0060,1767264777000,602,bronze,A0060,1772149327000,27,A0060,1767250903000,43.38
A0066,1772694376000,A0066,1772229613000,27.79,4634.54,A0066,1769742927000,610,gold,A0066,1772130343000,4,A0066,1767236977000,42.28
A0071,1772281179000,A0071,1770244586000,44.13,4605.61,A0071,1772128064000,650,silver,A0071,1772145763000,9,A0071,1767268431000,55.97
A0075,1772351024000,A0075,1771516629000,26.77,7633.25,A0075,1767274585000,774,bronze,A0075,1772114583000,16,A0075,1767289749000,50.7
A0079,1772149237000,A0079,1770440198000,31.73,4644.49,A0079,1767297236000,669,bronze,A0079,1771608420000,32,A0079,1767319508000,42.22
A0080,1773360421000,A0080,1772874363000,16.15,3545.36,A0080,1769574453000,804,bronze,A0080,1773343587000,39,A0080,1767340051000,55.05
A0093,1773059629000,A0093,1770186859000,38.7,5327.04,A0093,1767297808000,519,gold,A0093,1772761781000,37,A0093,1767389375000,43.23
A0005,1773163736000,A0005,1773098761000,18.96,4707.95,A0005,1767291240000,349,bronze,A0005,1772693253000,0,A0005,1767237962000,52.16
A0025,1772565587000,A0025,1771951062000,14.2,7254.02,A0025,1767269868000,432,bronze,A0025,1772186491000,6,A0025,1767237410000,47.32
A0035,1772489351000,A0035,1771601570000,22.43,6192.45,A0035,1767235360000,521,bronze,A0035,1772149749000,24,A0035,1767293002000,46.82
A0045,1772943480000,A0045,1772889993000,105.46,5777.36,A0045,1772130895000,832,bronze,A0045,1772791722000,31,A0045,1767350063000,44.36
A0046,1773244233000,A0046,1772913741000,110.0,1989.35,A0046,1767262686000,745,bronze,A0046,1772752552000,35,A0046,1767289210000,42.8
A0083,1773185291000,A0083,1772504662000,13.42,3895.14,A0083,1767298473000,362,gold,A0083,1772688181000,7,A0083,1767326600000,51.07
A0095,1772252207000,A0095,1770044113000,17.65,5624.51,A0095,1767275780000,799,silver,A0095,1772102185000,15,A0095,1767310723000,36.94
A0098,1772968545000,A0098,1770907146000,28.67,4260.96,A0098,1767280090000,780,silver,A0098,1772671199000,24,A0098,1767253246000,56.52
A0013,1772914795000,A0013,1772771514000,53.29,3086.87,A0013,1767261052000,828,silver,A0013,1772779320000,9,A0013,1767385525000,43.24
A0036,1772446180000,A0036,1772286634000,37.39,5541.35,A0036,1767241254000,690,bronze,A0036,1772147402000,2,A0036,1767332905000,50.65
A0063,1772853044000,A0063,1771906742000,15.57,4899.94,A0063,1767304289000,377,gold,A0063,1772750067000,31,A0063,1767292072000,57.32
A0070,1773380982000,A0070,1773023563000,148.57,3057.51,A0070,1767301833000,753,bronze,A0070,1773318457000,35,A0070,1767276739000,54.07
A0073,1772838274000,A0073,1772176929000,15.46,2720.62,A0073,1769070566000,589,bronze,A0073,1772760793000,25,A0073,1767382474000,47.86
A0074,1772913198000,A0074,1772064552000,122.06,862.91,A0074,1767301459000,846,gold,A0074,1772832528000,32,A0074,1767343374000,44.38
A0082,1772165184000,A0082,1769740077000,20.99,1051.76,A0082,1767282567000,839,gold,A0082,1772127062000,26,A0082,1767349075000,50.32
A0008,1772643050000,A0008,1772378794000,41.44,6126.74,A0008,1767301154000,709,silver,A0008,1772107391000,26,A0008,1767258778000,51.37
A0029,1773650669000,A0029,1769455809000,16.07,5926.55,A0029,1767235828000,524,silver,A0029,1773329649000,19,A0029,1767350875000,48.15
A0072,1772032190000,A0072,1771085901000,14.96,3794.23,A0072,1771752944000,765,gold,A0072,1771544697000,0,A0072,1767284341000,48.97
A0032,1773214475000,A0032,1771896360000,82.78,6159.06,A0032,1767228110000,699,bronze,A0032,1772728878000,21,A0032,1767353666000,44.87
A0048,1773456580000,A0048,1773377129000,39.71,3679.95,A0048,1767227403000,715,silver,A0048,1773416350000,37,A0048,1767388368000,54.36
A0076,1772769178000,A0076,1771096849000,11.09,3610.83,A0076,1772311482000,402,gold,A0076,1772687826000,39,A0076,1767321481000,53.22
A0088,1772472287000,A0088,1770987138000,62.69,9183.02,A0088,1767292778000,345,bronze,A0088,1772151465000,22,A0088,1767368147000,55.7
A0099,1772208311000,A0099,1771016594000,26.1,6092.25,A0099,1771133815000,787,bronze,A0099,1772120547000,8,A0099,1767383693000,55.79
A0017,1772576452000,A0017,1772429579000,9.74,5690.79,A0017,1770724250000,385,silver,A0017,1772135046000,29,A0017,1767317404000,56.47
A0026,1772312011000,A0026,1772220755000,37.92,7903.19,A0026,1767233729000,636,gold,A0026,1772068991000,36,A0026,1767327178000,52.49
A0031,1773022849000,A0031,1772509163000,30.1,7193.22,A0031,1767233704000,677,silver,A0031,1772770185000,26,A0031,1767260649000,46.05
A0034,1772773510000,A0034,1772528977000,14.28,3419.09,A0034,1772583319000,501,gold,A0034,1772194268000,38,A0034,1767358761000,48.56
A0047,1773337065000,A0047,1772647635000,43.31,8437.52,A0047,1767234821000,802,silver,A0047,1773304670000,37,A0047,1767343039000,44.57
A0053,1773033718000,A0053,1772615759000,14.73,2211.64,A0053,1770847784000,583,bronze,A0053,1772748445000,34,A0053,1767310847000,46.78
A0067,1772600678000,A0067,1772353802000,24.31,2254.05,A0067,1769659613000,722,bronze,A0067,1772160517000,17,A0067,1767241119000,54.33
A0091,1772486555000,A0091,1770910664000,21.49,238.51,A0091,1767264602000,456,silver,A0091,1772125646000,2,A0091,1767297476000,45.31
A0023,1772762548000,A0023,1770245754000,133.22,2036.88,A0023,1767230663000,471,silver,A0023,1772167306000,0,A0023,1767278527000,56.32
A0028,1772895579000,A0028,1772439755000,9.41,2739.36,A0028,1767226528000,513,silver,A0028,1772773463000,24,A0028,1767291519000,45.48
A0058,1773603894000,A0058,1773162449000,17.07,6363.39,A0058,1767244972000,321,bronze,A0058,1773301925000,34,A0058,1767237255000,50.72
A0011,1773302419000,A0011,1772820422000,49.75,3966.86,A0011,1767296478000,692,gold,A0011,1772772551000,14,A0011,1767245582000,39.15
A0055,1773297529000,A0055,1772837862000,9.81,4253.78,A0055,1767237398000,798,bronze,A0055,1772740279000,7,A0055,1767266398000,43.31
A0061,1773687581000,A0061,1773492992000,17.14,2361.49,A0061,1767298674000,535,gold,A0061,1773364102000,39,A0061,1767240980000,48.01
A0090,1773419267000,A0090,1773371079000,54.05,1451.54,A0090,1769488782000,412,silver,A0090,1773353370000,7,A0090,1767277021000,53.21
