request_id,account_id,distance_deg,score
Q00221,A0013,2.365429,0.32728
Q00222,A0034,1.17289,0.394877
Q00223,A0050,0.623763,0.267195
Q00224,A0036,5.419432,0.190349
Q00225,A0042,1.281968,0.231438
Q00226,A0031,2.086892,0.141992
Q00227,A0011,1.230883,0.781572
Q00228,A0025,1.979658,0.69041
Q00229,A0048,1.714186,0.612348
Q00230,A0021,0.988189,0.823419
Q00231,A0042,1.315479,0.228087
Q00232,A0044,1.501937,0.61234
Q00233,A0003,0.743819,0.805692
Q00234,A0032,2.596727,0.633436
Q00235,A0005,2.643608,0.256059
Q00236,A0057,3.298922,0.300373
Q00237,A0053,2.880359,0.055314
Q00238,A0000,2.954287,0.087154
Q00239,A0057,0.374558,0.592809
Q00240,A0031,2.230812,0.1276
Q00241,A0015,2.658066,0.453899
Q00242,A0000,2.434382,0.139145
Q00243,A0032,2.372519,0.655857
Q00244,A0052,3.690046,0.502334
Q00245,A0040,1.411379,0.286725
Q00246,A0045,2.654326,0.434964
Q00247,A0041,1.958068,0.564618
Q00248,A0049,1.080198,0.42085
Q00249,A0031,2.004867,0.150194
Q00250,A0013,2.030026,0.36082
Q00251,A0056,2.224111,0.700928
Q00252,A0008,2.547008,0.472768
Q00253,A0015,2.642048,0.455501
Q00254,A0011,0.827188,0.821941
Q00255,A0056,2.056953,0.717644
Q00256,A0051,1.846848,0.230322
Q00257,A0012,3.196078,0.371784
Q00258,A0029,1.616894,0.362784
Q00259,A0029,4.214306,0.103042
Q00260,A0053,2.036563,0.139694
Q00261,A0029,0.901799,0.434293
Q00262,A0024,2.510522,0.18248
Q00263,A0055,1.877069,0.301894
Q00264,A0013,1.946926,0.36913
Q00265,A0033,1.289277,0.483115
Q00266,A0058,0.926031,0.671707
Q00267,A0032,4.72694,0.420415
Q00268,A0025,2.600839,0.628292
Q00269,A0036,1.228433,0.609449
Q00270,A0036,3.226173,0.409675
Q00271,A0026,1.985614,0.652593
Q00272,A0013,1.796757,0.384147
Q00273,A0007,2.178249,0.494705
Q00274,A0027,2.120707,0.125513
Q00275,A0057,1.300403,0.500225
Q00276,A0023,0.641561,0.786944
Q00277,A0051,1.074774,0.30753
Q00278,A0042,1.276121,0.232023
Q00279,A0043,3.692577,0.043063
Q00280,A0012,2.739403,0.417452
Q00281,A0003,2.5207,0.628004
Q00282,A0054,1.601994,0.371854
Q00283,A0021,1.754567,0.746781
Q00284,A0008,1.013534,0.626116
Q00285,A0050,0.86125,0.243446
Q00286,A0046,1.471273,0.670337
Q00287,A0036,1.83029,0.549263
Q00288,A0016,0.896087,0.483246
Q00289,A0059,2.900786,0.628203
Q00290,A0038,1.904067,0.337988
Q00291,A0013,2.135616,0.350261
Q00292,A0031,1.086628,0.242018
Q00293,A0049,0.855626,0.443307
Q00294,A0024,2.491639,0.184368
Q00295,A0017,1.063367,0.836343
Q00296,A0018,1.079609,0.752347
Q00297,A0026,0.93932,0.757222
Q00298,A0028,1.470857,0.637644
Q00299,A0055,0.516634,0.437938
Q00300,A0030,0.16461,0.649387
Q00301,A0056,3.066904,0.616649
Q00302,A0019,3.283117,0.160148
Q00303,A0054,1.784978,0.353555
Q00304,A0043,1.977241,0.214597
Q00305,A0009,2.481869,0.130362
Q00306,A0044,2.329596,0.529574
Q00307,A0040,2.491022,0.178761
Q00308,A0043,1.970429,0.215278
Q00309,A0039,1.000877,0.590057
Q00310,A0029,1.837473,0.340726
Q00311,A0047,1.969421,0.461829
Q00312,A0020,0.815158,0.843235
Q00313,A0013,3.007728,0.26305
Q00314,A0051,1.466558,0.268351
Q00315,A0056,1.90952,0.732387
Q00316,A0033,0.350248,0.577018
Q00317,A0036,1.796496,0.552642
Q00318,A0057,1.169048,0.51336
Q00319,A0044,0.242013,0.738333
Q00320,A0011,1.59268,0.745392
Q00321,A0004,2.90593,0.014358
Q00322,A0022,2.902186,0.398691
Q00323,A0008,0.470414,0.680428
Q00324,A0034,1.792051,0.332961
Q00325,A0008,3.305193,0.39695
Q00326,A0049,4.282568,0.100613
Q00327,A0039,2.445141,0.445631
Q00328,A0044,0.879289,0.674605
Q00329,A0054,2.059526,0.3261
Q00330,A0020,1.336576,0.791093
Q00331,A0002,1.960412,0.338826
Q00332,A0002,0.134217,0.521445
Q00333,A0026,3.731916,0.477962
Q00334,A0008,0.969509,0.630518
Q00335,A0029,2.63623,0.26085
Q00336,A0055,1.207659,0.368835
Q00337,A0041,0.654972,0.694928
Q00338,A0056,3.270508,0.596288
Q00339,A0004,2.088298,0.096121
Q00340,A0021,3.763166,0.545921
Q00341,A0022,3.14034,0.374876
Q00342,A0042,1.528004,0.206835
Q00343,A0008,1.355799,0.591889
Q00344,A0001,2.606724,0.288035
Q00345,A0026,1.110612,0.740093
Q00346,A0009,1.103372,0.268212
Q00347,A0011,2.494207,0.655239
Q00348,A0014,1.403001,0.669809
Q00349,A0025,1.48585,0.739791
Q00350,A0013,1.006613,0.463162
Q00351,A0039,1.103852,0.57976
Q00352,A0009,0.591538,0.319395
Q00353,A0024,0.862496,0.347282
Q00354,A0004,3.34641,-0.02969
Q00355,A0022,4.121627,0.276747
Q00356,A0012,2.139902,0.477402
Q00357,A0059,3.124153,0.605867
Q00358,A0002,1.326627,0.402204
Q00359,A0035,2.778942,0.188507
Q00360,A0014,1.618799,0.648229
Q00361,A0044,2.826392,0.479895
Q00362,A0047,1.110581,0.547713
Q00363,A0012,1.776607,0.513731
Q00364,A0019,0.700873,0.418373
Q00365,A0044,4.349204,0.327614
Q00366,A0016,1.491313,0.423724
Q00367,A0039,2.183172,0.471828
Q00368,A0037,1.714944,0.276963
Q00369,A0012,0.836779,0.607714
Q00370,A0005,0.712266,0.449193
Q00371,A0040,1.837613,0.244102
Q00372,A0014,1.071782,0.702931
Q00373,A0036,2.365524,0.49574
Q00374,A0031,1.584576,0.192223
Q00375,A0014,2.665977,0.543511
Q00376,A0004,2.402418,0.064709
Q00377,A0000,3.682178,0.014365
Q00378,A0052,2.452679,0.626071
Q00379,A0020,1.165583,0.808193
Q00380,A0040,2.133133,0.21455
Q00381,A0039,3.081463,0.381999
Q00382,A0000,1.546623,0.227921
Q00383,A0012,2.084254,0.482967
Q00384,A0011,1.811426,0.723517
Q00385,A0042,0.720414,0.287594
Q00386,A0054,2.234607,0.308592
Q00387,A0058,0.623807,0.701929
Q00388,A0050,0.468488,0.282722
Q00389,A0052,2.000676,0.671271
Q00390,A0037,1.666112,0.281846
Q00391,A0032,0.51522,0.841587
Q00392,A0010,1.983506,0.465701
Q00393,A0027,2.539573,0.083627
Q00394,A0043,2.07057,0.205264
Q00395,A0049,1.073916,0.421478
Q00396,A0051,0.958637,0.319143
Q00397,A0058,0.90472,0.673838
Q00398,A0004,1.519847,0.152966
Q00399,A0001,0.843489,0.464358
