txn_account_id,txn_event_time,amount,balance
A0023,1774428478000,11.89,4182.64
A0024,1767278746000,79.37,4136.09
A0024,1768545055000,13.43,4665.79
A0024,1770059425000,14.51,4641.57
A0024,1770073214000,144.39,4368.08
A0024,1770191695000,57.42,4944.76
A0024,1773898657000,31.62,4275.04
A0024,1773985087000,52.82,4654.94
A0025,1767296843000,15.54,3634.31
A0025,1768791107000,7.69,3760.65
A0025,1770073471000,7.54,3338.77
A0025,1770773961000,28.82,2847.56
A0025,1771087297000,17.44,2573.08
A0025,1771262127000,64.67,2476.13
A0025,1772131028000,31.96,2137.52
A0025,1773513642000,7.72,2240.05
A0026,1767885873000,6.69,4492.62
A0026,1767885873000,6.69,4492.62
A0026,1768372083000,42.62,4391.08
A0026,1768448646000,48.85,4326.63
A0026,1770907917000,6.43,4161.21
A0026,1773426084000,92.92,3686.37
A0026,1774888582000,29.97,3376.04
A0027,1767245962000,5.11,4299.32
A0027,1768147427000,8.98,4025.04
A0027,1768719278000,42.14,3499.92
A0027,1769183479000,27.87,4078.5
A0027,1769728116000,95.38,3709.29
A0027,1772451433000,34.02,3900.69
A0027,1774921779000,58.67,3934.79
A0028,1767573552000,317.15,6501.41
A0028,1769577273000,1.84,6610.48
A0028,1774872599000,18.99,6410.58
A0029,1767303309000,5.36,6164.85
A0029,1767949648000,273.64,6083.4
A0029,1768019529000,13.13,5828.43
A0029,1768326217000,21.92,6360.98
A0029,1770492245000,23.2,6517.14
A0029,1773413862000,13.83,6216.33
A0029,1773962133000,2.67,6617.95
A0029,1774361587000,7.72,6819.25
A0030,1767262680000,35.7,8976.71
A0030,1768434661000,12.19,9259.96
A0030,1768513876000,84.75,9494.44
A0030,1771057324000,36.42,9375.76
A0030,1771057324000,36.42,9375.76
A0030,1772049258000,43.18,9410.52
A0030,1772595024000,61.57,9366.65
A0030,1773296153000,22.75,9202.39
A0030,1773811132000,35.01,9074.23
A0031,1768753276000,16.59,7853.28
A0031,1769011930000,93.4,7682.42
A0031,1771910074000,66.48,7995.37
A0031,1772216633000,48.84,7867.61
A0031,1773123318000,14.54,7949.08
A0031,1773123318000,14.54,7949.08
A0031,1773815606000,8.34,8228.36
A0032,1767270669000,28.35,2025.28
A0032,1767270669000,28.35,2025.28
A0032,1768906450000,61.63,1902.28
A0032,1768944704000,23.08,1698.76
A0032,1770051732000,36.51,1148.01
A0032,1772971737000,95.54,939.38
A0032,1773726102000,14.24,954.7
A0033,1768139996000,23.04,2336.6
A0033,1769765178000,165.29,2207.75
A0033,1769977304000,13.08,2110.54
A0033,1770317332000,27.63,1895.56
A0033,1772316252000,107.42,1523.87
A0033,1773961967000,82.83,1786.03
A0034,1767238801000,26.92,6032.74
A0034,1767827390000,11.34,6314.32
A0034,1769445272000,65.42,6392.92
A0034,1770048614000,22.65,6873.26
A0034,1771403998000,46.59,6524.67
A0034,1771727028000,14.52,6600.46
A0034,1774244942000,68.7,6474.54
A0035,1767300600000,11.16,7043.91
A0035,1767625111000,53.8,6242.83
A0035,1767841972000,18.23,5891.51
A0035,1768970780000,111.95,5424.53
A0035,1772964046000,77.75,5313.99
A0035,1774964369000,29.36,4933.34
A0036,1767230875000,35.86,5389.05
A0036,1771424763000,24.1,5429.09
A0036,1771942856000,199.1,5148.56
A0036,1773991079000,26.24,5474.0
A0037,1767311512000,171.57,5558.42
A0037,1769497833000,65.46,5451.09
A0037,1769640312000,13.16,5734.64
A0037,1774473676000,40.62,5873.4
A0037,1774870282000,10.62,6278.09
A0038,1767242779000,29.3,1647.92
A0038,1767710711000,9.09,1413.15
A0038,1770330427000,21.0,1277.12
A0038,1771391379000,145.84,1285.24
A0038,1772073470000,73.78,2005.87
A0038,1773391841000,33.98,1725.46
A0039,1767237542000,28.59,6283.19
A0039,1767432066000,12.97,5767.01
A0039,1767709527000,13.52,5634.27
A0039,1769554506000,27.09,5218.04
A0039,1770637261000,301.58,5100.93
A0039,1773466363000,71.17,5213.99
A0040,1767308579000,32.94,3158.53
A0040,1768258594000,118.88,2675.2
A0040,1769384392000,28.03,3336.96
A0040,1769445743000,9.15,3322.55
A0040,1769850186000,59.18,3594.66
A0040,1770607086000,36.8,3050.81
A0040,1771003647000,155.8,2590.44
A0040,1772656919000,29.32,3007.89
A0040,1773171298000,9.01,3094.68
A0041,1767270409000,52.49,4251.69
A0041,1767270409000,52.49,4251.69
A0041,1769551378000,24.03,4280.82
A0041,1769959438000,8.42,4044.73
A0041,1770777773000,117.5,4075.27
A0041,1772723848000,138.81,4059.5
A0041,1774972034000,63.47,3877.08
A0042,1767278106000,19.41,1358.5
A0042,1767804898000,322.34,1868.16
A0042,1767828500000,7.79,1806.23
A0042,1769162676000,21.6,2395.15
A0042,1771679372000,10.13,2915.48
A0042,1772214645000,151.11,3289.67
A0042,1773194807000,110.32,3737.53
A0042,1773194807000,110.32,3737.53
A0042,1774448243000,32.01,3445.79
A0043,1767253066000,14.57,6053.43
A0043,1769366246000,297.81,6056.52
A0043,1772996112000,20.38,6170.76
A0043,1773057208000,61.26,6509.74
A0043,1774822078000,32.49,5547.25
A0043,1774822078000,32.49,5547.25
A0044,1767300208000,36.1,2334.71
A0044,1769712190000,116.87,1628.45
A0044,1770695169000,55.23,1958.65
A0044,1771592955000,115.84,2304.35
A0044,1771749599000,88.67,2031.47
A0044,1772854845000,8.47,1656.45
A0044,1773234016000,60.79,2115.69
A0044,1774791438000,50.59,1945.75
A0045,1767231191000,15.68,5521.26
A0045,1769203805000,28.03,6030.23
A0045,1769217801000,52.41,5834.49
A0045,1769874361000,18.16,5798.25
A0045,1770158143000,22.87,5564.75
A0045,1773070593000,73.27,5417.06
A0045,1774007278000,24.21,5483.61
A0046,1767309790000,76.78,5661.97
A0046,1769774121000,238.21,5831.16
A0046,1770209218000,8.27,5854.44
A0046,1773192330000,6.45,6554.15
A0047,1767228090000,45.59,7270.91
A0047,1767228090000,45.59,7270.91
A0047,1768653988000,13.04,7155.28
A0047,1770478819000,23.56,7551.09
A0047,1771344116000,24.53,7705.13
A0047,1771554851000,35.47,7313.5
A0047,1774616967000,19.34,7177.22
A0047,1774642110000,66.84,7546.6
A0048,1767279561000,11.95,3958.43
A0048,1767489994000,321.74,3884.71
A0048,1768285443000,8.83,4136.15
A0048,1769040331000,36.84,4645.23
A0048,1769166363000,5.51,4970.3
A0048,1769436169000,20.69,4983.59
A0048,1769622533000,48.59,4550.51
A0048,1773236168000,52.73,4505.39
A0048,1773612468000,64.37,4928.68
A0049,1767255752000,431.38,7971.88
A0049,1768592958000,27.16,8156.85
A0049,1771072758000,19.5,8429.34
A0049,1771871647000,21.05,8703.88
A0049,1771871647000,21.05,8703.88
A0049,1773399041000,24.41,8402.13
A0049,1773672279000,12.5,8978.95
A0049,1773672279000,12.5,8978.95
A0050,1767230408000,24.3,3579.25
A0050,1768033065000,78.74,3602.22
A0050,1768430008000,13.9,4240.36
A0050,1768430008000,13.9,4240.36
A0050,1769484894000,68.01,3924.72
A0050,1769687084000,124.36,4438.16
A0050,1770910594000,52.17,5099.69
A0050,1774334685000,86.25,4585.45
A0050,1774400815000,24.66,4492.87
A0051,1767233436000,14.89,6012.01
A0051,1769146835000,24.29,6414.13
A0051,1770512012000,1207.53,6223.15
A0051,1773412515000,28.97,6094.84
A0051,1774189707000,14.55,6077.37
A0051,1774189707000,14.55,6077.37
A0052,1767277932000,36.82,4223.81
A0052,1767730157000,36.53,4059.13
A0052,1768451166000,221.81,3550.31
A0052,1769480148000,79.52,3479.08
A0052,1771346752000,98.54,4062.74
A0052,1773836262000,29.61,3507.91
A0052,1774045553000,17.82,2851.32
A0053,1767296808000,5.8,5812.96
A0053,1768148580000,67.43,6436.01
A0053,1768379418000,56.61,7322.58
A0053,1770099171000,156.68,6756.79
A0053,1773751779000,4.93,6866.33
A0054,1767240657000,132.15,4592.68
A0054,1767620306000,3.94,4649.33
A0054,1768810564000,20.58,5283.95
A0054,1769954335000,29.25,4965.38
A0054,1772801320000,29.61,5019.34
A0054,1773115188000,53.13,4945.29
A0055,1767404159000,24.6,4314.01
A0055,1769094022000,19.12,4962.48
A0055,1770910931000,37.18,5185.78
A0055,1774247608000,467.53,4942.87
A0056,1767296568000,41.97,1124.66
A0056,1767444065000,29.36,1228.76
A0056,1768889958000,110.27,1619.86
A0056,1771667066000,53.16,1669.7
A0056,1774193907000,12.03,1334.88
A0057,1767269563000,29.18,6795.13
A0057,1769872375000,7.95,7174.38
A0057,1770283450000,99.11,6919.27
A0057,1774196835000,112.07,7014.99
A0058,1767235031000,70.1,3163.8
A0058,1768607744000,157.02,3038.0
A0058,1768607744000,157.02,3038.0
A0058,1768821805000,229.85,3269.96
A0058,1768939607000,16.2,2716.88
A0058,1770047973000,10.31,3596.36
A0058,1774596905000,49.97,3344.95
A0058,1774965010000,15.62,3315.27
A0059,1770096955000,47.51,2613.87
A0059,1770276241000,19.3,2746.67
A0059,1772239419000,9.66,2835.63
A0059,1774898665000,28.67,2835.77
A0059,1774982826000,108.46,3107.49
A0060,1767262653000,21.79,5658.33
A0060,1769397978000,80.4,5144.25
A0060,1769740064000,4.29,4579.24
A0060,1769949243000,159.47,4607.55
A0060,1770008295000,31.95,5503.48
A0060,1773034202000,46.15,5188.71
A0060,1774357976000,24.68,5701.02
A0061,1767278391000,98.57,2648.42
A0061,1767651358000,13.98,2730.99
A0061,1768430291000,49.87,2533.78
A0061,1768679826000,68.73,2915.51
A0061,1768718207000,37.8,2624.45
A0061,1769847431000,32.42,3060.16
A0061,1773086679000,32.87,2103.02
A0061,1773834235000,9.24,2037.84
A0062,1767231281000,30.23,2779.78
A0062,1768400615000,62.25,2579.93
A0062,1769922013000,158.4,2525.36
A0062,1770023333000,18.0,3004.56
A0062,1770425391000,86.84,3452.8
A0062,1770976814000,128.83,3269.84
A0062,1771942832000,82.16,3265.85
A0062,1774991040000,43.65,2474.88
A0062,1774991040000,43.65,2474.88
A0063,1767227644000,9.18,4097.68
A0063,1768423079000,19.67,4384.52
A0063,1769459801000,44.95,4146.2
A0063,1769961357000,253.19,3868.53
A0063,1770660500000,58.02,3576.39
A0063,1772270114000,7.29,3635.83
A0063,1773044425000,85.19,2974.65
A0063,1774271041000,15.34,3084.13
A0064,1767276792000,68.05,3048.33
A0064,1768026897000,49.0,3566.71
A0064,1769959432000,70.14,3869.8
A0064,1770883770000,12.18,4155.03
A0064,1770883770000,12.18,4155.03
A0064,1770901691000,12.64,4997.63
A0064,1774442384000,24.5,4994.11
A0064,1774832270000,47.12,5027.22
A0065,1767307245000,25.27,6776.83
A0065,1768729193000,11.41,6539.08
A0065,1768949521000,814.82,6553.78
A0065,1773320596000,69.8,6249.33
A0065,1773335501000,20.05,6057.2
A0066,1767290636000,50.63,3639.37
A0066,1767972937000,25.82,3107.24
A0066,1771028439000,23.13,3283.62
A0066,1772732187000,31.55,4023.13
A0066,1773838469000,69.59,3794.03
A0066,1773838469000,69.59,3794.03
A0067,1767251203000,16.92,6591.35
A0067,1768684573000,50.52,6000.6
A0067,1768963159000,20.14,6212.94
A0067,1769431994000,64.69,6313.23
A0067,1770151982000,28.37,6427.78
A0067,1771631509000,74.22,6699.32
A0067,1774292613000,18.23,6607.08
A0068,1767279765000,49.28,4726.89
A0068,1768052651000,8.86,4321.23
A0068,1769637626000,47.89,4148.45
A0068,1771429539000,102.24,3584.74
A0068,1771513991000,29.67,3360.03
A0068,1771792891000,75.76,3547.42
A0068,1772329008000,37.8,3217.01
A0068,1773732265000,122.58,3613.39
A0069,1767227054000,51.04,5851.03
A0069,1770314762000,41.68,6088.25
A0069,1770314762000,41.68,6088.25
A0069,1770603702000,184.56,6235.98
A0069,1772915913000,8.72,6666.14
A0069,1773939171000,116.94,6621.03
A0069,1774003493000,104.52,6363.97
A0070,1767301085000,81.09,2889.14
A0070,1767994942000,6.06,2690.06
A0070,1770165669000,100.87,2338.83
A0070,1770971930000,108.81,2941.58
A0070,1772131129000,42.85,2294.88
A0070,1773252793000,25.2,2748.26
A0070,1773717111000,16.86,2731.3
A0071,1767288627000,45.51,5948.64
A0071,1767409551000,14.63,5260.23
A0071,1767648440000,127.13,5788.49
A0071,1769682303000,30.7,6387.21
A0071,1769920428000,27.64,6086.97
A0071,1773463129000,36.13,6064.87
A0071,1773811054000,185.78,5748.16
A0072,1767241635000,79.41,4871.85
A0072,1767921238000,46.34,5001.03
A0072,1769827098000,14.38,4137.06
A0072,1769938338000,38.73,4448.58
A0072,1771510097000,1.75,4716.74
A0072,1772409937000,16.45,4331.78
A0072,1773764843000,40.11,5529.61
A0073,1767293800000,45.28,7019.46
A0073,1768256501000,23.97,7090.12
A0073,1768270891000,12.08,7152.44
A0073,1768696682000,57.72,7542.24
A0073,1769521879000,138.22,7674.14
A0073,1769521879000,138.22,7674.14
A0073,1771755479000,41.69,7451.72
A0073,1772564472000,56.69,7455.75
A0073,1773018000000,7.89,7979.11
A0073,1773450223000,93.89,7906.85
A0074,1767229215000,19.49,2626.15
A0074,1767428602000,18.48,2348.28
A0074,1770583016000,13.02,2292.92
A0074,1771970451000,28.73,2756.38
A0074,1772626541000,59.28,2739.63
A0074,1773383484000,201.98,2828.15
A0075,1767288947000,20.99,6952.31
A0075,1769711560000,42.67,6739.85
A0075,1770467136000,81.28,6703.94
A0075,1771946287000,44.93,6080.37
A0075,1772262115000,36.85,6029.26
A0076,1767245018000,143.66,4273.9
A0076,1769789728000,202.81,4322.59
A0076,1769888034000,59.86,4339.49
A0076,1770262019000,91.5,3698.71
A0076,1770262019000,91.5,3698.71
A0076,1771785283000,65.89,3879.82
A0076,1774368579000,49.73,4029.9
A0077,1767310097000,66.67,7206.92
A0077,1768349618000,98.69,7125.76
A0077,1769124447000,17.0,7360.69
A0077,1769692054000,28.69,7293.05
A0077,1769692054000,28.69,7293.05
A0077,1770726258000,227.09,6975.72
A0077,1771592341000,124.41,7282.03
A0077,1772145581000,29.2,7037.78
A0077,1772983646000,7.26,6372.99
A0077,1774404476000,83.37,6640.39
A0077,1774404476000,83.37,6640.39
A0078,1767249331000,137.98,5798.4
A0078,1769242137000,44.71,5534.26
A0078,1770036099000,42.9,5553.4
A0078,1773383294000,60.72,5589.63
A0079,1767278001000,25.0,8120.26
A0079,1767431609000,101.18,8263.64
A0079,1772271605000,32.16,8264.23
A0079,1772686110000,18.69,8076.15
A0079,1774367971000,15.5,7426.95
A0079,1774893749000,21.75,7275.22
A0080,1767252245000,38.73,3302.16
A0080,1768233270000,52.58,3147.01
A0080,1769201289000,35.65,3291.13
A0080,1769508176000,81.25,3817.74
A0080,1772482444000,66.29,3209.29
A0080,1773922941000,5.8,3335.77
A0081,1767246334000,251.92,3548.81
A0081,1768105755000,85.66,3359.67
A0081,1768805470000,11.53,2830.26
A0081,1769217140000,13.89,2612.58
A0081,1771998733000,516.81,3537.52
A0081,1772471191000,41.7,3060.33
A0081,1773636810000,12.18,2930.05
A0082,1767264224000,19.57,2731.94
A0082,1768858191000,46.05,2071.16
A0082,1771095815000,7.39,1224.69
A0082,1774870481000,23.79,1513.72
A0083,1767285966000,21.37,3122.72
A0083,1769245459000,9.25,3932.48
A0083,1769569287000,3.36,3428.9
A0083,1771298626000,29.63,4016.03
A0083,1773896436000,24.69,4704.8
A0084,1767305151000,13.92,4465.57
A0084,1767468723000,13.81,4669.71
A0084,1768850576000,52.56,5110.25
A0084,1771413113000,29.73,4953.51
A0084,1773635609000,91.95,4432.35
A0085,1767279240000,11.54,7113.55
A0085,1768194674000,22.46,7417.48
A0085,1768556918000,87.47,6697.43
A0085,1768556918000,87.47,6697.43
A0085,1768631377000,22.21,6184.61
A0085,1769911750000,83.75,5822.46
A0085,1774712380000,31.43,5226.42
A0086,1767296185000,234.43,9343.37
A0086,1769034254000,111.6,9107.06
A0086,1769034254000,111.6,9107.06
A0086,1770317668000,23.12,8904.16
A0086,1773490187000,41.51,9109.76
A0086,1773543771000,36.19,9053.85
A0086,1774009709000,37.16,8850.35
A0086,1774434710000,53.8,9215.81
A0087,1767291586000,22.8,6614.25
A0087,1769138528000,21.44,7265.86
A0087,1773212137000,7.23,7988.13
A0087,1774991882000,20.64,8058.18
A0088,1767300207000,7.22,5443.88
A0088,1767492350000,130.24,5312.64
A0088,1767892946000,22.97,5723.14
A0088,1767904173000,45.72,5935.48
A0088,1769301549000,17.52,5432.42
A0088,1771677656000,115.17,5709.06
A0088,1773586722000,18.79,5332.36
A0089,1767301141000,27.24,5342.33
A0089,1767952794000,71.87,4854.09
A0089,1768589859000,16.11,4552.75
A0089,1768776774000,12.05,3951.5
A0089,1768880810000,12.52,4130.83
A0089,1770115624000,76.58,4286.98
A0089,1772890876000,34.62,3501.1
A0090,1767295279000,92.89,5889.52
A0090,1767766901000,13.4,6420.78
A0090,1768432785000,25.74,5822.58
A0090,1773261738000,11.59,6736.66
A0090,1774589390000,15.99,6810.48
A0091,1767253253000,37.12,5470.51
A0091,1767910490000,31.41,5367.24
A0091,1770617702000,86.76,5961.29
A0091,1772704851000,18.95,5622.44
A0091,1773060708000,23.22,5402.32
A0092,1767282162000,34.61,5282.89
A0092,1769778318000,19.99,5448.45
A0092,1771426317000,39.68,5749.27
A0092,1771775084000,24.34,5706.65
A0092,1772781650000,174.98,5642.06
A0092,1772813493000,6.88,5649.52
A0093,1767508672000,75.27,6649.84
A0093,1767974029000,14.86,6798.28
A0093,1768126284000,8.7,6436.01
A0093,1769254964000,115.31,5740.44
A0093,1772231824000,24.9,5408.48
A0093,1774393977000,32.25,5288.58
A0094,1767240939000,32.3,1261.22
A0094,1767722122000,184.05,1336.04
A0094,1768972665000,105.41,1203.19
A0094,1769059493000,14.49,877.41
A0094,1774055087000,49.46,632.25
A0095,1767274192000,20.38,2798.24
A0095,1769295870000,11.07,2186.32
A0095,1769791420000,202.07,2455.24
A0095,1770188027000,59.16,2851.68
A0095,1770188027000,59.16,2851.68
A0095,1774126254000,10.24,2279.39
A0095,1774702691000,35.02,3348.05
A0096,1767252281000,14.16,2508.12
A0096,1770241091000,61.7,3003.43
A0096,1770241091000,61.7,3003.43
A0096,1771131732000,21.78,2277.99
A0096,1771891213000,152.83,2248.5
A0096,1774200726000,39.75,2054.03
A0096,1774200726000,39.75,2054.03
A0097,1767283675000,38.63,7597.91
A0097,1769149600000,10.69,7297.85
A0097,1769643470000,9.86,6163.64
A0097,1770276420000,25.63,5886.58
A0097,1770453073000,51.55,7060.02
A0097,1771236725000,230.58,7506.13
A0097,1773087192000,29.14,7637.71
A0097,1774695064000,102.16,8215.06
A0098,1767256175000,10.95,5188.15
A0098,1769115858000,16.11,5266.36
A0098,1769487979000,190.65,4790.32
A0098,1769905938000,35.03,4959.65
A0098,1770170470000,16.76,4748.96
A0098,1770933881000,56.95,4680.64
A0098,1774570033000,21.98,4806.99
A0098,1774570033000,21.98,4806.99
A0099,1767270184000,32.95,6213.02
A0099,1768601380000,11.59,6251.7
A0099,1771048535000,34.03,6264.08
A0099,1771297523000,4.7,5859.27
A0099,1771649145000,58.62,5968.95
A0099,1774079798000,764.16,6128.12
