ah_account_id,ah_event_time,health_score
A0076,1767352440000,44.46
A0076,1773040181000,9.91
A0077,1767242346000,56.21
A0077,1773200236000,7.52
A0078,1767239634000,51.86
A0078,1773574958000,8.99
A0079,1767312044000,50.02
A0079,1774149934000,94.72
A0080,1767346870000,54.63
A0080,1773783691000,88.38
A0081,1767394955000,56.74
A0081,1773139950000,89.06
A0082,1767342659000,43.64
A0082,1773297776000,8.21
A0083,1767313364000,53.18
A0083,1773573361000,5.42
A0084,1767366144000,42.84
A0084,1773298777000,87.56
A0085,1767311617000,47.32
A0085,1773667171000,14.73
A0086,1767271742000,53.01
A0086,1774487097000,87.56
A0087,1767375656000,50.82
A0087,1772796713000,85.28
A0088,1767348197000,56.06
A0088,1773131156000,90.87
A0089,1767250735000,49.25
A0089,1772738589000,87.22
A0090,1767348922000,49.68
A0090,1773955270000,14.28
A0091,1767255961000,50.86
A0091,1773190083000,92.42
A0092,1767361878000,52.88
A0092,1773288866000,86.26
A0093,1767237556000,46.83
A0093,1773827858000,87.91
A0094,1767310276000,43.66
A0094,1773555957000,9.51
A0095,1767285572000,45.74
A0095,1773650457000,12.72
A0096,1767386626000,52.12
A0096,1773548636000,86.32
A0097,1767250819000,50.03
A0097,1772413283000,91.92
A0098,1767346710000,62.5
A0098,1772801581000,85.22
A0099,1767374793000,55.47
A0099,1773490500000,10.65
