account_id,label_time,churned,transactions_account_id,transactions_event_time,transactions_amount,transactions_balance,profiles_account_id,profiles_event_time,profiles_credit_score,profiles_tier,activity_account_id,activity_event_time,activity_sessions_7d,account_health_account_id,account_health_event_time,account_health_health_score
A0018,1772663917000,0,A0018,1769758792000,77.03,7342.18,A0018,1767269891000,577,gold,A0018,1772118219000,17,A0018,1767322948000,47.58
A0019,1772003707000,1,A0019,1771502654000,28.18,7899.03,A0019,1770093760000,647,gold,A0019,1771495468000,31,A0019,1767253095000,46.04
A0020,1772456398000,0,A0020,1771276567000,30.75,2581.08,A0020,1767310918000,567,gold,A0020,1772103384000,6,A0020,1767331015000,50.68
A0021,1773199133000,0,A0021,1770761286000,126.22,5636.6,A0021,1767301059000,522,bronze,A0021,1772737936000,15,A0021,1767326252000,43.85
A0022,1772721740000,0,A0022,1772520943000,86.21,4225.33,A0022,1768882974000,499,gold,A0022,1772154045000,15,A0022,1767390223000,60.16
A0023,1772329585000,0,A0023,1772076458000,97.46,6374.77,A0023,1767272064000,666,silver,A0023,1772188988000,30,A0023,1767272132000,52.21
A0024,1772524284000,0,A0024,1772441534000,19.52,7505.06,A0024,1767249129000,724,gold,A0024,1772153388000,22,A0024,1767278818000,47.31
A0025,1773598368000,1,A0025,1772006842000,100.78,6313.94,A0025,1767309971000,605,gold,A0025,1773348067000,18,A0025,1767266501000,50.73
A0026,1772344761000,0,A0026,1771297266000,15.11,6554.64,A0026,1767243153000,514,bronze,A0026,1772181007000,27,A0026,1767344807000,50.79
A0027,1773154225000,1,A0027,1769798053000,26.29,6787.57,A0027,1771982222000,622,bronze,A0027,1772792556000,4,A0027,1767296136000,51.74
A0028,1773456281000,0,A0028,1772213335000,43.42,3822.99,A0028,1767281339000,802,bronze,A0028,1773411581000,6,A0028,1767346149000,50.02
A0029,1772048193000,0,A0029,1771826266000,31.76,2515.06,A0029,1767283684000,347,gold,A0029,1771563374000,3,A0029,1767285869000,47.35
A0030,1772589110000,1,A0030,1770488635000,92.61,7788.86,A0030,1767310781000,500,bronze,A0030,1772158116000,39,A0030,1767331480000,55.52
A0031,1772116300000,1,A0031,1771043810000,4.6,4712.94,A0031,1767276909000,640,bronze,A0031,1771567160000,8,A0031,1767311984000,39.79
A0032,1773203683000,0,A0032,1771976268000,15.58,8116.86,A0032,1767262700000,743,silver,A0032,1772815522000,11,A0032,1767268752000,45.75
A0033,1773661871000,0,A0033,1772088243000,10.39,3900.11,A0033,1767288011000,422,gold,A0033,1773361851000,6,A0033,1767293601000,48.5
A0034,1772994198000,0,A0034,1772884981000,20.63,5540.71,A0034,1767287465000,401,gold,A0034,1772726255000,13,A0034,1767355772000,48.76
A0035,1772979440000,1,A0035,1772260830000,15.67,6412.59,A0035,1768641665000,720,bronze,A0035,1772826888000,9,A0035,1767377687000,46.65
A0036,1773622909000,0,A0036,1772869776000,151.22,3927.07,A0036,1767307529000,442,silver,A0036,1773361865000,17,A0036,1767310295000,48.5
A0037,1772061319000,0,A0037,1770647425000,50.39,1162.56,A0037,1767285071000,775,gold,A0037,1771574745000,28,A0037,1767276792000,45.52
A0038,1772579759000,0,A0038,1772256829000,8.3,4217.26,A0038,1767256524000,354,bronze,A0038,1772163010000,14,A0038,1767349052000,43.48
A0039,1772533516000,0,A0039,1771819733000,102.1,3188.26,A0039,1768391616000,404,bronze,A0039,1772156271000,15,A0039,1767365260000,55.19
A0040,1772272041000,1,A0040,1770681931000,23.16,4471.91,A0040,1771130943000,503,bronze,A0040,1772154401000,23,A0040,1767298371000,43.85
A0041,1772877750000,1,A0041,1771371589000,56.12,3641.24,A0041,1770456881000,469,silver,A0041,1772775343000,33,A0041,1767305223000,46.93
A0042,1772048366000,1,A0042,1770890689000,207.03,3513.81,A0042,1767298404000,833,gold,A0042,1771555844000,17,A0042,1767352643000,58.31
A0043,1773355222000,1,A0043,1771868933000,55.34,7750.86,A0043,1771534866000,747,gold,A0043,1773350069000,17,A0043,1767390537000,58.54
A0044,1772091608000,1,A0044,1771287129000,25.43,1178.15,A0044,1767272670000,739,silver,A0044,1771578928000,3,A0044,1767284339000,48.07
A0045,1773671211000,1,A0045,1772874409000,27.03,5466.91,A0045,1767244297000,591,bronze,A0045,1773355813000,17,A0045,1767372049000,54.65
A0046,1772923679000,0,A0046,1772481065000,41.24,4586.27,A0046,1768174476000,528,gold,A0046,1772688518000,35,A0046,1767292645000,47.72
A0047,1772740241000,1,A0047,1772359239000,21.86,5810.87,A0047,1767255779000,832,silver,A0047,1772090117000,22,A0047,1767302833000,47.19
A0048,1773623047000,0,A0048,1773119192000,287.88,6143.8,A0048,1773112715000,706,gold,A0048,1773392432000,29,A0048,1767255142000,36.63
A0049,1772418977000,1,A0049,1770786848000,111.83,7038.26,A0049,1767279979000,613,silver,A0049,1772193689000,10,A0049,1767231247000,48.48
A0050,1772234362000,0,A0050,1768478609000,5.5,5952.8,A0050,1771184770000,307,gold,A0050,1772123620000,12,A0050,1767373916000,54.39
A0051,1773492305000,1,A0051,1772167752000,16.47,5651.84,A0051,1767275065000,526,silver,A0051,1773346470000,6,A0051,1767322242000,49.0
A0052,1773361199000,0,A0052,1772599702000,44.28,3585.79,A0052,1767311481000,745,bronze,A0052,1772817797000,15,A0052,1767389946000,48.98
A0053,1772599740000,0,A0053,1772536107000,36.45,2924.59,A0053,1767245938000,846,gold,A0053,1772094815000,8,A0053,1767346233000,50.79
A0054,1772629039000,0,A0054,1770976765000,56.53,7846.47,A0054,1770044789000,592,gold,A0054,1772170667000,30,A0054,1767359702000,58.96
A0055,1773449052000,1,A0055,1772316661000,3.78,2754.39,A0055,1767279894000,338,gold,A0055,1773375493000,14,A0055,1767357897000,48.42
A0056,1772021504000,0,A0056,1770907196000,42.85,-257.77,A0056,1767261906000,825,bronze,A0056,1771547506000,20,A0056,1767296535000,43.98
A0057,1772435445000,0,A0057,1772022195000,15.43,5109.13,A0057,1767298768000,529,bronze,A0057,1772070721000,18,A0057,1767364550000,51.3
A0058,1772255522000,0,A0058,1770135710000,18.12,4093.53,A0058,1767303972000,669,gold,A0058,1772099770000,15,A0058,1767391024000,50.59
A0059,1772818974000,1,A0059,1770412121000,46.99,3665.99,A0059,1768611729000,535,gold,A0059,1772739764000,8,A0059,1767327045000,58.41
A0060,1773525234000,1,A0060,1771870554000,36.07,4085.88,A0060,1768587525000,807,silver,A0060,1773365692000,18,A0060,1767243489000,46.05
A0061,1773701932000,1,A0061,1773635629000,331.65,4679.03,A0061,1770652859000,580,bronze,A0061,1773348051000,35,A0061,1767258891000,48.42
A0062,1772825151000,0,A0062,1772587978000,110.97,4561.41,A0062,1767256737000,300,gold,A0062,1772791588000,14,A0062,1767271411000,49.22
A0063,1772277665000,1,A0063,1771666802000,12.14,6735.05,A0063,1767291053000,734,gold,A0063,1772143355000,7,A0063,1767245554000,46.42
A0064,1772800985000,0,A0064,1771898662000,10.5,9929.58,A0064,1772547241000,774,gold,A0064,1772761193000,32,A0064,1767282078000,48.83
A0065,1772714027000,0,A0065,1772391024000,26.3,1618.83,A0065,1767259035000,428,gold,A0065,1772210117000,22,A0065,1767368963000,48.72
A0066,1772978949000,0,A0066,1771055717000,13.7,6260.17,A0066,1767234872000,413,gold,A0066,1772767420000,28,A0066,1767272452000,53.2
A0067,1772122702000,0,A0067,1771530331000,40.19,7174.37,A0067,1769529747000,850,silver,A0067,1771470119000,18,A0067,1767379106000,52.66
A0068,1773211017000,1,A0068,1772053706000,28.39,6093.87,A0068,1772855274000,693,silver,A0068,1772746279000,3,A0068,1767278797000,45.49
A0069,1773253887000,0,A0069,1772684568000,19.2,7138.25,A0069,1770086991000,850,gold,A0069,1772817999000,14,A0069,1767339104000,45.08
A0070,1773619520000,1,A0070,1773132138000,81.05,3286.37,A0070,1767280630000,641,gold,A0070,1773399846000,14,A0070,1767379849000,51.7
A0071,1773579808000,1,A0071,1773403781000,81.17,5491.52,A0071,1767298465000,814,silver,A0071,1773385966000,12,A0071,1767330332000,46.61
A0072,1773469814000,1,A0072,1772823732000,14.61,6515.58,A0072,1767306519000,386,silver,A0072,1773378109000,37,A0072,1767319043000,48.06
A0073,1773416260000,0,A0073,1771546415000,30.23,3495.91,A0073,1767311210000,502,silver,A0073,1773339078000,2,A0073,1767321520000,41.45
A0074,1773599436000,0,A0074,1772020981000,60.65,6484.95,A0074,1767289220000,698,bronze,A0074,1773325186000,22,A0074,1767365907000,50.16
A0075,1773474667000,1,A0075,1772640046000,12.5,7966.14,A0075,1771251970000,712,bronze,A0075,1773343008000,37,A0075,1767328221000,51.44
A0076,1773264472000,0,A0076,1772600705000,24.54,5733.56,A0076,1767252767000,495,gold,A0076,1772767589000,1,A0076,1767250291000,37.62
A0077,1772186228000,1,A0077,1770766010000,9.35,3180.61,A0077,1767302140000,558,bronze,A0077,1772160619000,6,A0077,1767305001000,52.2
A0078,1772897964000,0,A0078,1772218808000,60.86,6601.61,A0078,1772297760000,504,silver,A0078,1772772055000,4,A0078,1767384853000,51.2
A0079,1773040947000,0,A0079,1772216487000,9.49,5611.74,A0079,1767254291000,564,gold,A0079,1772756190000,3,A0079,1767397593000,49.42
A0080,1772136713000,0,A0080,1771885457000,48.78,10220.83,A0080,1767298750000,380,gold,A0080,1771548918000,2,A0080,1767235241000,47.75
A0081,1772327741000,0,A0081,1771772763000,1.78,1656.65,A0081,1770861680000,630,silver,A0081,1772130648000,31,A0081,1767272586000,57.46
A0082,1773651630000,0,A0082,1772687381000,54.15,4589.14,A0082,1767300764000,676,gold,A0082,1773369442000,19,A0082,1767335251000,53.99
A0083,1773587510000,1,A0083,1773426069000,23.98,3161.72,A0083,1768285554000,815,silver,A0083,1773363217000,17,A0083,1767371636000,41.75
A0084,1773492358000,1,A0084,1773041614000,32.1,6763.22,A0084,1767242732000,381,silver,A0084,1773318128000,23,A0084,1767241036000,57.58
A0085,1771990539000,1,A0085,1771671936000,6.91,5454.61,A0085,1768485432000,776,silver,A0085,1771464455000,34,A0085,1767395948000,54.69
A0086,1772618184000,1,A0086,1772008643000,33.27,7204.8,A0086,1767307788000,387,silver,A0086,1772154272000,36,A0086,1767381247000,50.7
A0087,1773023933000,1,A0087,1772675402000,30.12,2370.13,A0087,1767232029000,303,gold,A0087,1772754656000,26,A0087,1767285077000,55.93
A0088,1772665359000,0,A0088,1769629148000,72.51,2260.19,A0088,1767247969000,611,bronze,A0088,1772157873000,9,A0088,1767390643000,51.0
A0089,1772678156000,1,A0089,1771167822000,172.22,4422.87,A0089,1767246866000,322,bronze,A0089,1772150446000,22,A0089,1767395114000,62.12
A0090,1773035785000,1,A0090,1772082218000,178.55,7338.82,A0090,1772069519000,512,bronze,A0090,1772726341000,29,A0090,1767363552000,44.0
A0091,1772032468000,1,A0091,1770282718000,124.49,3612.03,A0091,1770585930000,382,bronze,A0091,1771479865000,12,A0091,1767236024000,44.94
A0092,1772794034000,0,A0092,1772034040000,7.76,2977.5,A0092,1768039489000,617,silver,A0092,1772727586000,31,A0092,1767368916000,56.97
A0093,1773499867000,0,A0093,1773182125000,44.98,2876.96,A0093,1767274273000,570,gold,A0093,1773398561000,8,A0093,1767384462000,54.88
A0094,1773629374000,0,A0094,1771139328000,108.22,6707.04,A0094,1767270565000,792,gold,A0094,1773409998000,26,A0094,1767325035000,47.05
A0095,1772393883000,1,A0095,1772230272000,138.88,8787.89,A0095,1767252168000,735,gold,A0095,1772117004000,36,A0095,1767234921000,53.19
A0096,1773626725000,0,A0096,1773097826000,11.05,4812.31,A0096,1771658985000,454,silver,A0096,1773297252000,19,A0096,1767267998000,45.04
A0097,1773052525000,0,A0097,1772631726000,113.72,7804.06,A0097,1767285290000,750,bronze,A0097,1772770732000,3,A0097,1767341834000,41.49
A0098,1772805407000,0,A0098,1772637360000,12.24,1916.39,A0098,1767843205000,845,silver,A0098,1772793679000,33,A0098,1767369242000,50.21
A0099,1772620441000,1,A0099,1772510545000,5.27,4137.03,A0099,1772181844000,591,bronze,A0099,1772173727000,19,A0099,1767345202000,51.34
