row_id,account_id,event_time,amount_usd,amount_7d,is_weekend
R00407,A0016,1774710960000,67.4300000000,124.8700000000,1   
R00489,A0017,1775174400000,15.1292000000,13.8800000000,0    
R00264,A0006,1773782340000,22.7203000000,199.5000000000,0   
R00693,A0001,1776174780000,15.3100000000,87.8300000000,0    
R00508,A0016,1775259960000,15.1510000000,81.3300000000,0    
R00544,A0017,1775456220000,3.0010500000,45.4700000000,0     
R00279,A0006,1773905160000,114.1984000000,280.6600000000,0  
R00063,A0035,1772663100000,34.4678000000,27.1400000000,0    
R00530,A0016,1775387160000,35.1900000000,49.0900000000,1    
R00575,A0017,1775581500000,12.7100000000,58.1800000000,0    
R00290,A0006,1773968760000,56.5000000000,321.1100000000,0   
R00100,A0035,1772893920000,25.1841000000,46.9700000000,1    
R00048,A0027,1772569920000,4.2183000000,3.8700000000,0      
R00587,A0017,1775633460000,49.2500000000,107.4300000000,0   
R00304,A0006,1774052220000,119.4435000000,315.4800000000,1  
R00229,A0035,1773563280000,51.5747000000,40.6100000000,1    
R00101,A0027,1772895840000,1.6625000000,21.3700000000,1     
R00588,A0017,1775637600000,12.0227000000,118.4600000000,0   
R00356,A0006,1774363980000,168.7449000000,391.2300000000,0  
R00305,A0035,1774060500000,19.2659000000,55.7800000000,1    
R00146,A0027,1773162000000,3.9501000000,62.9500000000,0     
R00662,A0017,1776027780000,7.7300000000,112.3100000000,1    
R00458,A0006,1774999200000,6.9200000000,6.9200000000,0      
R00323,A0035,1774146180000,9.8754000000,64.8400000000,1     
R00216,A0027,1773514620000,14.8894000000,55.2400000000,1    
R00050,A0026,1772570700000,8.7630000000,6.9000000000,0      
R00613,A0006,1775736360000,2.0206500000,21.2700000000,0     
R00325,A0035,1774152480000,23.6982000000,83.5000000000,1    
R00291,A0027,1773968760000,1.4972000000,29.4200000000,0     
R00070,A0026,1772702160000,27.6606000000,28.6800000000,0    
R00109,A0040,1772966580000,87.0300000000,87.0300000000,1    
R00329,A0035,1774160340000,19.4800000000,102.9800000000,1   
R00335,A0027,1774251180000,20.3176000000,34.4000000000,0    
R00120,A0026,1773016800000,54.8386000000,71.8600000000,0    
R00130,A0040,1773058620000,31.2547000000,111.6400000000,0   
R00368,A0035,1774434360000,72.1362000000,128.5500000000,0   
R00409,A0027,1774719060000,7.4338000000,25.4600000000,1     
R00167,A0026,1773250920000,51.7096000000,112.4000000000,0   
R00171,A0040,1773284880000,8.0300000000,119.6700000000,0    
R00427,A0035,1774815300000,43.2700000000,109.4500000000,1   
R00421,A0027,1774759740000,54.9796000000,75.9000000000,1    
R00190,A0026,1773388620000,48.5013000000,128.8100000000,0   
R00187,A0040,1773376800000,8.4836000000,126.3500000000,0    
R00435,A0035,1774871160000,1.2787000000,122.9100000000,0    
R00422,A0027,1774760160000,119.4816000000,169.9800000000,1  
R00209,A0026,1773499020000,3.9900000000,132.8000000000,1    
R00250,A0040,1773711180000,10.8455000000,24.6600000000,0    
R00505,A0035,1775243160000,10.4600000000,67.1900000000,0    
R00423,A0027,1774785660000,9.4996000000,177.4600000000,1    
R00235,A0026,1773603360000,8.0772000000,139.1600000000,1    
R00412,A0040,1774728480000,0.4788000000,5.0400000000,1      
R00513,A0035,1775276640000,3.6413500000,105.5200000000,1    
R00463,A0027,1775029140000,28.8850000000,185.3200000000,0   
R00241,A0026,1773641580000,2.7854000000,125.3000000000,0    
R00452,A0040,1774968120000,22.6938000000,25.8600000000,0    
R00522,A0035,1775341140000,22.8600000000,123.5200000000,1   
R00470,A0027,1775072220000,0.5358000000,190.9600000000,0    
R00249,A0026,1773710460000,119.2300000000,244.5300000000,0  
R00512,A0040,1775274360000,1.3407000000,27.0900000000,1     
R00559,A0035,1775511300000,104.9401000000,149.4200000000,0  
R00621,A0027,1775768160000,8.4900000000,8.4900000000,0      
R00383,A0026,1774561860000,6.7003500000,70.5300000000,0     
R00655,A0040,1776000480000,19.6500000000,19.6500000000,1    
R00565,A0035,1775549640000,82.5675000000,225.1700000000,0   
R00630,A0027,1775820480000,65.7606000000,60.2700000000,0    
R00439,A0026,1774891440000,13.4942000000,82.9100000000,0    
R00672,A0040,1776070320000,5.7513000000,80.1900000000,0     
R00611,A0035,1775725200000,0.5747500000,231.2200000000,0    
R00017,A0013,1772443740000,1.1580500000,12.1900000000,0     
R00532,A0026,1775387340000,19.7612000000,27.9400000000,1    
R00003,A0041,1772356800000,7.4930000000,5.9000000000,1      
R00656,A0035,1776008880000,34.5300000000,198.9600000000,1   
R00054,A0013,1772591700000,39.6367000000,43.4000000000,0    
R00591,A0026,1775657040000,3.7895500000,55.4500000000,0     
R00080,A0041,1772749380000,11.0417000000,16.0300000000,0    
R00697,A0035,1776201780000,85.5218000000,107.9200000000,0   
R00056,A0013,1772595840000,10.9327000000,53.4300000000,0    
R00605,A0026,1775710560000,33.0708000000,81.4900000000,0    
R00084,A0041,1772759760000,0.2764500000,18.9400000000,0     
R00004,A0050,1772357100000,27.2700000000,27.2700000000,1    
R00058,A0013,1772634420000,42.8498000000,87.1700000000,0    
R00620,A0026,1775760000000,2.4765000000,83.4400000000,0     
R00108,A0041,1772963160000,67.9577000000,66.5500000000,1    
R00014,A0050,1772426940000,1.1390500000,39.2600000000,0     
R00065,A0013,1772669640000,25.8445000000,107.5200000000,0   
R00629,A0026,1775820120000,1.4440000000,98.6400000000,0     
R00267,A0041,1773792060000,80.6323000000,63.4900000000,0    
R00159,A0050,1773222660000,0.3543500000,3.7300000000,0      
R00077,A0013,1772728620000,14.7955000000,119.1700000000,0   
R00679,A0026,1776100260000,71.8637000000,149.0100000000,0   
R00397,A0041,1774650480000,62.8821000000,57.6900000000,0    
R00408,A0050,1774712160000,0.7505000000,7.9000000000,1      
R00160,A0013,1773228180000,28.8300000000,94.5700000000,0    
R00031,A0034,1772503200000,16.8732000000,15.4800000000,0    
R00553,A0041,1775496300000,3.6299500000,38.2100000000,0     
R00526,A0050,1775379300000,10.0934000000,9.2600000000,1     
R00275,A0013,1773871800000,9.7010000000,8.9000000000,0      
R00111,A0034,1772979180000,150.5712000000,134.0400000000,1  
R00596,A0041,1775672820000,20.9062000000,57.3900000000,0    
R00576,A0050,1775582820000,41.2623000000,41.7500000000,0    
R00399,A0013,1774671000000,3.4162000000,35.9600000000,1     
R00177,A0034,1773331980000,22.3500000000,140.9100000000,0   
R00001,A0009,1772344200000,7.6581000000,6.0300000000,1      
R00624,A0050,1775786940000,53.3900000000,95.1400000000,0    
R00547,A0013,1775464320000,16.5400000000,16.5400000000,0    
R00354,A0034,1774358400000,34.6583000000,27.2900000000,0    
R00024,A0009,1772473020000,2.2942500000,30.1800000000,0     
R00660,A0050,1776014760000,82.9691000000,151.2100000000,1   
R00595,A0013,1775661840000,18.8600000000,35.4000000000,0    
R00571,A0034,1775575800000,49.7149000000,45.6100000000,0    
R00168,A0009,1773256860000,10.8458000000,8.5400000000,0     
R00691,A0050,1776158460000,3.4627500000,187.6600000000,0    
R00651,A0013,1775951580000,2.9317000000,66.2600000000,1     
R00608,A0034,1775716020000,5.0100000000,50.6200000000,0     
R00178,A0009,1773336960000,43.4801000000,48.4300000000,0    
R00026,A0000,1772482200000,0.7742500000,8.1500000000,0      
R00671,A0013,1776069540000,10.3223000000,59.1900000000,0    
R00649,A0034,1775946360000,40.6600000000,91.2800000000,1    
R00185,A0009,1773375120000,5.7225000000,53.6800000000,0     
R00081,A0000,1772749860000,19.0314000000,25.6100000000,0    
R00689,A0013,1776145260000,13.7122000000,71.7700000000,0    
R00040,A0042,1772541120000,11.0500000000,11.0500000000,0    
R00212,A0009,1773507180000,92.1131000000,126.2100000000,1   
R00246,A0000,1773685680000,13.6017000000,10.7100000000,0    
R00057,A0053,1772615100000,3.4884000000,36.7200000000,0     
R00154,A0042,1773201120000,6.6100000000,6.6100000000,0      
R00280,A0009,1773909660000,6.6053500000,187.2000000000,0    
R00248,A0000,1773693240000,3.7000000000,14.4100000000,0     
R00110,A0053,1772977680000,1.5238000000,52.7600000000,1     
R00223,A0042,1773541860000,17.5260000000,20.4100000000,1    
R00288,A0009,1773959880000,71.3740000000,203.5100000000,0   
R00265,A0000,1773785700000,4.1667000000,58.2700000000,0     
R00152,A0053,1773192900000,22.2578000000,73.1800000000,0    
R00296,A0042,1774011480000,1.0516500000,24.8700000000,0     
R00298,A0009,1774020240000,108.6866000000,283.8400000000,0  
R00270,A0000,1773814320000,40.6400000000,90.2700000000,0    
R00277,A0053,1773876060000,1.9665000000,20.7000000000,0     
R00341,A0042,1774274760000,42.7990000000,44.7700000000,0    
R00339,A0009,1774272720000,1.9361000000,231.6900000000,0    
R00271,A0000,1773816240000,142.3976000000,220.9100000000,0  
R00320,A0053,1774140000000,7.1501000000,26.3300000000,1     
R00539,A0042,1775441160000,8.0224000000,7.3600000000,0      
R00506,A0009,1775252040000,9.1313000000,7.1900000000,0      
R00272,A0000,1773817260000,83.9500000000,304.8600000000,0   
R00326,A0053,1774153740000,8.7124500000,118.0400000000,1    
R00574,A0042,1775580960000,2.0862000000,29.3200000000,0     
R00552,A0009,1775496000000,23.1013000000,25.3800000000,0    
R00466,A0000,1775046240000,49.8348000000,45.7200000000,0    
R00361,A0053,1774391940000,4.2930500000,163.2300000000,0    
R00603,A0042,1775703960000,109.2073000000,115.3100000000,0  
R00578,A0009,1775598060000,5.5442000000,83.7400000000,0     
R00468,A0000,1775069940000,36.6776000000,74.6000000000,0    
R00533,A0053,1775397780000,31.9024000000,25.1200000000,1    
R00614,A0042,1775738520000,57.3151000000,160.4400000000,0   
R00634,A0009,1775836920000,27.8277000000,109.2700000000,0   
R00579,A0000,1775600580000,35.2298000000,102.3400000000,0   
R00536,A0053,1775425020000,17.7000000000,42.8200000000,1    
R00622,A0042,1775775600000,17.3863000000,174.1300000000,0   
R00032,A0021,1772507460000,17.7016000000,16.2400000000,0    
R00606,A0000,1775710620000,33.3758000000,58.3600000000,0    
R00563,A0053,1775533320000,41.8084000000,75.7400000000,0    
R00636,A0042,1775854500000,100.8380000000,253.5300000000,0  
R00083,A0021,1772752200000,2.0966500000,38.3100000000,0     
R00044,A0008,1772562840000,5.7665000000,60.7000000000,0     
R00657,A0053,1776011100000,62.8603000000,108.2900000000,1   
R00661,A0042,1776025980000,5.8097000000,258.8600000000,1    
R00161,A0021,1773229440000,28.1656000000,47.9100000000,0    
R00071,A0008,1772711760000,39.5000000000,100.2000000000,0   
R00021,A0037,1772458980000,12.1800000000,12.1800000000,0    
R00692,A0042,1776169140000,2.0909500000,273.5100000000,0    
R00176,A0021,1773324300000,0.8787500000,57.1600000000,0     
R00191,A0008,1773401700000,10.1092000000,7.9600000000,0     
R00055,A0037,1772593380000,0.3515000000,15.8800000000,0     
R00696,A0042,1776198060000,0.3895000000,255.6500000000,0    
R00195,A0021,1773424740000,50.5000000000,85.5900000000,0    
R00200,A0008,1773471060000,7.8916000000,15.2000000000,1     
R00331,A0037,1774204500000,36.0572000000,33.0800000000,1    
R00102,A0002,1772900580000,22.3600000000,22.3600000000,1    
R00218,A0021,1773519060000,16.3703000000,98.4800000000,1    
R00269,A0008,1773802140000,0.2413000000,17.7400000000,0     
R00337,A0037,1774253460000,9.3600000000,42.4400000000,0     
R00140,A0002,1773116040000,2.5469500000,49.1700000000,0     
R00311,A0021,1774105200000,35.8610000000,45.7900000000,1    
R00346,A0008,1774294560000,24.0000000000,26.5400000000,0    
R00363,A0037,1774394520000,30.5689000000,66.5100000000,0    
R00141,A0002,1773119220000,10.8000000000,59.9700000000,0    
R00467,A0021,1775062980000,3.9662500000,41.7500000000,0     
R00392,A0008,1774587000000,0.7609500000,32.0100000000,0     
R00378,A0037,1774540680000,2.6448000000,94.3500000000,0     
R00155,A0002,1773201660000,25.1572000000,83.0500000000,0    
R00504,A0021,1775237760000,5.1500000000,46.9000000000,0     
R00430,A0008,1774829100000,25.8548000000,55.7300000000,0    
R00446,A0037,1774918320000,16.0274000000,64.5300000000,0    
R00274,A0002,1773832380000,11.8592000000,10.8800000000,0    
R00554,A0021,1775497920000,26.8351000000,68.0300000000,0    
R00491,A0008,1775181540000,11.9100000000,43.6400000000,0    
R00542,A0037,1775444100000,7.1031500000,87.3900000000,0     
R00333,A0002,1774220700000,0.5044500000,16.1900000000,1     
R00030,A0025,1772500200000,2.3750000000,25.0000000000,0     
R00537,A0008,1775429820000,85.4887000000,114.0600000000,1   
R00654,A0037,1775965380000,0.5225000000,80.2700000000,1     
R00366,A0002,1774402560000,1.8100000000,18.0000000000,0     
R00089,A0025,1772799180000,51.3400000000,76.3400000000,0    
R00543,A0008,1775454120000,2.9212000000,93.0200000000,0     
R00132,A0025,1773069960000,2.8148500000,105.9700000000,0    
R00377,A0002,1774477980000,33.2994000000,33.3400000000,0    
R00156,A0025,1773202380000,26.6800000000,107.6500000000,0   
R00036,A0018,1772517180000,0.6260500000,6.5900000000,0      
R00668,A0025,1776054540000,1.9560500000,20.5900000000,0     
R00391,A0002,1774581120000,6.8561000000,39.6300000000,0     
R00116,A0018,1772999520000,16.5800000000,23.1700000000,1    
R00393,A0002,1774590120000,34.0995000000,66.4800000000,0    
R00217,A0018,1773519060000,4.6445500000,65.4700000000,1     
R00433,A0002,1774867080000,28.8800000000,90.0500000000,0    
R00312,A0018,1774109700000,51.5570000000,96.1900000000,1    
R00441,A0002,1774893900000,33.1470000000,116.1500000000,0   
R00332,A0018,1774220340000,136.5900000000,183.8900000000,1  
R00481,A0002,1775142420000,124.9300000000,213.0500000000,0  
R00355,A0018,1774361820000,12.7500000000,196.6400000000,0   
R00492,A0002,1775187540000,22.1270000000,227.0600000000,0   
R00358,A0018,1774377180000,0.8626000000,205.7200000000,0    
R00531,A0002,1775387220000,17.5180000000,384.6100000000,1   
R00415,A0018,1774735200000,19.4437000000,173.7300000000,1   
R00627,A0002,1775814600000,0.3439000000,188.0200000000,0    
R00420,A0018,1774753800000,1.1039000000,185.3500000000,1    
R00633,A0002,1775829240000,4.2132500000,232.3700000000,0    
R00428,A0018,1774825620000,135.4107000000,172.9900000000,1  
R00646,A0002,1775940660000,14.5900000000,246.9600000000,1   
R00577,A0018,1775591760000,13.7287000000,10.8100000000,0    
R00694,A0002,1776185280000,155.8290000000,185.2600000000,0  
R00589,A0018,1775647680000,54.4564000000,60.7700000000,0    
R00224,A0010,1773543000000,0.7970500000,8.3900000000,1      
R00650,A0018,1775951400000,11.5000000000,72.2700000000,1    
R00251,A0010,1773726720000,1.2359500000,21.4000000000,0     
R00128,A0059,1773056220000,0.8103500000,8.5300000000,0      
R00357,A0010,1774375740000,14.4098000000,13.2200000000,0    
R00144,A0059,1773156480000,28.9613000000,35.1000000000,0    
R00367,A0010,1774408080000,130.9370000000,116.3200000000,0  
R00373,A0059,1774466580000,0.0446500000,0.4700000000,0      
R00459,A0010,1774999560000,17.5599000000,119.2100000000,0   
R00473,A0059,1775087880000,13.0302000000,10.2600000000,0    
R00535,A0010,1775423460000,5.6388000000,20.5500000000,1     
R00479,A0059,1775135940000,3.1644500000,43.5700000000,0     
R00567,A0010,1775567400000,0.3790500000,24.5400000000,0     
R00653,A0059,1775963580000,6.2484000000,4.9200000000,1      
R00570,A0010,1775573580000,20.3500000000,44.8900000000,0    
R00659,A0059,1776014520000,3.1777500000,38.3700000000,1     
R00695,A0010,1776185580000,35.6600000000,35.6600000000,0    
R00047,A0011,1772569860000,7.1800000000,7.1800000000,0      
R00010,A0031,1772399280000,8.0702500000,84.9500000000,1     
R00082,A0011,1772750340000,9.8933000000,14.9700000000,0     
R00163,A0031,1773238200000,16.3500000000,15.0000000000,0    
R00206,A0011,1773489300000,44.1325000000,34.7500000000,1    
R00183,A0031,1773370680000,1.7440000000,16.6000000000,0     
R00284,A0011,1773921840000,30.3276000000,58.6300000000,0    
R00220,A0031,1773532080000,9.4615000000,24.0500000000,1     
R00347,A0011,1774314960000,28.2310000000,49.7800000000,0    
R00245,A0031,1773679500000,3.1074500000,56.7600000000,0     
R00376,A0011,1774476840000,4.5998000000,54.0000000000,0     
R00472,A0031,1775082720000,103.8116000000,95.2400000000,0   
R00443,A0011,1774910520000,1.2521000000,43.3000000000,0     
R00483,A0031,1775148300000,7.0700000000,102.3100000000,0    
R00523,A0011,1775342340000,24.6380000000,32.5800000000,1    
R00520,A0031,1775330460000,95.7238000000,190.1300000000,1   
R00580,A0011,1775602020000,2.0681500000,41.1700000000,0     
R00541,A0031,1775442480000,19.4691000000,205.4600000000,0   
R00612,A0011,1775733240000,21.3106000000,57.9500000000,0    
R00546,A0031,1775459100000,4.0400000000,209.5000000000,0    
R00005,A0024,1772361180000,92.8200000000,92.8200000000,1    
R00550,A0031,1775494140000,44.7802000000,244.7600000000,0   
R00182,A0024,1773368040000,76.0200000000,76.0200000000,0    
R00658,A0031,1776011160000,3.3401000000,57.2600000000,1     
R00204,A0024,1773477060000,3.2046000000,78.9600000000,1     
R00174,A0054,1773317160000,76.3397000000,60.1100000000,0    
R00213,A0024,1773508140000,18.6182000000,93.6200000000,1    
R00188,A0054,1773384840000,14.2196000000,209.7900000000,0   
R00266,A0024,1773790260000,7.0500000000,100.6700000000,0    
R00259,A0054,1773753540000,13.4615000000,222.1400000000,0   
R00343,A0024,1774276200000,16.0230000000,21.7500000000,0    
R00293,A0054,1773977760000,1.4202500000,176.9800000000,0    
R00359,A0024,1774380180000,67.4751000000,74.8800000000,0    
R00297,A0054,1774017540000,138.8660000000,154.7000000000,0  
R00417,A0024,1774741200000,23.8506000000,86.6100000000,1    
R00302,A0054,1774043340000,4.1078000000,197.9400000000,0    
R00592,A0024,1775657100000,28.5700000000,28.5700000000,0    
R00362,A0054,1774394040000,1.9760000000,206.3900000000,0    
R00617,A0024,1775744760000,2.2819000000,52.5900000000,0     
R00416,A0054,1774737720000,42.9133000000,54.5900000000,1    
R00626,A0024,1775807820000,90.2589000000,123.6600000000,0   
R00445,A0054,1774916160000,20.6502000000,70.8500000000,0    
R00670,A0024,1776066180000,2.6410000000,151.4600000000,0    
R00457,A0054,1774998300000,2.3294000000,95.3700000000,0     
R00029,A0043,1772493060000,10.2616000000,8.0800000000,0     
R00461,A0054,1775011380000,45.7962000000,110.6300000000,0   
R00107,A0043,1772950560000,0.9110500000,17.6700000000,1     
R00525,A0054,1775370480000,48.8315000000,115.2900000000,1   
R00199,A0043,1773468780000,14.2200000000,23.8100000000,1    
R00584,A0054,1775617680000,19.3421000000,53.6800000000,0    
R00319,A0043,1774139760000,14.6823000000,13.4700000000,1    
R00610,A0054,1775723700000,191.2620000000,204.2800000000,0  
R00434,A0043,1774867440000,10.3332000000,9.4800000000,0     
R00075,A0055,1772724180000,29.6262000000,27.1800000000,0    
R00438,A0043,1774891080000,11.7600000000,21.2400000000,0    
R00287,A0055,1773956700000,0.0950000000,1.0000000000,0      
R00455,A0043,1774980300000,66.8933000000,82.6100000000,0    
R00351,A0055,1774339560000,3.2400000000,4.2400000000,0      
R00490,A0043,1775176320000,2.5517000000,109.4700000000,0    
R00365,A0055,1774398300000,30.1385000000,31.8900000000,0    
R00503,A0043,1775234400000,9.8536000000,118.5100000000,0    
R00426,A0055,1774813980000,34.7726000000,58.2700000000,1    
R00598,A0043,1775675220000,0.2223000000,38.2400000000,0     
R00496,A0055,1775198760000,8.7376000000,34.2600000000,0     
R00020,A0004,1772453400000,14.5200000000,14.5200000000,0    
R00499,A0055,1775208780000,15.9249000000,48.8700000000,0    
R00023,A0004,1772467080000,40.5100000000,55.0300000000,0    
R00511,A0055,1775263320000,168.6687000000,181.6800000000,1  
R00092,A0004,1772826420000,0.9196000000,64.7100000000,0     
R00652,A0055,1775952960000,17.7927000000,14.0100000000,1    
R00104,A0004,1772902080000,30.8864000000,89.0300000000,1    
R00665,A0055,1776049920000,29.4259000000,37.1800000000,0    
R00106,A0004,1772947320000,15.7988000000,101.4700000000,1   
R00119,A0003,1773013620000,55.7099000000,51.1100000000,1    
R00124,A0004,1773043620000,0.4892500000,106.6200000000,0    
R00208,A0003,1773493440000,3.1787000000,84.5700000000,1     
R00131,A0004,1773063240000,44.6355000000,133.0500000000,0   
R00239,A0003,1773631080000,2.0292000000,54.8200000000,0     
R00158,A0004,1773214740000,3.6803000000,131.2800000000,0    
R00289,A0003,1773963360000,57.0865000000,99.7700000000,0    
R00283,A0004,1773921180000,10.4640000000,9.6000000000,0     
R00384,A0003,1774566600000,5.1816000000,49.0300000000,0     
R00286,A0004,1773956280000,0.6735500000,16.6900000000,0     
R00486,A0003,1775159160000,22.9400000000,27.0200000000,0    
R00374,A0004,1774471920000,23.5585000000,35.2400000000,0    
R00498,A0003,1775203740000,20.7100000000,43.6500000000,0    
R00395,A0004,1774602600000,65.1711000000,78.3400000000,0    
R00517,A0003,1775306400000,0.4246500000,48.1200000000,1     
R00515,A0004,1775300460000,39.0765000000,35.8500000000,1    
R00558,A0003,1775509860000,10.8000000000,58.9200000000,0    
R00519,A0004,1775330220000,4.7262500000,85.6000000000,1     
R00641,A0003,1775911380000,164.0500000000,174.8500000000,1  
R00521,A0004,1775335680000,215.5584000000,283.3600000000,1  
R00644,A0003,1775927700000,5.6591500000,234.4200000000,1    
R00564,A0004,1775543400000,1.5494000000,284.5800000000,0    
R00645,A0003,1775940000000,95.4913000000,309.6100000000,1   
R00292,A0039,1773974400000,15.9358000000,14.6200000000,0    
R00002,A0030,1772344860000,6.6800000000,6.6800000000,1      
R00306,A0039,1774072800000,53.7600000000,68.3800000000,1    
R00007,A0030,1772372700000,217.5891000000,178.0100000000,1  
R00313,A0039,1774111620000,19.1389000000,83.4500000000,1    
R00112,A0030,1772980800000,250.7800000000,250.7800000000,1  
R00487,A0039,1775166720000,113.2332000000,89.1600000000,0   
R00237,A0030,1773627000000,9.5885000000,7.5500000000,0      
R00597,A0039,1775673660000,94.1651000000,175.5500000000,0   
R00276,A0030,1773873720000,22.2360000000,27.9500000000,0    
R00607,A0039,1775714460000,28.8959000000,202.0600000000,0   
R00285,A0030,1773931800000,1.1875000000,40.4500000000,0     
R00079,A0005,1772740260000,10.0330000000,7.9000000000,0     
R00300,A0030,1774031040000,2.9526000000,71.5300000000,0     
R00147,A0005,1773163980000,13.1345000000,19.9500000000,0    
R00321,A0030,1774145700000,9.7400000000,81.2700000000,1     
R00350,A0005,1774326900000,27.6751000000,25.3900000000,0    
R00493,A0030,1775189700000,11.3142000000,10.3800000000,0    
R00396,A0005,1774638780000,1.0744500000,36.7000000000,0     
R00540,A0030,1775441940000,31.6100000000,39.3800000000,0    
R00450,A0005,1774954680000,3.7373000000,50.6500000000,0     
R00594,A0030,1775661000000,1.6002000000,40.6400000000,0     
R00497,A0005,1775201880000,3.2004000000,53.1700000000,0     
R00639,A0030,1775899980000,2.7813000000,32.4500000000,1     
R00562,A0005,1775532300000,1.8591500000,61.4300000000,0     
R00000,A0036,1772335740000,2.0814500000,21.9100000000,1     
R00586,A0005,1775630700000,9.9721500000,127.0600000000,0    
R00016,A0036,1772437500000,20.1300000000,42.0400000000,0    
R00635,A0005,1775843280000,15.6524000000,138.9000000000,0   
R00053,A0036,1772585280000,159.2100000000,201.2500000000,0  
R00034,A0038,1772511660000,28.6004000000,22.5200000000,0    
R00087,A0036,1772766900000,131.2251000000,321.6400000000,0  
R00072,A0038,1772713560000,85.8900000000,108.4100000000,0   
R00095,A0036,1772855700000,0.8284000000,330.3600000000,1    
R00198,A0038,1773467940000,1.2483000000,13.1400000000,1     
R00123,A0036,1773036960000,0.8027500000,316.9000000000,0    
R00278,A0038,1773880740000,20.2819000000,29.1100000000,0    
R00139,A0036,1773112680000,5.1816000000,300.8500000000,0    
R00385,A0038,1774571520000,0.4826000000,5.0800000000,0      
R00348,A0036,1774321920000,36.6240000000,33.6000000000,0    
R00394,A0038,1774590480000,8.2700000000,13.3500000000,0     
R00478,A0036,1775130540000,56.1213000000,44.1900000000,0    
R00419,A0038,1774744620000,5.6933500000,73.2800000000,1     
R00502,A0036,1775227500000,7.8700000000,52.0600000000,0     
R00425,A0038,1774805940000,7.0509000000,147.5000000000,1    
R00514,A0036,1775293740000,18.0700000000,70.1300000000,1    
R00604,A0038,1775705340000,1.8373000000,19.3400000000,0     
R00618,A0036,1775747940000,4.4958000000,29.4800000000,0     
R00609,A0038,1775717340000,3.9567000000,22.9700000000,0     
R00028,A0056,1772492520000,6.6040000000,5.2000000000,0      
R00685,A0038,1776133260000,24.9610000000,45.8700000000,0    
R00090,A0056,1772803680000,23.4696000000,23.6800000000,0    
R00033,A0048,1772508000000,10.3000000000,10.3000000000,0    
R00126,A0056,1773050760000,12.3444000000,33.4000000000,0    
R00066,A0048,1772686920000,16.3068000000,23.1400000000,0    
R00153,A0056,1773201000000,1.0374000000,39.1200000000,0     
R00098,A0048,1772884500000,22.8682000000,44.1200000000,1    
R00255,A0056,1773731100000,31.2547000000,35.5300000000,0    
R00129,A0048,1773056820000,82.6700000000,126.7900000000,0   
R00260,A0056,1773763620000,225.5647000000,213.1400000000,0  
R00148,A0048,1773166200000,0.7676000000,124.5700000000,0    
R00308,A0056,1774096080000,19.6200000000,221.8400000000,1   
R00257,A0048,1773736380000,21.7128000000,28.0000000000,0    
R00352,A0056,1774342680000,26.6287000000,221.6600000000,0   
R00268,A0048,1773796800000,0.6279500000,26.5300000000,0     
R00534,A0056,1775421060000,89.2601000000,81.8900000000,1    
R00386,A0048,1774571940000,7.5692000000,5.9600000000,0      
R00632,A0056,1775828940000,17.6200000000,99.5100000000,0    
